# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.72
metadata : {}


# id : NWRW1800000041.72.1.1
[CEO&]㈜도스코, 35년 외길… 고품질 특수강·열처리 ‘메카’

[CEO&]㈜도스코,	[/SS+CEO/SL+&/SW+]/SS+㈜/SW+도스코/NNP+,/SP
35년	35/SN+년/NNB
외길…	외길/NNG+…/SE
고품질	고/XPN+품질/NNG
특수강·열처리	특수강/NNG+·/SP+열처리/NNG
‘메카’	‘/SS+메카/NNG+’/SS


# id : NWRW1800000041.72.2.1
경기도 안산에 위치한 ㈜도스코(대표 조성대·www.dosko.co.kr).

경기도	경기도/NNP
안산에	안산/NNP+에/JKB
위치한	위치/NNG+하/XSV+ㄴ/ETM
㈜도스코(대표	㈜/SW+도스코/NNP+(/SS+대표/NNG
조성대·www.dosko.co.kr).	조성대/NNP+·/SP+www/SL+./SP+dosko/SL+./SP+co/SL+./SP+kr/SL+)/SS+./SF


# id : NWRW1800000041.72.2.2
철강 산업의 기초가 되는 특수강, 열처리 분야에서 뿌리산업을 떠받치며 국내 최고의 자리에 오른 작지만 강한 기업이다.

철강	철강/NNG
산업의	산업/NNG+의/JKG
기초가	기초/NNG+가/JKC
되는	되/VV+는/ETM
특수강,	특수강/NNG+,/SP
열처리	열처리/NNG
분야에서	분야/NNG+에서/JKB
뿌리산업을	뿌리/NNG+산업/NNG+을/JKO
떠받치며	떠받치/VV+며/EC
국내	국내/NNG
최고의	최고/NNG+의/JKG
자리에	자리/NNG+에/JKB
오른	오르/VV+ㄴ/ETM
작지만	작/VA+지만/EC
강한	강하/VA+ㄴ/ETM
기업이다.	기업/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000041.72.2.3
㈜도스코는 특수마대강과 열처리 분야에서 약 80%의 내수 점유율을 달성하고 있는 회사다.

㈜도스코는	㈜/SW+도스코/NNP+는/JX
특수마대강과	특수/NNG+마대강/NNG+과/JC
열처리	열처리/NNG
분야에서	분야/NNG+에서/JKB
약	약/MMA
80%의	80/SN+%/SW+의/JKG
내수	내수/NNG
점유율을	점유/NNG+율/XSN+을/JKO
달성하고	달성/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
회사다.	회사/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000041.72.2.4
4mm 후판과 0.06mm 초박판 열처리 기술력을 확보해 매월 300여 t을 생산하고 있다.

4mm	4/SN+mm/SW
후판과	후판/NNG+과/JC
0.06mm	0/SN+./SP+06/SN+mm/SW
초박판	초박판/NNG
열처리	열처리/NNG
기술력을	기술력/NNG+을/JKO
확보해	확보/NNG+하/XSV+아/EC
매월	매월/MAG
300여	300/SN+여/XSN
t을	t/SW+을/JKO
생산하고	생산/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000041.72.2.5
이 회사는 내수를 석권하고 일본산이 지배하던 동남아 시장에서도 자리를 대체하고 있다.

이	이/MMD
회사는	회사/NNG+는/JX
내수를	내수/NNG+를/JKO
석권하고	석권/NNG+하/XSV+고/EC
일본산이	일본/NNP+산/XSN+이/JKS
지배하던	지배/NNG+하/XSV+던/ETM
동남아	동남아/NNP
시장에서도	시장/NNG+에서/JKB+도/JX
자리를	자리/NNG+를/JKO
대체하고	대체/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000041.72.2.6
동남아 주요 수출국이던 일본이 지금은 ㈜도스코 제품을 수입하고 있다.

동남아	동남아/NNP
주요	주요/NNG
수출국이던	수출국/NNG+이/VCP+던/ETM
일본이	일본/NNP+이/JKS
