# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000021.222
metadata : {}


# id : NWRW1800000021.222.1.1
[Weekend/서영수 전문기자의 사진 이야기]포토샵, 양심까지 ‘뽀샵’해서야

[Weekend/서영수	[/SS+Weekend/SL+//SP+서영수/NNP
전문기자의	전문/NNG+기자/NNG+의/JKG
사진	사진/NNG
이야기]포토샵,	이야기/NNG+]/SS+포토샵/NNG+,/SP
양심까지	양심/NNG+까지/JX
‘뽀샵’해서야	‘/SS+뽀샵/NNG+’/SS+하/VV+아서/EC+야/JX


# id : NWRW1800000021.222.2.1
당초 사물을 있는 그대로 묘사하는 것은 회화의 몫이었다.

당초	당초/NNG
사물을	사물/NNG+을/JKO
있는	있/VA+는/ETM
그대로	그대로/MAG
묘사하는	묘사/NNG+하/XSV+는/ETM
것은	것/NNB+은/JX
회화의	회화/NNG+의/JKG
몫이었다.	몫/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000021.222.2.2
그런데 사진이 등장해 그 역할을 대신하면서, 회화는 추상과 관념의 세계로 넘어갔다.

그런데	그런데/MAJ
사진이	사진/NNG+이/JKS
등장해	등장/NNG+하/XSV+아/EC
그	그/MMD
역할을	역할/NNG+을/JKO
대신하면서,	대신/NNG+하/XSV+면서/EC+,/SP
회화는	회화/NNG+는/JX
추상과	추상/NNG+과/JC
관념의	관념/NNG+의/JKG
세계로	세계/NNG+로/JKB
넘어갔다.	넘어가/VV+았/EP+다/EF+./SF


# id : NWRW1800000021.222.2.3
사진이 침범하기 어려운 영역으로 옮아간 것이다.

사진이	사진/NNG+이/JKS
침범하기	침범/NNG+하/XSV+기/ETN
어려운	어렵/VA+ㄴ/ETM
영역으로	영역/NNG+으로/JKB
옮아간	옮아가/VV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000021.222.2.4
150여 년이 흐른 지금, 사진은 다시 회화의 뒤를 쫓아 관념의 세계를 넘보고 있다.

