# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.46
metadata : {}


# id : NWRW1800000049.46.1.1
아이오와의 ‘끔찍한 밤’… 발목 잡힌 힐러리-트럼프

아이오와의	아이오와/NNP+의/JKG
‘끔찍한	‘/SS+끔찍하/VA+ㄴ/ETM
밤’…	밤/NNG+’/SS+…/SE
발목	발목/NNG
잡힌	잡히/VV+ㄴ/ETM
힐러리-트럼프	힐러리/NNP+-/SO+트럼프/NNP


# id : NWRW1800000049.46.2.1
[2016 美대선 아이오와 이변]민주-공화 1등 주자들 ‘비상’

[2016	[/SS+2016/SN
美대선	美/SH+대선/NNG
아이오와	아이오와/NNP
이변]민주-공화	이변/NNG+]/SS+민주/NNP+-/SO+공화/NNP
1등	1/SN+등/NNB
주자들	주자/NNG+들/XSN
‘비상’	‘/SS+비상/NNG+’/SS


# id : NWRW1800000049.46.3.1
선두를 달려온 민주당 힐러리 클린턴 전 국무장관과 공화당 도널드 트럼프 후보에게 1일 ‘아이오와의 밤’은 칙칙하기만 했다.

선두를	선두/NNG+를/JKO
달려온	달려오/VV+ㄴ/ETM
민주당	민주당/NNP
힐러리	힐러리/NNP
클린턴	클린턴/NNP
전	전/MMD
국무장관과	국무/NNG+장관/NNG+과/JC
공화당	공화당/NNP
도널드	도널드/NNP
트럼프	트럼프/NNP
후보에게	후보/NNG+에게/JKB
1일	1/SN+일/NNB
‘아이오와의	‘/SS+아이오와/NNP+의/JKG
밤’은	밤/NNG+’/SS+은/JX
칙칙하기만	칙칙하/VA+기/ETN+만/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000049.46.3.2
폭스뉴스는 “(두 후보에겐) 끔찍한 밤이었다”고 보도했다.

폭스뉴스는	폭스뉴스/NNP+는/JX
“(두	“/SS+(/SS+두/MMN
후보에겐)	후보/NNG+에게/JKB+ㄴ/JX+)/SS
끔찍한	끔찍하/VA+ㄴ/ETM
밤이었다”고	밤/NNG+이/VCP+었/EP+다/EF+”/SS+고/JKQ
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.46.3.3
공들여 만들어온 대세론이 탄력을 받기는커녕 큰 타격을 입은 참담한 날이었다.

공들여	공들이/VV+어/EC
만들어온	만들/VV+어/EC+오/VX+ㄴ/ETM
대세론이	대세/NNG+론/XSN+이/JKS
탄력을	탄력/NNG+을/JKO
받기는커녕	받/VV+기/ETN+는커녕/JX
큰	크/VA+ㄴ/ETM
타격을	타격/NNG+을/JKO
입은	입/VV+은/ETM
참담한	참담/NNG+하/XSA+ㄴ/ETM
날이었다.	날/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000049.46.4.1
클린턴은 아이오와 코커스(당원대회) 개표가 95% 진행됐을 때 “믿을 수 없는 밤이다.

클린턴은	클린턴/NNP+은/JX
아이오와	아이오와/NNP
코커스(당원대회)	코커스/NNG+(/SS+당원/NNG+대회/NNG+)/SS
개표가	개표/NNG+가/JKS
95%	95/SN+%/SW
진행됐을	진행/NNG+되/XSV+었/EP+을/ETM
때	때/NNG
“믿을	“/SS+믿/VV+을/ETM
수	수/NNB
없는	없/VA+는/ETM
밤이다.	밤/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.46.4.2
깊은 안도의 한숨을 쉬며 이 자리에 서 있다”며 지지자들 앞에 섰다.

깊은	깊/VA+은/ETM
안도의	안도/NNG+의/JKG
한숨을	한/XPN+숨/NNG+을/JKO
쉬며	쉬/VV+며/EC
이	이/MMD
자리에	자리/NNG+에/JKB
서	서/VV+어/EC
있다”며	있/VX+다/EF+”/SS+며/EC
지지자들	지지자/NNG+들/XSN
앞에	앞/NNG+에/JKB
섰다.	서/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.46.4.3
그의 득표율은 49.9%, 버니 샌더스 상원의원은 49.5%였다.

그의	그/NP+의/JKG
득표율은	득표/NNG+율/XSN+은/JX
49.9%,	49/SN+./SP+9/SN+%/SW+,/SP
버니	버니/NNP
샌더스	샌더스/NNP
상원의원은	상원/NNG+의원/NNG+은/JX
49.5%였다.	49/SN+./SP+5/SN+%/SW+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000049.46.4.4
8년 전 아이오와에서 ‘실망스러운 3위’를 했던 것에 비하면 나은 성적이지만 정치적인 무게감을 감안하면 ‘실망스러운 1등’이다.

8년	8/SN+년/NNB
전	전/NNG
아이오와에서	아이오와/NNP+에서/JKB
‘실망스러운	‘/SS+실망/NNG+스럽/XSA+ㄴ/ETM
3위’를	3/SN+위/NNB+’/SS+를/JKO
했던	하/VV+았/EP+던/ETM
것에	것/NNB+에/JKB
비하면	비/NNG+하/XSV+면/EC
나은	낫/VA+은/ETM
성적이지만	성적/NNG+이/VCP+지만/EC
정치적인	정치/NNG+적/XSN+이/VCP+ㄴ/ETM
무게감을	무게감/NNG+을/JKO
감안하면	감안/NNG+하/XSV+면/EC
1등’이다.	1/SN+등/NNB+’/SS+이/VCP+다/EF+./SF


# id : NWRW1800000049.46.4.5
클린턴도 그런 점을 의식해선지 승리 선언을 하지 않고 “미국을 위한 최고의 길이 무엇인지 샌더스 상원의원과 계속 논쟁할 수 있다는 사실에 흥분된다.

클린턴도	클린턴/NNP+도/JX
그런	그런/MMD
점을	점/NNG+을/JKO
의식해선지	의식/NNG+하/XSV+아서/EC+이/VCP+ㄴ지/EC
승리	승리/NNG
선언을	선언/NNG+을/JKO
하지	하/VV+지/EC
않고	않/VX+고/EC
“미국을	“/SS+미국/NNP+을/JKO
위한	위하/VV+ㄴ/ETM
최고의	최고/NNG+의/JKG
길이	길/NNG+이/JKS
무엇인지	무엇/NP+이/VCP+ㄴ지/EF
샌더스	샌더스/NNP
상원의원과	상원/NNG+의원/NNG+과/JKB
계속	계속/MAG
논쟁할	논쟁/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다는	있/VA+다는/ETM
사실에	사실/NNG+에/JKB
흥분된다.	흥분/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000049.46.4.6
공화당과 그 후보들에 맞서서 우리 아들딸들과 손자 손녀들의 미래를 위해서 계속 싸워 나가겠다.

공화당과	공화당/NNP+과/JKB
그	그/MMD
후보들에	후보/NNG+들/XSN+에/JKB
맞서서	맞서/VV+어서/EC
우리	우리/NP
아들딸들과	아들딸/NNG+들/XSN+과/JC
손자	손자/NNG
손녀들의	손녀/NNG+들/XSN+의/JKG
미래를	미래/NNG+를/JKO
위해서	위하/VV+아서/EC
계속	계속/MAG
싸워	싸우/VV+어/EC
나가겠다.	나가/VX+겠/EP+다/EF+./SF


# id : NWRW1800000049.46.4.7
나와 함께 가자”고 했다.

나와	나/NP+와/JKB
함께	함께/MAG
가자”고	가/VV+자/EF+”/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000049.46.5.1
미국 최초 여성 대통령을 향한 클린턴의 여정이 8년 전보다 나아질 기미는 보이지 않는다.

미국	미국/NNP
최초	최초/NNG
여성	여성/NNG
대통령을	대통령/NNG+을/JKO
향한	향하/VV+ㄴ/ETM
클린턴의	클린턴/NNP+의/JKG
여정이	여정/NNG+이/JKS
8년	8/SN+년/NNB
전보다	전/NNG+보다/JKB
나아질	나아지/VV+ㄹ/ETM
기미는	기미/NNG+는/JX
보이지	보이/VV+지/EC
않는다.	않/VX+는다/EF+./SF


# id : NWRW1800000049.46.5.2
2008년 최초의 흑인 대통령(버락 오바마 대통령)의 벽에 막혔던 그에게 이번엔 경제적 불평등에 맞서 싸우는 민주사회주의자(샌더스)의 도전이 거세다.

2008년	2008/SN+년/NNB
최초의	최초/NNG+의/JKG
흑인	흑인/NNG
대통령(버락	대통령/NNG+(/SS+버락/NNP
오바마	오바마/NNP
대통령)의	대통령/NNG+)/SS+의/JKG
벽에	벽/NNG+에/JKB
막혔던	막히/VV+었/EP+던/ETM
그에게	그/NP+에게/JKB
이번엔	이번/NNG+에/JKB+ㄴ/JX
경제적	경제/NNG+적/XSN
불평등에	불/XPN+평등/NNG+에/JKB
맞서	맞서/VV+어/EC
싸우는	싸우/VV+는/ETM
민주사회주의자(샌더스)의	민주/NNG+사회주의자/NNG+(/SS+샌더스/NNP+)/SS+의/JKG
도전이	도전/NNG+이/JKS
거세다.	거세/VA+다/EF+./SF


# id : NWRW1800000049.46.5.3
뉴욕타임스(NYT)는 “‘워싱턴 정치의 최대 아웃사이더는 (남성이 아닌) 여성인 바로 나’라는 클린턴의 호소가 진보 성향의 여성 유권자들에게 호응을 못 얻었다”고 진단했다.

뉴욕타임스(NYT)는	뉴욕타임스/NNP+(/SS+NYT/SL+)/SS+는/JX
“‘워싱턴	“/SS+‘/SS+워싱턴/NNP
정치의	정치/NNG+의/JKG
최대	최대/NNG
아웃사이더는	아웃사이더/NNG+는/JX
(남성이	(/SS+남성/NNG+이/JKC
아닌)	아니/VCN+ㄴ/ETM+)/SS
