# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.229
metadata : {}


# id : NWRW1800000033.229.1.1
금지약물로 키운 돼지 때문에… 섭취한 선수 잇단 도핑 적발

금지약물로	금지/NNG+약물/NNG+로/JKB
키운	키우/VV+ㄴ/ETM
돼지	돼지/NNG
때문에…	때문/NNB+에/JKB+…/SE
섭취한	섭취/NNG+하/XSV+ㄴ/ETM
선수	선수/NNG
잇단	잇달/VV+ㄴ/ETM
도핑	도핑/NNG
적발	적발/NNG


# id : NWRW1800000033.229.2.1
中당국 ‘돼지고기 금지령’

中당국	中/SH+당국/NNG
‘돼지고기	‘/SS+돼지고기/NNG
금지령’	금지령/NNG+’/SS


# id : NWRW1800000033.229.3.1
일부 선수단 직접 키우기도

일부	일부/NNG
선수단	선수단/NNG
직접	직접/MAG
키우기도	키우/VV+기/ETN+도/JX


# id : NWRW1800000033.229.4.1
2012년 런던 올림픽 출전을 앞둔 중국 선수단이 ‘돼지고기와의 전쟁’을 치르고 있다.

2012년	2012/SN+년/NNB
런던	런던/NNP
올림픽	올림픽/NNG
출전을	출전/NNG+을/JKO
앞둔	앞두/VV+ㄴ/ETM
중국	중국/NNP
선수단이	선수단/NNG+이/JKS
‘돼지고기와의	‘/SS+돼지고기/NNG+와/JKB+의/JKG
전쟁’을	전쟁/NNG+’/SS+을/JKO
치르고	치르/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000033.229.4.2
로이터 통신은 8일 “중국 선수단은 선수촌 밖에서 식사를 할 때 돼지고기를 입에 대지 못하고 있다”고 전했다.

로이터	로이터/NNP
통신은	통신/NNG+은/JX
8일	8/SN+일/NNB
“중국	“/SS+중국/NNP
선수단은	선수단/NNG+은/JX
선수촌	선수촌/NNG
밖에서	밖/NNG+에서/JKB
식사를	식사/NNG+를/JKO
할	하/VV+ㄹ/ETM
때	때/NNG
돼지고기를	돼지고기/NNG+를/JKO
입에	입/NNG+에/JKB
대지	대/VV+지/EC
못하고	못하/VX+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000033.229.4.3
