# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.342
metadata : {}


# id : NWRW1800000029.342.1.1
[아덴만 여명 작전]“헬기-보트 접근 3일간 기만작전 실제 작전 시작하자 해적들 당황”

[아덴만	[/SS+아덴만/NNP
여명	여명/NNG
작전]“헬기-보트	작전/NNG+]/SS+“/SS+헬기/NNG+-/SO+보트/NNG
접근	접근/NNG
3일간	3/SN+일/NNB+간/XSN
기만작전	기만/NNG+작전/NNG
실제	실제/NNG
작전	작전/NNG
시작하자	시작/NNG+하/XSV+자/EC
해적들	해적/NNG+들/XSN
당황”	당황/NNG+”/SS


# id : NWRW1800000029.342.2.1
■ 조영주 함장 인터뷰

■	■/SW
조영주	조영주/NNP
함장	함장/NNG
인터뷰	인터뷰/NNG


# id : NWRW1800000029.342.3.1
“지난해 국민 여러분이 몇 번 실망할 일이 발생했지만 (이번엔) 국가 안보와 바다 수호를 위해 전 장병이 총력을 기울였습니다.”

“지난해	“/SS+지난해/NNG
국민	국민/NNG
여러분이	여러분/NP+이/JKS
몇	몇/NR
번	번/NNB
실망할	실망/NNG+하/XSV+ㄹ/ETM
일이	일/NNG+이/JKS
발생했지만	발생/NNG+하/XSV+았/EP+지만/EC
(이번엔)	(/SS+이번/NNG+에/JKB+ㄴ/JX+)/SS
국가	국가/NNG
안보와	안보/NNG+와/JC
바다	바다/NNG
수호를	수호/NNG+를/JKO
위해	위하/VV+아/EC
전	전/MMN
장병이	장병/NNG+이/JKS
총력을	총력/NNG+을/JKO
기울였습니다.”	기울이/VV+었/EP+습니다/EF+./SF+”/SS


# id : NWRW1800000029.342.4.1
삼호주얼리호 구출작전을 완승으로 이끈 청해부대 최영함의 함장인 조영주 대령(사진)은 22일 국방부 출입기자단과의 전화 인터뷰에서 “작전 성공에 만족하지 않고 해적이 감히 우리 국민과 재산을 넘보지 않도록 임무를 완수하겠다”며 이같이 말했다.

삼호주얼리호	삼호주얼리호/NNP
구출작전을	구출/NNG+작전/NNG+을/JKO
완승으로	완승/NNG+으로/JKB
이끈	이끌/VV+ㄴ/ETM
청해부대	청해부대/NNP
최영함의	최영함/NNP+의/JKG
함장인	함장/NNG+이/VCP+ㄴ/ETM
조영주	조영주/NNP
대령(사진)은	대령/NNG+(/SS+사진/NNG+)/SS+은/JX
22일	22/SN+일/NNB
국방부	국방부/NNG
출입기자단과의	출입/NNG+기자단/NNG+과/JKB+의/JKG
전화	전화/NNG
인터뷰에서	인터뷰/NNG+에서/JKB
“작전	“/SS+작전/NNG
성공에	성공/NNG+에/JKB
만족하지	만족/NNG+하/XSA+지/EC
않고	않/VX+고/EC
해적이	해적/NNG+이/JKS
감히	감히/MAG
우리	우리/NP
국민과	국민/NNG+과/JC
재산을	재산/NNG+을/JKO
넘보지	넘보/VV+지/EC
않도록	않/VX+도록/EC
임무를	임무/NNG+를/JKO
완수하겠다”며	완수/NNG+하/XSV+겠/EP+다/EF+”/SS+며/EC
이같이	이/NP+같이/JKB
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.342.5.1
조 대령은 “지금 가장 중요한 것은 삼호주얼리호가 무스카트항으로 안전하게 들어오는 것”이라며 “선원들은 해적들이 밥을 주지 않아 거의 식사를 못한 상태여서 가장 먼저 의료팀이 (선원들의) 건강 상태를 확인했다”고 전했다.

조	조/NNP
대령은	대령/NNG+은/JX
“지금	“/SS+지금/MAG
가장	가장/MAG
중요한	중요/NNG+하/XSA+ㄴ/ETM
것은	것/NNB+은/JX
삼호주얼리호가	삼호주얼리호/NNP+가/JKS
무스카트항으로	무스카트항/NNP+으로/JKB
안전하게	안전/NNG+하/XSA+게/EC
들어오는	들어오/VV+는/ETM
것”이라며	것/NNB+”/SS+이/VCP+라며/EC
“선원들은	“/SS+선원/NNG+들/XSN+은/JX
해적들이	해적/NNG+들/XSN+이/JKS
밥을	밥/NNG+을/JKO
주지	주/VV+지/EC
않아	않/VX+아/EC
거의	거의/MAG
식사를	식사/NNG+를/JKO
못한	못/MAG+하/VV+ㄴ/ETM
상태여서	상태/NNG+이/VCP+어서/EC
먼저	먼저/MAG
의료팀이	의료/NNG+팀/NNG+이/JKS
(선원들의)	(/SS+선원/NNG+들/XSN+의/JKG+)/SS
건강	건강/NNG
상태를	상태/NNG+를/JKO
