# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.152
metadata : {}


# id : NWRW1800000054.152.1.1
홍완선(前 국민연금 본부장), 삼성합병 당일 위원 1명씩 불러 찬성 종용

홍완선(前	홍완선/NNP+(/SS+前/SH
국민연금	국민연금/NNG
본부장),	본부장/NNG+)/SS+,/SP
삼성합병	삼성/NNP+합병/NNG
당일	당일/NNG
위원	위원/NNG
1명씩	1/SN+명/NNB+씩/XSN
불러	부르/VV+어/EC
찬성	찬성/NNG
종용	종용/NNG


# id : NWRW1800000054.152.2.1
당시 회의 참석자 특검서 진술… 20분간 휴식 제안한 뒤 압박, 찬성 결정에 청와대에 보고

당시	당시/NNG
회의	회의/NNG
참석자	참석자/NNG
특검서	특검/NNG+서/JKB
진술…	진술/NNG+…/SE
20분간	20/SN+분/NNB+간/XSN
휴식	휴식/NNG
제안한	제안/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
압박,	압박/NNG+,/SP
찬성	찬성/NNG
결정에	결정/NNG+에/JKB
청와대에	청와대/NNP+에/JKB
보고	보고/NNG


# id : NWRW1800000054.152.3.1
박영수 특별검사팀은 홍완선(61) 전 국민연금공단 기금운용본부장이 2015년 7월 삼성물산·제일모직 합병 문제를 논의한 국민연금의 투자위원회 회의 도중 위원들을 개별적으로 불러 합병에 찬성하도록 종용했다는 진술을 확보한 것으로 2일 알려졌다.

박영수	박영수/NNP
특별검사팀은	특별/NNG+검사/NNG+팀/NNG+은/JX
홍완선(61)	홍완선/NNP+(/SS+61/SN+)/SS
전	전/MMD
국민연금공단	국민연금공단/NNP
기금운용본부장이	기금/NNG+운용/NNG+본부장/NNG+이/JKS
2015년	2015/SN+년/NNB
7월	7/SN+월/NNB
삼성물산·제일모직	삼성물산/NNP+·/SP+제일모직/NNP
합병	합병/NNG
문제를	문제/NNG+를/JKO
논의한	논의/NNG+하/XSV+ㄴ/ETM
국민연금의	국민연금/NNG+의/JKG
투자위원회	투자/NNG+위원회/NNG
회의	회의/NNG
도중	도중/NNG
위원들을	위원/NNG+들/XSN+을/JKO
개별적으로	개별/NNG+적/XSN+으로/JKB
불러	부르/VV+어/EC
합병에	합병/NNG+에/JKB
찬성하도록	찬성/NNG+하/XSV+도록/EC
종용했다는	종용/NNG+하/XSV+았/EP+다는/ETM
진술을	진술/NNG+을/JKO
확보한	확보/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
2일	2/SN+일/NNB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.152.4.1
국민연금 기금운용본부는 지난 2015년 7월 10일 오후 3시부터 홍 전 본부장 주재로 삼성 합병 찬반 여부를 결정하는 투자위원회를 열었다.

국민연금	국민연금/NNG
기금운용본부는	기금/NNG+운용/NNG+본부/NNG+는/JX
지난	지나/VV+ㄴ/ETM
2015년	2015/SN+년/NNB
7월	7/SN+월/NNB
10일	10/SN+일/NNB
오후	오후/NNG
