# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000044.358
metadata : {}


# id : NWRW1800000044.358.1.1
재원 마련이 숙제…교통복지 실현에 ‘전환점’

재원	재원/NNG
마련이	마련/NNG+이/JKS
숙제…교통복지	숙제/NNG+…/SE+교통/NNG+복지/NNG
실현에	실현/NNG+에/JKB
‘전환점’	‘/SS+전환점/NNG+’/SS


# id : NWRW1800000044.358.2.1
[한겨레] 선심성 공약 논란

[한겨레]	[/SS+한겨레/NNP+]/SS
선심성	선심/NNG+성/XSN
공약	공약/NNG
논란	논란/NNG


# id : NWRW1800000044.358.3.1
자치단체 후보들 잇따라 공약

자치단체	자치/NNG+단체/NNG
후보들	후보/NNG+들/XSN
잇따라	잇따르/VV+아/EC
공약	공약/NNG


# id : NWRW1800000044.358.4.1
예산 부담 크고 “포퓰리즘” 비판 속

예산	예산/NNG
부담	부담/NNG
크고	크/VA+고/EC
“포퓰리즘”	“/SS+포퓰리즘/NNG+”/SS
비판	비판/NNG
속	속/NNG


# id : NWRW1800000044.358.5.1
노선·노동 조건·서비스 질 등

노선·노동	노선/NNG+·/SP+노동/NNG
조건·서비스	조건/NNG+·/SP+서비스/NNG
질	질/NNG
등	등/NNB


# id : NWRW1800000044.358.6.1
버스 공공성 회복 실마리 기대

버스	버스/NNG
공공성	공공/NNG+성/XSN
회복	회복/NNG
실마리	실마리/NNG
기대	기대/NNG


# id : NWRW1800000044.358.7.1
6·4 지방선거를 앞두고 버스 (준)공영제와 무상버스 도입 등 대중교통 활성화를 위한 다양한 공약들이 쏟아졌다.

6·4	6/SN+·/SP+4/SN
지방선거를	지방/NNG+선거/NNG+를/JKO
앞두고	앞두/VV+고/EC
버스	버스/NNG
(준)공영제와	(/SS+준/XPN+)/SS+공영/NNG+제/XSN+와/JC
무상버스	무상/NNG+버스/NNG
도입	도입/NNG
등	등/NNB
대중교통	대중교통/NNG
활성화를	활성/NNG+화/XSN+를/JKO
위한	위하/VV+ㄴ/ETM
다양한	다양/NNG+하/XSA+ㄴ/ETM
공약들이	공약/NNG+들/XSN+이/JKS
쏟아졌다.	쏟아지/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.358.7.2
빨리 가려고 도로를 더 뚫기보다 사유화된 대중교통의 운영체계를 바꿔 이용자 누구에게나 공평한 접근성을 보장하는 등 대중교통에 공공성을 도입하자는 취지였다.

빨리	빨리/MAG
가려고	가/VV+려고/EC
도로를	도로/NNG+를/JKO
더	더/MAG
뚫기보다	뚫/VV+기/ETN+보다/JKB
사유화된	사유/NNG+화/XSN+되/XSV+ㄴ/ETM
대중교통의	대중교통/NNG+의/JKG
운영체계를	운영/NNG+체계/NNG+를/JKO
바꿔	바꾸/VV+어/EC
이용자	이용자/NNG
누구에게나	누구/NP+에게/JKB+나/JX
공평한	공평/NNG+하/XSA+ㄴ/ETM
접근성을	접근/NNG+성/XSN+을/JKO
보장하는	보장/NNG+하/XSV+는/ETM
등	등/NNB
대중교통에	대중교통/NNG+에/JKB
공공성을	공공/NNG+성/XSN+을/JKO
도입하자는	도입/NNG+하/XSV+자는/ETM
취지였다.	취지/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000044.358.8.1
29일 전국의 17개 시·도 광역단체장들이 내건 교통공약을 보면, 크게는 무상버스 도입(송하진·전북·새정치민주연합, 이병훈·광주·노동당 등)과 버스 준공영제(남경필·경기·새누리, 김진표·경기·새정치민주연합), 버스공영제(이낙연·전남·새정치민주연합)의 임기내 도입으로 나눠진다.

29일	29/SN+일/NNB
전국의	전국/NNG+의/JKG
17개	17/SN+개/NNB
시·도	시·도/NNG
광역단체장들이	광역/NNG+단체장/NNG+들/XSN+이/JKS
내건	내걸/VV+ㄴ/ETM
교통공약을	교통/NNG+공약/NNG+을/JKO
보면,	보/VV+면/EC+,/SP
크게는	크/VA+게/EC+는/JX
무상버스	무상/NNG+버스/NNG
도입(송하진·전북·새정치민주연합,	도입/NNG+(/SS+송하진/NNP+·/SP+전북/NNP+·/SP+새정치민주연합/NNP+,/SP
이병훈·광주·노동당	이병훈/NNP+·/SP+광주/NNP+·/SP+노동당/NNP
등)과	등/NNB+)/SS+과/JC
버스	버스/NNG
준공영제(남경필·경기·새누리,	준/XPN+공영/NNG+제/XSN+(/SS+남경필/NNP+·/SP+경기/NNP+·/SP+새누리/NNP+,/SP
김진표·경기·새정치민주연합),	김진표/NNP+·/SP+경기/NNP+·/SP+새정치민주연합/NNP+)/SS+,/SP
버스공영제(이낙연·전남·새정치민주연합)의	버스/NNG+공영/NNG+제/XSN+(/SS+이낙연/NNP+·/SP+전남/NNP+·/SP+새정치민주연합/NNP+)/SS+의/JKG
임기내	임기/NNG+내/NNB
도입으로	도입/NNG+으로/JKB
나눠진다.	나누/VV+어/EC+지/VX+ㄴ다/EF+./SF


# id : NWRW1800000044.358.9.1
버스 공영제를 내건 이낙연 새정치민주연합 전남지사 후보는 “전남은 초고령 지역인데다 벽지가 많아 누구나 버스를 이용할 수 있도록 교통복지의 실현이 절실하다”고 밝혔다.

버스	버스/NNG
공영제를	공영/NNG+제/XSN+를/JKO
내건	내걸/VV+ㄴ/ETM
이낙연	이낙연/NNP
새정치민주연합	새정치민주연합/NNP
전남지사	전남/NNP+지사/NNG
후보는	후보/NNG+는/JX
“전남은	“/SS+전남/NNP+은/JX
초고령	초/XPN+고령/NNG
지역인데다	지역/NNG+이/VCP+ㄴ/ETM+데/NNB+다/JX
벽지가	벽지/NNG+가/JKS
많아	많/VA+아/EC
누구나	누구/NP+나/JX
버스를	버스/NNG+를/JKO
이용할	이용/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
교통복지의	교통/NNG+복지/NNG+의/JKG
실현이	실현/NNG+이/JKS
절실하다”고	절실하/VA+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.358.9.2
준공영제를 약속한 남경필 새누리당 경기지사 후보는 “수익성을 따지지 않고 사람들의 수요에 맞도록 버스를 더 투입할 수 있는 이점”을, 김진표 새정치민주연합 경기지사 후보는 “주민 교통복지보다 영리를 최우선으로 하는 민영제의 구조적 문제점을 해결하기 위해”서라고 공약 이유를 설명했다.

준공영제를	준/XPN+공영/NNG+제/XSN+를/JKO
약속한	약속/NNG+하/XSV+ㄴ/ETM
남경필	남경필/NNP
새누리당	새누리당/NNP
경기지사	경기/NNP+지사/NNG
후보는	후보/NNG+는/JX
“수익성을	“/SS+수익/NNG+성/XSN+을/JKO
따지지	따지/VV+지/EC
않고	않/VX+고/EC
사람들의	사람/NNG+들/XSN+의/JKG
수요에	수요/NNG+에/JKB
맞도록	맞/VV+도록/EC
버스를	버스/NNG+를/JKO
더	더/MAG
투입할	투입/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
이점”을,	이점/NNG+”/SS+을/JKO+,/SP
김진표	김진표/NNP
새정치민주연합	새정치민주연합/NNP
“주민	“/SS+주민/NNG
교통복지보다	교통/NNG+복지/NNG+보다/JKB
영리를	영리/NNG+를/JKO
최우선으로	최/XPN+우선/NNG+으로/JKB
하는	하/VV+는/ETM
민영제의	민영/NNG+제/XSN+의/JKG
구조적	구조/NNG+적/XSN
문제점을	문제점/NNG+을/JKO
해결하기	해결/NNG+하/XSV+기/ETN
위해”서라고	위하/VV+아/EC+”/SS+서/NA+라고/JKQ
공약	공약/NNG
이유를	이유/NNG+를/JKO
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.358.10.1
지방선거에서 다양한 대중교통 공약이 두드러진 것은 사회 양극화로 계층간 교통비의 불형평성이 소득 격차 확대로 이어지는데다 버스회사들의 지나친 영리추구 경쟁으로 시민들의 불편이 커졌기 때문이라는 게 전문가들의 평가다.

지방선거에서	지방/NNG+선거/NNG+에서/JKB
다양한	다양/NNG+하/XSA+ㄴ/ETM
대중교통	대중교통/NNG
공약이	공약/NNG+이/JKS
두드러진	두드러지/VV+ㄴ/ETM
것은	것/NNB+은/JX
사회	사회/NNG
양극화로	양극/NNG+화/XSN+로/JKB
계층간	계층/NNG+간/NNB
교통비의	교통비/NNG+의/JKG
불형평성이	불/XPN+형평/NNG+성/XSN+이/JKS
소득	소득/NNG
격차	격차/NNG
확대로	확대/NNG+로/JKB
이어지는데다	이어지/VV+는/ETM+데/NNB+다/JX
버스회사들의	버스/NNG+회사/NNG+들/XSN+의/JKG
지나친	지나치/VA+ㄴ/ETM
영리추구	영리/NNG+추구/NNG
경쟁으로	경쟁/NNG+으로/JKB
시민들의	시민/NNG+들/XSN+의/JKG
불편이	불편/NNG+이/JKS
커졌기	커지/VV+었/EP+기/ETN
때문이라는	때문/NNB+이/VCP+라는/ETM
게	거/NNB+이/JKS
전문가들의	전문가/NNG+들/XSN+의/JKG
평가다.	평가/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000044.358.11.1
김남석 한양대 교수(교통물류공학)는 “2010년 지방선거에서 넘쳐난 도로 등 토목 건설 공약에 견줘 이번에 무상버스나 버스공영제 도입 공약은 상당히 진일보한 것이다.

김남석	김남석/NNP
한양대	한양대/NNP
교수(교통물류공학)는	교수/NNG+(/SS+교통/NNG+물류/NNG+공학/NNG+)/SS+는/JX
“2010년	“/SS+2010/SN+년/NNB
지방선거에서	지방/NNG+선거/NNG+에서/JKB
넘쳐난	넘치/VV+어/EC+나/VX+ㄴ/ETM
도로	도로/NNG
등	등/NNB
토목	토목/NNG
건설	건설/NNG
공약에	공약/NNG+에/JKB
견줘	견주/VV+어/EC
이번에	이번/NNG+에/JKB
무상버스나	무상/NNG+버스/NNG+나/JC
버스공영제	버스/NNG+공영/NNG+제/XSN
도입	도입/NNG
공약은	공약/NNG+은/JX
상당히	상당히/MAG
진일보한	진일보/NNG+하/XSV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000044.358.11.2
무상버스와 (준)공영제를 관통하는 것은 효율성 측면에서 버스를 더욱 매력적인 교통수단으로 만드는 것”이라고 평가했다.

무상버스와	무상/NNG+버스/NNG+와/JC
(준)공영제를	(/SS+준/XPN+)/SS+공영/NNG+제/XSN+를/JKO
관통하는	관통/NNG+하/XSV+는/ETM
것은	것/NNB+은/JX
효율성	효율/NNG+성/XSN
측면에서	측면/NNG+에서/JKB
버스를	버스/NNG+를/JKO
더욱	더욱/MAG
매력적인	매력/NNG+적/XSN+이/VCP+ㄴ/ETM
교통수단으로	교통수단/NNG+으로/JKB
만드는	만들/VV+는/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
평가했다.	평가/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.358.11.3
한국교통연구원 이주연 박사는 “90년대 후반 구제금융사태 이후 사회 양극화 현상이 심화되면서 계층간 교통비의 불공평성도 갈수록 심화돼 교통복지 차원에서 개선이 필요한 시점”이라고 말했다.

한국교통연구원	한국교통연구원/NNP
이주연	이주연/NNP
박사는	박사/NNG+는/JX
“90년대	“/SS+90/SN+년대/NNB
후반	후반/NNG
구제금융사태	구제/NNG+금융/NNG+사태/NNG
이후	이후/NNG
사회	사회/NNG
양극화	양극/NNG+화/XSN
현상이	현상/NNG+이/JKS
심화되면서	심화/NNG+되/XSV+면서/EC
계층간	계층/NNG+간/NNB
교통비의	교통비/NNG+의/JKG
불공평성도	불/XPN+공평/NNG+성/XSN+도/JX
갈수록	갈수록/MAG
심화돼	심화/NNG+되/XSV+어/EC
교통복지	교통/NNG+복지/NNG
차원에서	차원/NNG+에서/JKB
개선이	개선/NNG+이/JKS
필요한	필요/NNG+하/XSA+ㄴ/ETM
시점”이라고	시점/NNG+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.358.11.4
서민층일수록 교통비 부담이 커지면서 부유층과의 소득 격차가 더 커지는 이른바 ‘교통비 역진성’의 심화를 극복할 필요가 있다는 지적이다.

서민층일수록	서민/NNG+층/XSN+이/VCP+ㄹ수록/EC
교통비	교통비/NNG
부담이	부담/NNG+이/JKS
커지면서	커지/VV+면서/EC
부유층과의	부유/NNG+층/XSN+과/JKB+의/JKG
소득	소득/NNG
격차가	격차/NNG+가/JKS
더	더/MAG
커지는	커지/VV+는/ETM
이른바	이른바/MAG
‘교통비	‘/SS+교통비/NNG
역진성’의	역진/NNG+성/XSN+’/SS+의/JKG
심화를	심화/NNG+를/JKO
극복할	극복/NNG+하/XSV+ㄹ/ETM
필요가	필요/NNG+가/JKS
있다는	있/VA+다는/ETM
지적이다.	지적/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000044.358.12.1
기대를 모은 무상버스 논의는 거의 사그라진 상태다.

기대를	기대/NNG+를/JKO
모은	모으/VV+ㄴ/ETM
무상버스	무상/NNG+버스/NNG
논의는	논의/NNG+는/JX
거의	거의/MAG
사그라진	사그라지/VV+ㄴ/ETM
상태다.	상태/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000044.358.12.2
새정치민주연합 경기도지사 예비후보로 나섰던 김상곤 전 경기교육감이 당내 경선에서 탈락하면서 일부 후보와 진보 정당 후보들이 무상버스 공약을 낸 정도다.

새정치민주연합	새정치민주연합/NNP
경기도지사	경기/NNP+도지사/NNG
예비후보로	예비/NNG+후보/NNG+로/JKB
나섰던	나서/VV+었/EP+던/ETM
김상곤	김상곤/NNP
전	전/MMD
경기교육감이	경기/NNP+교육감/NNG+이/JKS
당내	당내/NNG
경선에서	경선/NNG+에서/JKB
탈락하면서	탈락/NNG+하/XSV+면서/EC
일부	일부/NNG
후보와	후보/NNG+와/JC
진보	진보/NNG
정당	정당/NNG
후보들이	후보/NNG+들/XSN+이/JKS
무상버스	무상/NNG+버스/NNG
공약을	공약/NNG+을/JKO
낸	내/VV+ㄴ/ETM
정도다.	정도/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000044.358.12.3
송하진 새정치민주연합 전북지사 후보는 “전북권 농산어촌 교통소외 지역부터 단계적으로 무료 콜버스 운행을 도입해, 교통 편의를 제공하겠다”고 밝히고 있다.

송하진	송하진/NNP
새정치민주연합	새정치민주연합/NNP
전북지사	전북/NNP+지사/NNG
후보는	후보/NNG+는/JX
“전북권	“/SS+전북/NNP+권/XSN
농산어촌	농산어촌/NNG
교통소외	교통/NNG+소외/NNG
지역부터	지역/NNG+부터/JX
단계적으로	단계/NNG+적/XSN+으로/JKB
무료	무료/NNG
콜버스	콜/NNG+버스/NNG
운행을	운행/NNG+을/JKO
도입해,	도입/NNG+하/XSV+아/EC+,/SP
교통	교통/NNG
편의를	편의/NNG+를/JKO
제공하겠다”고	제공/NNG+하/XSV+겠/EP+다/EF+”/SS+고/JKQ
밝히고	밝히/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000044.358.13.1
무상버스 공약에 대해 보수진영 등 비판자들은 ‘재원 조달을 도외시한 복지 포퓰리즘’으로 몰아세웠다.

무상버스	무상/NNG+버스/NNG
공약에	공약/NNG+에/JKB
대해	대하/VV+아/EC
보수진영	보수/NNG+진영/NNG
등	등/NNB
비판자들은	비판자/NNG+들/XSN+은/JX
‘재원	‘/SS+재원/NNG
조달을	조달/NNG+을/JKO
도외시한	도외/NNG+시/XSN+하/XSV+ㄴ/ETM
복지	복지/NNG
포퓰리즘’으로	포퓰리즘/NNG+’/SS+으로/JKB
몰아세웠다.	몰아세우/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.358.13.2
반면 교통 전문가들은 “무상버스가 우리의 대중교통 체계를 획기적으로 바꿀 전환점을 마련할 것”이라는 상반된 기대를 보인 바 있다.

반면	반면/NNG
교통	교통/NNG
전문가들은	전문가/NNG+들/XSN+은/JX
“무상버스가	“/SS+무상/NNG+버스/NNG+가/JKS
우리의	우리/NP+의/JKG
대중교통	대중교통/NNG
체계를	체계/NNG+를/JKO
획기적으로	획기적/NNG+으로/JKB
바꿀	바꾸/VV+ㄹ/ETM
전환점을	전환점/NNG+을/JKO
마련할	마련/NNG+하/XSV+ㄹ/ETM
것”이라는	것/NNB+”/SS+이/VCP+라는/ETM
상반된	상반/NNG+되/XSV+ㄴ/ETM
기대를	기대/NNG+를/JKO
보인	보이/VV+ㄴ/ETM
바	바/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000044.358.14.1
한국운수산업연구원 조규석 박사는 “무상버스는 재원 조달이 제대로 설명되지 않으면서 비판을 자초한 면도 있다.

한국운수산업연구원	한국운수산업연구원/NNP
조규석	조규석/NNP
박사는	박사/NNG+는/JX
“무상버스는	“/SS+무상/NNG+버스/NNG+는/JX
재원	재원/NNG
조달이	조달/NNG+이/JKS
제대로	제대로/MAG
설명되지	설명/NNG+되/XSV+지/EC
않으면서	않/VX+으면서/EC
비판을	비판/NNG+을/JKO
