# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000040.206
metadata : {}


# id : NWRW1800000040.206.1.1
김종성 충남교육감 구속

김종성	김종성/NNP
충남교육감	충남/NNP+교육감/NNG
구속	구속/NNG


# id : NWRW1800000040.206.2.1
장학사 선발시험 비리 혐의로 경찰 수사를 받아온 김종성(63) 충남도교육감이 6일 구속됐다.

장학사	장학사/NNG
선발시험	선발/NNG+시험/NNG
비리	비리/NNG
혐의로	혐의/NNG+로/JKB
경찰	경찰/NNG
수사를	수사/NNG+를/JKO
받아온	받/VV+아/EC+오/VX+ㄴ/ETM
김종성(63)	김종성/NNP+(/SS+63/SN+)/SS
충남도교육감이	충남도/NNP+교육감/NNG+이/JKS
6일	6/SN+일/NNB
구속됐다.	구속/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000040.206.2.2
전임 강복환·오제직 교육감에 이어 또다시 충남 교육수장이 법정에 서게 됐다.

전임	전임/NNG
강복환·오제직	강복환/NNP+·/SP+오제직/NNP
교육감에	교육감/NNG+에/JKB
이어	잇/VV+어/EC
또다시	또다시/MAG
충남	충남/NNP
교육수장이	교육/NNG+수장/NNG+이/JKS
법정에	법정/NNG+에/JKB
서게	서/VV+게/EC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000040.206.3.1
대전지법 신종오 영장전담판사는 4일 검찰이 지난해 치러진 장학사 선발시험 문제를 유출하고 대가로 교사들에게 모두 2억6000만원을 받도록 하는가 하면 특정 교사들을 합격시키도록 지시한 혐의(위계에 의한 공무집행 방해 등)로 김 교육감에 대해 청구한 사전구속영장을 이날 밤늦게 발부했다.

대전지법	대전지법/NNP
신종오	신종오/NNP
영장전담판사는	영장/NNG+전담/NNG+판사/NNG+는/JX
4일	4/SN+일/NNB
검찰이	검찰/NNG+이/JKS
지난해	지난해/NNG
치러진	치르/VV+어/EC+지/VX+ㄴ/ETM
장학사	장학사/NNG
선발시험	선발/NNG+시험/NNG
문제를	문제/NNG+를/JKO
유출하고	유출/NNG+하/XSV+고/EC
대가로	대가/NNG+로/JKB
교사들에게	교사/NNG+들/XSN+에게/JKB
모두	모두/MAG
2억6000만원을	2/SN+억/NR+6000/SN+만/NR+원/NNB+을/JKO
받도록	받/VV+도록/EC
하는가	하/VX+는가/EF
하면	하/VV+면/EC
특정	특정/NNG
교사들을	교사/NNG+들/XSN+을/JKO
합격시키도록	합격/NNG+시키/XSV+도록/EC
지시한	지시/NNG+하/XSV+ㄴ/ETM
혐의(위계에	혐의/NNG+(/SS+위계/NNG+에/JKB
의한	의하/VV+ㄴ/ETM
공무집행	공무/NNG+집행/NNG
방해	방해/NNG
등)로	등/NNB+)/SS+로/JKB
김	김/NNP
교육감에	교육감/NNG+에/JKB
대해	대하/VV+아/EC
청구한	청구/NNG+하/XSV+ㄴ/ETM
사전구속영장을	사전/NNG+구속/NNG+영장/NNG+을/JKO
이날	이날/NNG
