# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000056.298
metadata : {}


# id : NWRW1800000056.298.1.1
[유레카] 벙커의 히틀러 / 고명섭

[유레카]	[/SS+유레카/NNG+]/SS
벙커의	벙커/NNG+의/JKG
히틀러	히틀러/NNP
/	//SP
고명섭	고명섭/NNP


# id : NWRW1800000056.298.2.1
1943년 2월 스탈린그라드 전투 패배로 아돌프 히틀러의 독일에 패색이 짙어졌다.

1943년	1943/SN+년/NNB
2월	2/SN+월/NNB
스탈린그라드	스탈린그라드/NNP
전투	전투/NNG
패배로	패배/NNG+로/JKB
아돌프	아돌프/NNP
히틀러의	히틀러/NNP+의/JKG
독일에	독일/NNP+에/JKB
패색이	패색/NNG+이/JKS
짙어졌다.	짙어지/VV+었/EP+다/EF+./SF


# id : NWRW1800000056.298.2.2
1944년 7월20일 북유럽신화 속 반신 ‘발키리’에서 암호명을 딴 히틀러 암살 음모가 실행에 옮겨졌다.

1944년	1944/SN+년/NNB
7월20일	7/SN+월/NNB+20/SN+일/NNB
북유럽신화	북유럽/NNP+신화/NNG
속	속/NNG
반신	반신/NNG
‘발키리’에서	‘/SS+발키리/NNG+’/SS+에서/JKB
암호명을	암호/NNG+명/NNG+을/JKO
딴	따/VV+ㄴ/ETM
히틀러	히틀러/NNP
암살	암살/NNG
음모가	음모/NNG+가/JKS
실행에	실행/NNG+에/JKB
옮겨졌다.	옮기/VV+어/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000056.298.2.3
볼프샨체에서 열린 전시 최고회의 탁자 밑에서 시한폭탄이 터졌다.

볼프샨체에서	볼프샨체/NNP+에서/JKB
열린	열리/VV+ㄴ/ETM
전시	전시/NNG
최고회의	최고/NNG+회의/NNG
탁자	탁자/NNG
밑에서	밑/NNG+에서/JKB
시한폭탄이	시한폭탄/NNG+이/JKS
터졌다.	터지/VV+었/EP+다/EF+./SF


# id : NWRW1800000056.298.2.4
탁자의 두꺼운 다리에 막혀 폭탄은 목표물을 잡지 못했다.

탁자의	탁자/NNG+의/JKG
두꺼운	두껍/VA+ㄴ/ETM
다리에	다리/NNG+에/JKB
막혀	막히/VV+어/EC
폭탄은	폭탄/NNG+은/JX
목표물을	목표물/NNG+을/JKO
잡지	잡/VV+지/EC
못했다.	못하/VX+았/EP+다/EF+./SF


# id : NWRW1800000056.298.2.5
살아남은 히틀러는 이 기사회생의 사건을 독일군의 전세 역전과 최종 승리를 알리는 전조로 해석했다.

살아남은	살아남/VV+은/ETM
히틀러는	히틀러/NNP+는/JX
이	이/MMD
기사회생의	기사회생/NNG+의/JKG
사건을	사건/NNG+을/JKO
독일군의	독일군/NNG+의/JKG
전세	전세/NNG
역전과	역전/NNG+과/JC
최종	최종/NNG
승리를	승리/NNG+를/JKO
알리는	알리/VV+는/ETM
전조로	전조/NNG+로/JKB
해석했다.	해석/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000056.298.2.6
그러나 전황은 달라지지 않았다.

그러나	그러나/MAJ
전황은	전황/NNG+은/JX
달라지지	달라지/VV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000056.298.2.7
서부전선 연합군과 동부전선 소련군의 협공으로 독일군은 패주를 거듭했다.

서부전선	서부/NNG+전선/NNG
연합군과	연합군/NNG+과/JC
동부전선	동부/NNG+전선/NNG
소련군의	소련군/NNG+의/JKG
협공으로	협공/NNG+으로/JKB
독일군은	독일군/NNG+은/JX
패주를	패주/NNG+를/JKO
거듭했다.	거듭/MAG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000056.298.2.8
1945년 1월 히틀러는 베를린 총통 관저 지하에 만든 두께 3.5m의 콘크리트 벙커로 숨어들었다.

1945년	1945/SN+년/NNB
1월	1/SN+월/NNB
히틀러는	히틀러/NNP+는/JX
베를린	베를린/NNP
총통	총통/NNG
관저	관저/NNG
지하에	지하/NNG+에/JKB
만든	만들/VV+ㄴ/ETM
두께	두께/NNG
3.5m의	3/SN+./SP+5/SN+m/SW+의/JKG
콘크리트	콘크리트/NNG
벙커로	벙커/NNG+로/JKB
숨어들었다.	숨어들/VV+었/EP+다/EF+./SF


# id : NWRW1800000056.298.2.9
총통은 벙커의 전쟁사령부에서 전선의 지휘관들을 닦달했지만 전세는 뒤집힐 기미를 보이지 않았다.

총통은	총통/NNG+은/JX
벙커의	벙커/NNG+의/JKG
전쟁사령부에서	전쟁/NNG+사령부/NNG+에서/JKB
전선의	전선/NNG+의/JKG
지휘관들을	지휘관/NNG+들/XSN+을/JKO
닦달했지만	닦달/NNG+하/XSV+았/EP+지만/EC
전세는	전세/NNG+는/JX
뒤집힐	뒤집히/VV+ㄹ/ETM
기미를	기미/NNG+를/JKO
보이지	보이/VV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000056.298.2.10
3월9일 히틀러는 군수장관 슈페어에게 독일의 모든 것을 파괴하라는 ‘네로 명령’을 내렸다.

3월9일	3/SN+월/NNB+9/SN+일/NNB
히틀러는	히틀러/NNP+는/JX
군수장관	군수/NNG+장관/NNG
슈페어에게	슈페어/NNP+에게/JKB
독일의	독일/NNP+의/JKG
모든	모든/MMN
것을	것/NNB+을/JKO
파괴하라는	파괴/NNG+하/XSV+라는/ETM
‘네로	‘/SS+네로/NNG
명령’을	명령/NNG+’/SS+을/JKO
내렸다.	내리/VV+었/EP+다/EF+./SF


# id : NWRW1800000056.298.2.11
히틀러보다 정신이 멀쩡했던 슈페어는 초토화 명령을 이행하지 않았다.

히틀러보다	히틀러/NNP+보다/JKB
정신이	정신/NNG+이/JKS
멀쩡했던	멀쩡하/VA+았/EP+던/ETM
슈페어는	슈페어/NNP+는/JX
초토화	초토/NNG+화/XSN
명령을	명령/NNG+을/JKO
이행하지	이행/NNG+하/XSV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000056.298.2.12
연합군이 엘베강 서쪽을 장악하고 소련군이 베를린 동쪽 30㎞ 지점까지 진격했다.

연합군이	연합군/NNG+이/JKS
엘베강	엘베강/NNP
서쪽을	서쪽/NNG+을/JKO
장악하고	장악/NNG+하/XSV+고/EC
소련군이	소련군/NNG+이/JKS
베를린	베를린/NNP
동쪽	동쪽/NNG
30㎞	30/SN+㎞/SW
지점까지	지점/NNG+까지/JX
진격했다.	진격/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000056.298.2.13
히틀러와 최측근 괴벨스는 끊임없이 별점을 쳤다.

히틀러와	히틀러/NNP+와/JC
최측근	최/XPN+측근/NNG
괴벨스는	괴벨스/NNP+는/JX
끊임없이	끊임없이/MAG
별점을	별점/NNG+을/JKO
쳤다.	치/VV+었/EP+다/EF+./SF


# id : NWRW1800000056.298.2.14
믿을 것은 별들의 조화밖에 없었다.

