# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.229
metadata : {}


# id : NWRW1800000029.229.1.1
[휴지통]“月 3000만원 보장”에 여대생-40대 주부도 日원정 성매매

[휴지통]“月	[/SS+휴지통/NNG+]/SS+“/SS+月/SH
3000만원	3000/SN+만/NR+원/NNB
보장”에	보장/NNG+”/SS+에/JKB
여대생-40대	여대/NNG+생/XSN+-/SO+40/SN+대/NNB
주부도	주부/NNG+도/JX
日원정	日/SH+원정/NNG
성매매	성매매/NNG


# id : NWRW1800000029.229.2.1
경찰 ‘원정녀 동영상’ 수사… 日매수남이 몰래 포르노 찍어

경찰	경찰/NNG
‘원정녀	‘/SS+원정/NNG+녀/NNG
동영상’	동영상/NNG+’/SS
수사…	수사/NNG+…/SE
日매수남이	日/SH+매수/NNG+남/NNG+이/JKS
몰래	몰래/MAG
포르노	포르노/NNG
찍어	찍/VV+어/EF


# id : NWRW1800000029.229.3.1
일본으로 원정 성매매를 떠난 여성들의 성행위 장면이 담긴 일명 ‘원정녀 동영상’ 20여 편은 광복절인 올해 8월 15일 일본 누리꾼이 국내 파일공유(P2P) 사이트에 올린 이후 급속도로 퍼져 나갔다.

일본으로	일본/NNP+으로/JKB
원정	원정/NNG
성매매를	성매매/NNG+를/JKO
떠난	떠나/VV+ㄴ/ETM
여성들의	여성/NNG+들/XSN+의/JKG
성행위	성행위/NNG
장면이	장면/NNG+이/JKS
담긴	담기/VV+ㄴ/ETM
일명	일명/NNG
‘원정녀	‘/SS+원정/NNG+녀/NNG
동영상’	동영상/NNG+’/SS
20여	20/SN+여/XSN
편은	편/NNB+은/JX
광복절인	광복절/NNG+이/VCP+ㄴ/ETM
올해	올해/NNG
8월	8/SN+월/NNB
15일	15/SN+일/NNB
일본	일본/NNP
누리꾼이	누리/NNG+꾼/XSN+이/JKS
국내	국내/NNG
파일공유(P2P)	파일/NNG+공유/NNG+(/SS+P/SL+2/SN+P/SL+)/SS
사이트에	사이트/NNG+에/JKB
올린	올리/VV+ㄴ/ETM
이후	이후/NNG
급속도로	급속도/NNG+로/JKB
퍼져	퍼지/VV+어/EC
나갔다.	나가/VX+았/EP+다/EF+./SF


# id : NWRW1800000029.229.3.2
당시에는 ‘몰래카메라 형식으로 찍은 야동(야한 동영상)이다’, ‘원정녀들도 모르고 찍혀 피해자다’라는 설들이 인터넷을 뜨겁게 달궜다.

당시에는	당시/NNG+에/JKB+는/JX
‘몰래카메라	‘/SS+몰래카메라/NNG
형식으로	형식/NNG+으로/JKB
찍은	찍/VV+은/ETM
야동(야한	야동/NNG+(/SS+야하/VA+ㄴ/ETM
동영상)이다’,	동영상/NNG+)/SS+이/VCP+다/EF+’/SS+,/SP
‘원정녀들도	‘/SS+원정/NNG+녀/NNG+들/XSN+도/JX
모르고	모르/VV+고/EC
찍혀	찍히/VV+어/EC
피해자다’라는	피해자/NNG+이/VCP+다/EF+’/SS+이/VCP+라는/ETM
설들이	설/NNG+들/XSN+이/JKS
인터넷을	인터넷/NNG+을/JKO
뜨겁게	뜨겁/VA+게/EC
달궜다.	달구/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.229.3.3
일부 누리꾼은 모자이크 처리 없이 그대로 노출된 원정녀의 얼굴을 바탕으로 신상을 털기도 했다.

일부	일부/NNG
누리꾼은	누리/NNG+꾼/XSN+은/JX
모자이크	모자이크/NNG
처리	처리/NNG
없이	없이/MAG
그대로	그대로/MAG
노출된	노출/NNG+되/XSV+ㄴ/ETM
원정녀의	원정/NNG+녀/NNG+의/JKG
얼굴을	얼굴/NNG+을/JKO
바탕으로	바탕/NNG+으로/JKB
신상을	신상/NNG+을/JKO
털기도	털/VV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000029.229.4.1
한바탕 논란이 벌어진 이후 잊혀지는 듯했던 원정녀 사건은 최근 서울지방경찰청 국제범죄수사대가 일본 원정 성매매를 단속하는 과정에서 실체가 드러났다.

한바탕	한바탕/MAG
논란이	논란/NNG+이/JKS
벌어진	벌어지/VV+ㄴ/ETM
이후	이후/NNG
잊혀지는	잊혀지/VV+는/ETM
듯했던	듯/NNB+하/XSA+았/EP+던/ETM
원정녀	원정/NNG+녀/NNG
사건은	사건/NNG+은/JX
최근	최근/MAG
서울지방경찰청	서울지방경찰청/NNP
국제범죄수사대가	국제/NNG+범죄/NNG+수사대/NNG+가/JKS
일본	일본/NNP
원정	원정/NNG
성매매를	성매매/NNG+를/JKO
단속하는	단속/NNG+하/XSV+는/ETM
과정에서	과정/NNG+에서/JKB
실체가	실체/NNG+가/JKS
드러났다.	드러나/VV+았/EP+다/EF+./SF


# id : NWRW1800000029.229.4.2
경찰은 일본 도쿄(東京)에서 성매매를 한 한국인 여성 16명과 이들의 현지 취업을 도운 최모 씨(35) 등 브로커 6명을 입건했다고 6일 밝혔다.

경찰은	경찰/NNG+은/JX
일본	일본/NNP
도쿄(東京)에서	도쿄/NNP+(/SS+東京/SH+)/SS+에서/JKB
성매매를	성매매/NNG+를/JKO
한	하/VV+ㄴ/ETM
한국인	한국인/NNG
여성	여성/NNG
16명과	16/SN+명/NNB+과/JC
이들의	이/NP+들/XSN+의/JKG
현지	현지/NNG
취업을	취업/NNG+을/JKO
도운	돕/VV+ㄴ/ETM
최모	최/NNP+모/NP
씨(35)	씨/NNB+(/SS+35/SN+)/SS
등	등/NNB
브로커	브로커/NNG
6명을	6/SN+명/NNB+을/JKO
입건했다고	입건/NNG+하/XSV+았/EP+다고/EC
6일	6/SN+일/NNB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.229.4.3
성매매 여성 중에는 여대생과 40대 주부도 있었다.

성매매	성매매/NNG
여성	여성/NNG
중에는	중/NNB+에/JKB+는/JX
여대생과	여대/NNG+생/XSN+과/JKB
40대	40/SN+대/NNB
주부도	주부/NNG+도/JX
있었다.	있/VA+었/EP+다/EF+./SF


# id : NWRW1800000029.229.5.1
경찰 조사 결과 최 씨는 이들에게 “해외에서 일하면 익명성을 보장받고 월 3000만 원을 벌 수 있다”고 속인 것으로 드러났다.

경찰	경찰/NNG
조사	조사/NNG
결과	결과/NNG
최	최/NNP
씨는	씨/NNB+는/JX
이들에게	이/NP+들/XSN+에게/JKB
“해외에서	“/SS+해외/NNG+에서/JKB
일하면	일/NNG+하/XSV+면/EC
익명성을	익명/NNG+성/XSN+을/JKO
보장받고	보장/NNG+받/XSV+고/EC
월	월/NNG
3000만	3000/SN+만/NR
원을	원/NNB+을/JKO
벌	벌/VV+ㄹ/ETM
수	수/NNB
있다”고	있/VA+다/EF+”/SS+고/JKQ
속인	속이/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
드러났다.	드러나/VV+았/EP+다/EF+./SF


# id : NWRW1800000029.229.5.2
여성들은 수익은커녕 항공료와 숙박비, 성형수술비 명목으로 1000만 원의 빚만 떠안았다.

여성들은	여성/NNG+들/XSN+은/JX
수익은커녕	수익/NNG+은커녕/JX
항공료와	항공료/NNG+와/JC
숙박비,	숙박비/NNG+,/SP
성형수술비	성형/NNG+수술비/NNG
명목으로	명목/NNG+으로/JKB
1000만	1000/SN+만/NR
원의	원/NNB+의/JKG
빚만	빚/NNG+만/JX
떠안았다.	떠안/VV+았/EP+다/EF+./SF


# id : NWRW1800000029.229.6.1
경찰 관계자는 “포르노 배우인 일본 성매수남이 거울 뒤에 몰래카메라를 설치하고 영상을 찍어 유포한 것으로 보인다”고 말했다.

경찰	경찰/NNG
관계자는	관계자/NNG+는/JX
“포르노	“/SS+포르노/NNG
배우인	배우/NNG+이/VCP+ㄴ/ETM
일본	일본/NNP
성매수남이	성/NNG+매수/NNG+남/NNG+이/JKS
거울	거울/NNG
뒤에	뒤/NNG+에/JKB
몰래카메라를	몰래카메라/NNG+를/JKO
설치하고	설치/NNG+하/XSV+고/EC
영상을	영상/NNG+을/JKO
찍어	찍/VV+어/EC
유포한	유포/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
보인다”고	보이/VV+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.229.6.2
2차례 원정 성매매를 하고 국내에 돌아온 A 씨는 자신의 동영상이 인터넷에 유포되자 충격을 받고 장기간 정신과 치료까지 받고 있는 상태라고 경찰은 전했다.

2차례	2/SN+차례/NNG
원정	원정/NNG
성매매를	성매매/NNG+를/JKO
하고	하/VV+고/EC
국내에	국내/NNG+에/JKB
돌아온	돌아오/VV+ㄴ/ETM
A	A/SL
씨는	씨/NNB+는/JX
자신의	자신/NNG+의/JKG
동영상이	동영상/NNG+이/JKS
인터넷에	인터넷/NNG+에/JKB
유포되자	유포/NNG+되/XSV+자/EC
충격을	충격/NNG+을/JKO
받고	받/VV+고/EC
장기간	장기간/NNG
정신과	정신과/NNG
치료까지	치료/NNG+까지/JX
있는	있/VX+는/ETM
상태라고	상태/NNG+이/VCP+라고/EC
경찰은	경찰/NNG+은/JX
전했다.	전하/VV+았/EP+다/EF+./SF


