# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000044.331
metadata : {}


# id : NWRW1800000044.331.1.1
새누리, 국정원 ‘휴대전화 감청’ 강화 추진

새누리,	새누리/NNP+,/SP
국정원	국정원/NNG
‘휴대전화	‘/SS+휴대/NNG+전화/NNG
감청’	감청/NNG+’/SS
강화	강화/NNG
추진	추진/NNG


# id : NWRW1800000044.331.2.1
[한겨레] “감청 협조 못받아 수사에 차질”

[한겨레]	[/SS+한겨레/NNP+]/SS
“감청	“/SS+감청/NNG
협조	협조/NNG
못받아	못/MAG+받/VV+아/EC
수사에	수사/NNG+에/JKB
차질”	차질/NNG+”/SS


# id : NWRW1800000044.331.3.1
이통사에 설비 의무화법 발의

이통사에	이통사/NNG+에/JKB
설비	설비/NNG
의무화법	의무/NNG+화/XSN+법/NNG
발의	발의/NNG


# id : NWRW1800000044.331.4.1
민주 “논의 가치 없어” 즉각 반대

민주	민주/NNP
“논의	“/SS+논의/NNG
가치	가치/NNG
없어”	없/VA+어/EF+”/SS
즉각	즉각/MAG
반대	반대/NNG


# id : NWRW1800000044.331.5.1
국가정보원의 기능 강화를 요구해온 새누리당이 통신업체에 휴대전화 감청 설비를 ‘의무적으로’ 갖추도록 하는 내용의 통신비밀보호법(통비법) 개정안을 발의했다.

국가정보원의	국가/NNG+정보원/NNG+의/JKG
기능	기능/NNG
강화를	강화/NNG+를/JKO
요구해온	요구/NNG+하/XSV+아/EC+오/VX+ㄴ/ETM
새누리당이	새누리당/NNP+이/JKS
통신업체에	통신업체/NNG+에/JKB
휴대전화	휴대/NNG+전화/NNG
감청	감청/NNG
설비를	설비/NNG+를/JKO
‘의무적으로’	‘/SS+의무/NNG+적/XSN+으로/JKB+’/SS
갖추도록	갖추/VV+도록/EC
하는	하/VX+는/ETM
내용의	내용/NNG+의/JKG
통신비밀보호법(통비법)	통신/NNG+비밀/NNG+보호법/NNG+(/SS+통비법/NNG+)/SS
개정안을	개정안/NNG+을/JKO
발의했다.	발의/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.331.5.2
야당과 정보인권단체는 국정원의 신뢰가 바닥까지 추락한 상황에서, 불법감청 방지 대책도 없이 감청 기능만 강화하는 안은 받아들일 수 없다는 입장이다.

야당과	야당/NNG+과/JC
정보인권단체는	정보/NNG+인권/NNG+단체/NNG+는/JX
국정원의	국정원/NNG+의/JKG
신뢰가	신뢰/NNG+가/JKS
바닥까지	바닥/NNG+까지/JX
추락한	추락/NNG+하/XSV+ㄴ/ETM
상황에서,	상황/NNG+에서/JKB+,/SP
불법감청	불법/NNG+감청/NNG
방지	방지/NNG
대책도	대책/NNG+도/JX
없이	없이/MAG
감청	감청/NNG
기능만	기능/NNG+만/JX
강화하는	강화/NNG+하/XSV+는/ETM
안은	안/NNG+은/JX
받아들일	받아들이/VV+ㄹ/ETM
수	수/NNB
없다는	없/VA+다는/ETM
입장이다.	입장/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000044.331.6.1
국회 정보위원장인 서상기 새누리당 의원은 3일 통신업체에 감청설비의 설치를 의무화하고, 이를 어기면 해마다 최대 20억원까지 이행강제금을 부과할 수 있도록 하는 통비법 개정안을 발의했다.

국회	국회/NNG
정보위원장인	정보/NNG+위원장/NNG+이/VCP+ㄴ/ETM
서상기	서상기/NNP
새누리당	새누리당/NNP
의원은	의원/NNG+은/JX
3일	3/SN+일/NNB
통신업체에	통신업체/NNG+에/JKB
감청설비의	감청/NNG+설비/NNG+의/JKG
