# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000036.194
metadata : {}


# id : NWRW1800000036.194.1.1
“나꼼수 표현의 자유 인정하지만, 사과해야”

“나꼼수	“/SS+나꼼수/NNG
표현의	표현/NNG+의/JKG
자유	자유/NNG
인정하지만,	인정/NNG+하/XSV+지만/EC+,/SP
사과해야”	사과/NNG+하/XSV+아야/EC+”/SS


# id : NWRW1800000036.194.2.1
[한겨레]

[한겨레]	[/SS+한겨레/NNP+]/SS


# id : NWRW1800000036.194.3.1
정봉주 전 의원 석방을 위한 비키니 시위 논란과 인기 팟캐스트 방송 ‘나는 꼼수다’ 제작진의 발언에 대해 ‘표현의 자유를 인정해야 하지만 적절하지 못했으므로 사과해야 한다’는 의견이 많은 것으로 나타났다.

정봉주	정봉주/NNP
전	전/MMD
의원	의원/NNG
석방을	석방/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
비키니	비키니/NNG
시위	시위/NNG
논란과	논란/NNG+과/JC
인기	인기/NNG
팟캐스트	팟캐스트/NNG
방송	방송/NNG
‘나는	‘/SS+나/NP+는/JX
꼼수다’	꼼수/NNG+이/VCP+다/EF+’/SS
제작진의	제작진/NNG+의/JKG
발언에	발언/NNG+에/JKB
대해	대하/VV+아/EC
‘표현의	‘/SS+표현/NNG+의/JKG
자유를	자유/NNG+를/JKO
인정해야	인정/NNG+하/XSV+아야/EC
하지만	하/VX+지만/EC
적절하지	적절하/VA+지/EC
못했으므로	못하/VX+았/EP+으므로/EC
사과해야	사과/NNG+하/XSV+아야/EC
한다’는	하/VX+ㄴ다/EF+’/SS+는/ETM
의견이	의견/NNG+이/JKS
많은	많/VA+은/ETM
것으로	것/NNB+으로/JKB
나타났다.	나타나/VV+았/EP+다/EF+./SF


# id : NWRW1800000036.194.4.1
