# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000032.145
metadata : {}


# id : NWRW1800000032.145.1.1
레바논·이란, CIA 스파이 대거 적발

레바논·이란,	레바논/NNP+·/SP+이란/NNP+,/SP
CIA	CIA/SL
스파이	스파이/NNG
대거	대거/MAG
적발	적발/NNG


# id : NWRW1800000032.145.2.1
헤즈볼라 10여명·이란서도 30여명 체포

헤즈볼라	헤즈볼라/NNP
10여명·이란서도	10/SN+여/XSN+명/NNB+·/SP+이란/NNP+서/JKB+도/JX
30여명	30/SN+여/XSN+명/NNB
체포	체포/NNG


# id : NWRW1800000032.145.3.1
상당수 이중간첩 노릇…처형당할 위기

상당수	상당수/NNG
이중간첩	이중간첩/NNG
노릇…처형당할	노릇/NNG+…/SE+처형/NNG+당하/XSV+ㄹ/ETM
위기	위기/NNG


# id : NWRW1800000032.145.4.1
CIA 흔치 않은 대참사…백악관은 침묵

CIA	CIA/SL
흔치	흔하/VA+지/EC
않은	않/VX+은/ETM
대참사…백악관은	대/XPN+참사/NNG+…/SE+백악관/NNP+은/JX
침묵	침묵/NNG


# id : NWRW1800000032.145.5.1
이란과 레바논에서 정보수집 임무를 띠고 활동해온 미 중앙정보국(CIA) 스파이들이 대거 적발돼 처형당할 위기에 처했다.

이란과	이란/NNP+과/JC
레바논에서	레바논/NNP+에서/JKB
정보수집	정보/NNG+수집/NNG
임무를	임무/NNG+를/JKO
띠고	띠/VV+고/EC
활동해온	활동/NNG+하/XSV+아/EC+오/VX+ㄴ/ETM
미	미/NNP
중앙정보국(CIA)	중앙정보국/NNP+(/SS+CIA/SL+)/SS
스파이들이	스파이/NNG+들/XSN+이/JKS
대거	대거/MAG
적발돼	적발/NNG+되/XSV+어/EC
처형당할	처형/NNG+당하/XSV+ㄹ/ETM
위기에	위기/NNG+에/JKB
처했다.	처하/VV+았/EP+다/EF+./SF


# id : NWRW1800000032.145.5.2
이 지역의 정보망이 거의 괴멸된 것으로 추정되며, 중앙정보국 역사상 흔치않은 대참사다.

이	이/MMD
지역의	지역/NNG+의/JKG
정보망이	정보망/NNG+이/JKS
거의	거의/MAG
괴멸된	괴멸/NNG+되/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
추정되며,	추정/NNG+되/XSV+며/EC+,/SP
중앙정보국	중앙정보국/NNP
역사상	역사/NNG+상/XSN
흔치않은	흔하/VA+지/EC+않/VX+은/ETM
대참사다.	대/XPN+참사/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000032.145.6.1
<에이피>(AP) 통신 등은 21일 레바논 시아파 무장그룹 헤즈볼라가 레바논에서 활동하던 중앙정보국 첩보원 10여명을 체포했다고 보도했다.

<에이피>(AP)	</SS+에이피/NNP+>/SS+(/SS+AP/SL+)/SS
통신	통신/NNG
등은	등/NNB+은/JX
21일	21/SN+일/NNB
레바논	레바논/NNP
시아파	시아파/NNG
무장그룹	무장/NNG+그룹/NNG
헤즈볼라가	헤즈볼라/NNP+가/JKS
레바논에서	레바논/NNP+에서/JKB
활동하던	활동/NNG+하/XSV+던/ETM
중앙정보국	중앙정보국/NNP
첩보원	첩보원/NNG
10여명을	10/SN+여/XSN+명/NNB+을/JKO
체포했다고	체포/NNG+하/XSV+았/EP+다고/EC
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.145.6.2
미 <에이비시>(ABC) 방송은 이란에서도 30여명의 첩보원이 붙잡혔다고 전했다.

미	미/NNP
<에이비시>(ABC)	</SS+에이비시/NNP+>/SS+(/SS+ABC/SL+)/SS
방송은	방송/NNG+은/JX
이란에서도	이란/NNP+에서/JKB+도/JX
30여명의	30/SN+여/XSN+명/NNB+의/JKG
첩보원이	첩보원/NNG+이/JKS
붙잡혔다고	붙잡히/VV+었/EP+다고/EC
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000032.145.7.1
전·현직 미국 정보 당국자가 확인해준 이 소식은 지난해 정보조직의 최고 책임자들이 중동 지역에서 정보원들에 대한 세심한 관리가 필요하다며 밝힌 우려가 현실화된 것이다.

전·현직	전·현직/NNG
미국	미국/NNP
정보	정보/NNG
당국자가	당국자/NNG+가/JKS
확인해준	확인/NNG+하/XSV+아/EC+주/VX+ㄴ/ETM
이	이/MMD
소식은	소식/NNG+은/JX
지난해	지난해/NNG
정보조직의	정보/NNG+조직/NNG+의/JKG
최고	최고/NNG
책임자들이	책임자/NNG+들/XSN+이/JKS
중동	중동/NNP
지역에서	지역/NNG+에서/JKB
정보원들에	정보원/NNG+들/XSN+에/JKB
대한	대하/VV+ㄴ/ETM
세심한	세심하/VA+ㄴ/ETM
관리가	관리/NNG+가/JKS
필요하다며	필요/NNG+하/XSA+다며/EC
밝힌	밝히/VV+ㄴ/ETM
우려가	우려/NNG+가/JKS
현실화된	현실/NNG+화/XSN+되/XSV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000032.145.7.2
붙잡힌 스파이들은 상당수가 ‘이중간첩’ 역할을 하며 헤즈볼라 내부에 투입돼 있던 정보원들이라고 <에이비시> 방송은 전했다.

붙잡힌	붙잡히/VV+ㄴ/ETM
스파이들은	스파이/NNG+들/XSN+은/JX
상당수가	상당수/NNG+가/JKS
‘이중간첩’	‘/SS+이중간첩/NNG+’/SS
역할을	역할/NNG+을/JKO
하며	하/VV+며/EC
헤즈볼라	헤즈볼라/NNP
내부에	내부/NNG+에/JKB
투입돼	투입/NNG+되/XSV+어/EC
있던	있/VX+던/ETM
정보원들이라고	정보원/NNG+들/XSN+이/VCP+라고/EC
<에이비시>	</SS+에이비시/NNP+>/SS
방송은	방송/NNG+은/JX
