# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.380
metadata : {}


# id : NWRW1800000054.380.1.1
국정기획委, 각 부처에 "생각을 바꿔라"

국정기획委,	국정/NNG+기획/NNG+委/SH+,/SP
각	각/MMD
부처에	부처/NNG+에/JKB
"생각을	"/SS+생각/NNG+을/JKO
바꿔라"	바꾸/VV+어라/EF+"/SS


# id : NWRW1800000054.380.2.1
기재부 "중장기 과제" 보고하자 "대통령 공약을 늦추겠다는 건가"

기재부	기재부/NNG
"중장기	"/SS+중장기/NNG
과제"	과제/NNG+"/SS
보고하자	보고/NNG+하/XSV+자/EC
"대통령	"/SS+대통령/NNG
공약을	공약/NNG+을/JKO
늦추겠다는	늦추/VV+겠/EP+다는/ETM
건가"	거/NNB+이/VCP+ㄴ가/EF+"/SS


# id : NWRW1800000054.380.3.1
"새 정부가 들어섰으니 여러분께서 정책을 보는 시각도 달라질 필요가 있습니다."(국정기획위 경제1분과 위원)

"새	"/SS+새/MMA
정부가	정부/NNG+가/JKS
들어섰으니	들어서/VV+었/EP+으니/EC
여러분께서	여러분/NP+께서/JKS
정책을	정책/NNG+을/JKO
보는	보/VV+는/ETM
시각도	시각/NNG+도/JX
달라질	달라지/VV+ㄹ/ETM
필요가	필요/NNG+가/JKS
있습니다."(국정기획위	있/VA+습니다/EF+./SF+"/SS+(/SS+국정/NNG+기획위/NNG
경제1분과	경제/NNG+1/SN+분과/NNG
위원)	위원/NNG+)/SS


# id : NWRW1800000054.380.4.1
24일 오전 서울 종로구 통의동 소재 국정기획자문위원회 회의장에서 열린 기획재정부의 업무 보고에는 냉랭한 기운이 돌았다.

24일	24/SN+일/NNB
오전	오전/NNG
서울	서울/NNP
종로구	종로구/NNP
통의동	통의동/NNP
소재	소재/NNG
국정기획자문위원회	국정/NNG+기획/NNG+자문/NNG+위원회/NNG
회의장에서	회의장/NNG+에서/JKB
열린	열리/VV+ㄴ/ETM
기획재정부의	기획/NNG+재정부/NNG+의/JKG
업무	업무/NNG
보고에는	보고/NNG+에/JKB+는/JX
냉랭한	냉랭하/VA+ㄴ/ETM
기운이	기운/NNG+이/JKS
돌았다.	돌/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.380.4.2
새 정부가 임명한 국정기획위원들이 한마디씩 '일침'을 가하자, 기재부 간부들 얼굴이 상기되기 시작했다.

새	새/MMA
정부가	정부/NNG+가/JKS
임명한	임명/NNG+하/XSV+ㄴ/ETM
국정기획위원들이	국정/NNG+기획/NNG+위원/NNG+들/XSN+이/JKS
한마디씩	한마디/NNG+씩/XSN
'일침'을	'/SS+일침/NNG+'/SS+을/JKO
가하자,	가하/VV+자/EC+,/SP
기재부	기재부/NNG
간부들	간부/NNG+들/XSN
얼굴이	얼굴/NNG+이/JKS
상기되기	상기/NNG+되/XSV+기/ETN
시작했다.	시작/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.380.5.1
