# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.373
metadata : {}


# id : NWRW1800000030.373.1.1
[수도권] 법원, 全公勞 징계에 잇단 '제동'

[수도권]	[/SS+수도/NNG+권/XSN+]/SS
법원,	법원/NNG+,/SP
全公勞	全公勞/SH
징계에	징계/NNG+에/JKB
잇단	잇달/VV+ㄴ/ETM
'제동'	'/SS+제동/NNG+'/SS


# id : NWRW1800000030.373.2.1
?"절차 위반" "너무 과해"

?"절차	?/SF+"/SS+절차/NNG
위반"	위반/NNG+"/SS
"너무	"/SS+너무/MAG
과해"	과하/VA+아/EF+"/SS


# id : NWRW1800000030.373.3.1
서울시가 공무원노조 활동을 했다는 이유를 들어 중징계한 직원들에 대해 법원이 잇따라 제동을 걸고 있다.

서울시가	서울시/NNP+가/JKS
공무원노조	공무원/NNG+노조/NNG
활동을	활동/NNG+을/JKO
했다는	하/VV+았/EP+다는/ETM
이유를	이유/NNG+를/JKO
들어	들/VV+어/EC
중징계한	중징계/NNG+하/XSV+ㄴ/ETM
직원들에	직원/NNG+들/XSN+에/JKB
대해	대하/VV+아/EC
법원이	법원/NNG+이/JKS
잇따라	잇따르/VV+아/EC
제동을	제동/NNG+을/JKO
걸고	걸/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000030.373.3.2
21일 서울시에 따르면 전국공무원노조활동을 하는 과정에서 물의를 빚어 징계(견책)한 송파구청 박모(7급 공무원)씨에 대해 지난주 법원이 "절차에 하자가 있다"는 이유로 취소판결을 내렸다.

21일	21/SN+일/NNB
서울시에	서울시/NNP+에/JKB
따르면	따르/VV+면/EC
전국공무원노조활동을	전국공무원노조/NNP+활동/NNG+을/JKO
하는	하/VV+는/ETM
과정에서	과정/NNG+에서/JKB
물의를	물의/NNG+를/JKO
빚어	빚/VV+어/EC
징계(견책)한	징계/NNG+(/SS+견책/NNG+)/SS+하/XSV+ㄴ/ETM
