# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000048.405
metadata : {}


# id : NWRW1800000048.405.1.1
MB 한번 부르지도 못하고…자원외교 국조 사실상 막내려

MB	MB/SL
한번	한번/NNG
부르지도	부르/VV+지/EC+도/JX
못하고…자원외교	못하/VX+고/EC+…/SE+자원/NNG+외교/NNG
국조	국조/NNG
사실상	사실/NNG+상/XSN
막내려	막/NNG+내리/VV+어/EF


# id : NWRW1800000048.405.2.1
증인채택 이견 끝내 못 좁혀

증인채택	증인/NNG+채택/NNG
이견	이견/NNG
끝내	끝내/MAG
못	못/MAG
좁혀	좁히/VV+어/EF


# id : NWRW1800000048.405.3.1
여 “야당 정치공세탓”

여	여/NNG
“야당	“/SS+야당/NNG
정치공세탓”	정치/NNG+공세/NNG+탓/NNG+”/SS


# id : NWRW1800000048.405.4.1
야 “새누리, MB지키기 일

야	야/NNG
“새누리,	“/SS+새누리/NNP+,/SP
MB지키기	MB/SL+지키/VV+기/ETN
일	일/NA


# id : NWRW1800000048.405.5.1
국회 ‘해외자원개발 진상규명을 위한 국정조사특별위원회’(국조특위)가 청문회를 열지 못한 채 사실상 활동을 끝내게 됐다.

국회	국회/NNG
‘해외자원개발	‘/SS+해외/NNG+자원/NNG+개발/NNG
진상규명을	진상/NNG+규명/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
국정조사특별위원회’(국조특위)가	국정/NNG+조사/NNG+특별/NNG+위원회/NNG+’/SS+(/SS+국조/NNG+특위/NNG+)/SS+가/JKS
청문회를	청문회/NNG+를/JKO
열지	열/VV+지/EC
못한	못하/VX+ㄴ/ETM
채	채/NNB
사실상	사실/NNG+상/XSN
활동을	활동/NNG+을/JKO
끝내게	끝내/VV+게/EC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.405.5.2
이명박 전 대통령 등 청문회에 출석할 핵심 증인을 두고 여야가 끝내 이견을 좁히지 못했기 때문이다.

이명박	이명박/NNP
전	전/MMD
대통령	대통령/NNG
등	등/NNB
청문회에	청문회/NNG+에/JKB
출석할	출석/NNG+하/XSV+ㄹ/ETM
핵심	핵심/NNG
증인을	증인/NNG+을/JKO
두고	두/VV+고/EC
여야가	여야/NNG+가/JKS
끝내	끝내/MAG
이견을	이견/NNG+을/JKO
좁히지	좁히/VV+지/EC
못했기	못하/VX+았/EP+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000048.405.6.1
여당 국조특위 간사인 권성동 새누리당 의원과 야당 간사인 홍영표 새정치민주연합 의원은 21일 오후 청문회 출석 증인을 위한 최종 협상을 벌였지만 끝내 접점을 찾지 못했다.

여당	여당/NNG
국조특위	국조/NNG+특위/NNG
간사인	간사/NNG+이/VCP+ㄴ/ETM
권성동	권성동/NNP
새누리당	새누리당/NNP
의원과	의원/NNG+과/JC
야당	야당/NNG
홍영표	홍영표/NNP
새정치민주연합	새정치민주연합/NNP
의원은	의원/NNG+은/JX
21일	21/SN+일/NNB
오후	오후/NNG
청문회	청문회/NNG
출석	출석/NNG
증인을	증인/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
최종	최종/NNG
협상을	협상/NNG+을/JKO
벌였지만	벌이/VV+었/EP+지만/EC
끝내	끝내/MAG
접점을	접점/NNG+을/JKO
찾지	찾/VV+지/EC
못했다.	못하/VX+았/EP+다/EF+./SF


# id : NWRW1800000048.405.6.2
청문회를 열기 위해서는 국조특위 활동 종료일(5월2일) 일주일 전인 최소 24일까지는 증인 채택을 국조특위에서 합의해야 한다.

청문회를	청문회/NNG+를/JKO
열기	열/VV+기/ETN
위해서는	위하/VV+아서/EC+는/JX
국조특위	국조/NNG+특위/NNG
활동	활동/NNG
종료일(5월2일)	종료일/NNG+(/SS+5/SN+월/NNB+2/SN+일/NNB+)/SS
일주일	일주일/NNG
전인	전/NNG+이/VCP+ㄴ/ETM
최소	최소/NNG
24일까지는	24/SN+일/NNB+까지/JX+는/JX
증인	증인/NNG
채택을	채택/NNG+을/JKO
국조특위에서	국조/NNG+특위/NNG+에서/JKB
합의해야	합의/NNG+하/XSV+아야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000048.405.6.3
이날 여야 간사는 “추가 협상이 없다”고 선언해 사실상 청문회 개최는 무산됐다.

이날	이날/NNG
여야	여야/NNG
간사는	간사/NNG+는/JX
“추가	“/SS+추가/NNG
협상이	협상/NNG+이/JKS
없다”고	없/VA+다/EF+”/SS+고/JKQ
선언해	선언/NNG+하/XSV+아/EC
사실상	사실/NNG+상/XSN
청문회	청문회/NNG
개최는	개최/NNG+는/JX
무산됐다.	무산/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000048.405.7.1
이명박 전 대통령, 이상득 전 의원, 박영준 전 지식경제부 차관, 최경환 경제부총리, 윤상직 산업통상자원부 장관 등 ‘5인방’의 증인 출석을 요구했던 야당은 “새누리당이 시종일관 엠비(이명박) 지키기로 일관했다”고 비판했다.

이명박	이명박/NNP
전	전/MMD
대통령,	대통령/NNG+,/SP
이상득	이상득/NNP
의원,	의원/NNG+,/SP
박영준	박영준/NNP
지식경제부	지식/NNG+경제부/NNG
차관,	차관/NNG+,/SP
최경환	최경환/NNP
경제부총리,	경제/NNG+부총리/NNG+,/SP
윤상직	윤상직/NNP
산업통상자원부	산업/NNG+통상/NNG+자원부/NNG
장관	장관/NNG
등	등/NNB
‘5인방’의	‘/SS+5인방/NNG+’/SS+의/JKG
증인	증인/NNG
출석을	출석/NNG+을/JKO
요구했던	요구/NNG+하/XSV+았/EP+던/ETM
야당은	야당/NNG+은/JX
“새누리당이	“/SS+새누리당/NNP+이/JKS
시종일관	시종일관/NNG
엠비(이명박)	엠비/NNP+(/SS+이명박/NNP+)/SS
지키기로	지키/VV+기/ETN+로/JKB
일관했다”고	일관/NNG+하/XSV+았/EP+다/EF+”/SS+고/JKQ
비판했다.	비판/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.405.7.2
새정치연합은 이명박 전 대통령을 제외한 4명의 출석을 요구하는 방안도 제시했지만 새누리당이 받아들이지 않은 것으로 알려졌다.

새정치연합은	새정치연합/NNP+은/JX
이명박	이명박/NNP
전	전/MMD
대통령을	대통령/NNG+을/JKO
제외한	제외/NNG+하/XSV+ㄴ/ETM
4명의	4/SN+명/NNB+의/JKG
출석을	출석/NNG+을/JKO
요구하는	요구/NNG+하/XSV+는/ETM
방안도	방안/NNG+도/JX
제시했지만	제시/NNG+하/XSV+았/EP+지만/EC
새누리당이	새누리당/NNP+이/JKS
받아들이지	받아들이/VV+지/EC
않은	않/VX+은/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.405.7.3
홍영표 간사는 “청문회를 어떻게 해서든 성사시키려고 다각도로 설득을 했는데, 이 전 대통령을 비롯한 핵심 증인 한명도 받을 수 없다고 해 합의 도출이 불가능하다고 판단했다”고 밝혔다.

홍영표	홍영표/NNP
간사는	간사/NNG+는/JX
“청문회를	“/SS+청문회/NNG+를/JKO
어떻게	어떻/VA+게/EC
해서든	하/VV+아서/EC+든/JX
성사시키려고	성사/NNG+시키/XSV+려고/EC
다각도로	다각도/NNG+로/JKB
설득을	설득/NNG+을/JKO
했는데,	하/VV+았/EP+는데/EC+,/SP
이	이/NNP
전	전/MMD
