# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000032.102
metadata : {}


# id : NWRW1800000032.102.1.1
그리스, 지급불능 피해갈 묘수 없나

그리스,	그리스/NNP+,/SP
지급불능	지급/NNG+불능/NNG
피해갈	피하/VV+아/EC+가/VX+ㄹ/ETM
묘수	묘수/NNG
없나	없/VA+나/EF


# id : NWRW1800000032.102.2.1
EU, 부채위기 해법 합의 난항

EU,	EU/SL+,/SP
부채위기	부채/NNG+위기/NNG
해법	해법/NNG
합의	합의/NNG
난항	난항/NNG


# id : NWRW1800000032.102.3.1
무디스, 신용등급 추가 ‘강등’

무디스,	무디스/NNP+,/SP
신용등급	신용/NNG+등급/NNG
추가	추가/NNG
‘강등’	‘/SS+강등/NNG+’/SS


# id : NWRW1800000032.102.4.1
그리스 부채위기에 대한 최종 해법이 좀처럼 합의되지 않는 가운데, 그리스 정부 채권의 신용등급마저 또다시 하락하며 혼란을 부채질하고 있다.

그리스	그리스/NNP
부채위기에	부채/NNG+위기/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
최종	최종/NNG
해법이	해법/NNG+이/JKS
좀처럼	좀처럼/MAG
합의되지	합의/NNG+되/XSV+지/EC
않는	않/VX+는/ETM
가운데,	가운데/NNG+,/SP
정부	정부/NNG
채권의	채권/NNG+의/JKG
신용등급마저	신용/NNG+등급/NNG+마저/JX
또다시	또다시/MAG
하락하며	하락/NNG+하/XSV+며/EC
혼란을	혼란/NNG+을/JKO
부채질하고	부채/NNG+질/XSN+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000032.102.5.1
유럽연합(EU) 회원국 재무관리들은 1일 오스트리아 빈에서 회동해, 그리스 부채해결을 위한 새로운 구제금융안을 논의했으나, 민간 채권자들의 고통 부담을 놓고 이견을 보여 합의에 실패했다.

유럽연합(EU)	유럽연합/NNP+(/SS+EU/SL+)/SS
회원국	회원국/NNG
재무관리들은	재무/NNG+관리/NNG+들/XSN+은/JX
1일	1/SN+일/NNB
오스트리아	오스트리아/NNP
빈에서	빈/NNP+에서/JKB
회동해,	회동/NNG+하/XSV+아/EC+,/SP
그리스	그리스/NNP
부채해결을	부채/NNG+해결/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
새로운	새롭/VA+ㄴ/ETM
구제금융안을	구제/NNG+금융/NNG+안/NNG+을/JKO
논의했으나,	논의/NNG+하/XSV+았/EP+으나/EC+,/SP
민간	민간/NNG
채권자들의	채권자/NNG+들/XSN+의/JKG
고통	고통/NNG
부담을	부담/NNG+을/JKO
놓고	놓/VV+고/EC
이견을	이견/NNG+을/JKO
보여	보이/VV+어/EC
합의에	합의/NNG+에/JKB
실패했다.	실패/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.102.6.1
이날 회동에선 그리스에 2012~2013년에 추가로 300억유로를 지원하는 데엔 합의가 이뤄졌으나, 독일이 그리스 정부 채권을 소유한 투자자들도 채권 만기 연장을 통해 고통을 일부 부담해야 한다는 기존 주장을 굽히지 않았다고 이 보도했다.

이날	이날/NNG
회동에선	회동/NNG+에서/JKB+ㄴ/JX
그리스에	그리스/NNP+에/JKB
2012~2013년에	2012/SN+~/SO+2013/SN+년/NNB+에/JKB
추가로	추가/NNG+로/JKB
300억유로를	300/SN+억/NR+유로/NNB+를/JKO
지원하는	지원/NNG+하/XSV+는/ETM
