# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.227
metadata : {}


# id : NWRW1800000038.227.1.1
[행복을 나누는 멘토링] (1) 46세 '올챙이 형님'에게 16세 '복어 동생' 생겼다

[행복을	[/SS+행복/NNG+을/JKO
나누는	나누/VV+는/ETM
멘토링]	멘토링/NNG+]/SS
(1)	(/SS+1/SN+)/SS
46세	46/SN+세/NNB
'올챙이	'/SS+올챙이/NNG
형님'에게	형/NNG+님/XSN+'/SS+에게/JKB
16세	16/SN+세/NNB
'복어	'/SS+복어/NNG
동생'	동생/NNG+'/SS
생겼다	생기/VV+었/EP+다/EF


# id : NWRW1800000038.227.2.1
삼성 직원 매년 50명 멘토링 참여… 돌봄 필요한 중학생의 '형·누나'로

삼성	삼성/NNP
직원	직원/NNG
매년	매년/MAG
50명	50/SN+명/NNB
멘토링	멘토링/NNG
참여…	참여/NNG+…/SE
돌봄	돌봄/NNG
필요한	필요/NNG+하/XSA+ㄴ/ETM
중학생의	중학/NNG+생/XSN+의/JKG
'형·누나'로	'/SS+형/NNG+·/SP+누나/NNG+'/SS+로/JKB


# id : NWRW1800000038.227.3.1
지난 1일 경기 하남시 창우동.

지난	지나/VV+ㄴ/ETM
1일	1/SN+일/NNB
경기	경기/NNP
하남시	하남시/NNP
창우동.	창우동/NNP+./SF


# id : NWRW1800000038.227.3.2
중학교 3학년인 창수(16·가명)는 삼성물산의 권오창(46) 차장 집에 초대받았다.

중학교	중학교/NNG
3학년인	3/SN+학년/NNG+이/VCP+ㄴ/ETM
창수(16·가명)는	창수/NNP+(/SS+16/SN+·/SP+가명/NNG+)/SS+는/JX
삼성물산의	삼성물산/NNP+의/JKG
권오창(46)	권오창/NNP+(/SS+46/SN+)/SS
차장	차장/NNG
집에	집/NNG+에/JKB
초대받았다.	초대/NNG+받/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.227.3.3
창수가 원하던 디지털고등학교에 합격한 것을 축하하는 자리였다.

창수가	창수/NNP+가/JKS
원하던	원/NNG+하/XSV+던/ETM
디지털고등학교에	디지털고등학교/NNP+에/JKB
합격한	합격/NNG+하/XSV+ㄴ/ETM
것을	것/NNB+을/JKO
축하하는	축하/NNG+하/XSV+는/ETM
자리였다.	자리/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000038.227.3.4
권 차장은 "3년 전 처음 봤을 때만 해도 어린애 같았는데 지금은 나보다 키도 더 커졌다"고 대견스러워했다.

권	권/NNP
차장은	차장/NNG+은/JX
"3년	"/SS+3/SN+년/NNB
전	전/NNG
처음	처음/NNG
봤을	보/VV+았/EP+을/ETM
때만	때/NNG+만/JX
해도	하/VV+아도/EC
어린애	어린애/NNG
같았는데	같/VA+았/EP+는데/EC
지금은	지금/NNG+은/JX
나보다	나/NP+보다/JKB
키도	키/NNG+도/JX
더	더/MAG
커졌다"고	커지/VV+었/EP+다/EF+"/SS+고/JKQ
대견스러워했다.	대견스럽/VA+어/EC+하/VX+았/EP+다/EF+./SF


# id : NWRW1800000038.227.3.5
권 차장의 부인(41)과 아들(9)·딸(8)도 또 한 명의 가족인 창수와 어울려 게임을 하며 즐거워했다.

권	권/NNP
차장의	차장/NNG+의/JKG
부인(41)과	부인/NNG+(/SS+41/SN+)/SS+과/JC
아들(9)·딸(8)도	아들/NNG+(/SS+9/SN+)/SS+·/SP+딸/NNG+(/SS+8/SN+)/SS+도/JX
또	또/MAG
한	한/MMN
명의	명/NNB+의/JKG
가족인	가족/NNG+이/VCP+ㄴ/ETM
창수와	창수/NNP+와/JKB
어울려	어울리/VV+어/EC
게임을	게임/NNG+을/JKO
하며	하/VV+며/EC
즐거워했다.	즐거워하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.227.4.1
권 차장이 창수를 만난 것은 지난 2011년 6월.

권	권/NNP
차장이	차장/NNG+이/JKS
창수를	창수/NNP+를/JKO
만난	만나/VV+ㄴ/ETM
것은	것/NNB+은/JX
지난	지나/VV+ㄴ/ETM
2011년	2011/SN+년/NNB
6월.	6/SN+월/NNB+./SF


# id : NWRW1800000038.227.4.2
삼성사회정신건강연구소에서 삼성 계열사 직원들을 대상으로 멘토(mentor·봉사자) 신청을 받아 중학생인 멘티(mentee·도움을 받는 청소년)를 연결해주는 '팔(pal)짱 프로그램'에서다.

삼성사회정신건강연구소에서	삼성사회정신건강연구소/NNP+에서/JKB
삼성	삼성/NNP
계열사	계열사/NNG
직원들을	직원/NNG+들/XSN+을/JKO
대상으로	대상/NNG+으로/JKB
멘토(mentor·봉사자)	멘토/NNG+(/SS+mentor/SL+·/SP+봉사자/NNG+)/SS
신청을	신청/NNG+을/JKO
받아	받/VV+아/EC
중학생인	중학/NNG+생/XSN+이/VCP+ㄴ/ETM
멘티(mentee·도움을	멘티/NNG+(/SS+mentee/SL+·/SP+도움/NNG+을/JKO
받는	받/VV+는/ETM
청소년)를	청소년/NNG+)/SS+를/JKO
연결해주는	연결/NNG+하/XSV+아/EC+주/VX+는/ETM
'팔(pal)짱	'/SS+팔/NA+(/SS+pal/SL+)/SS+짱/NNG
프로그램'에서다.	프로그램/NNG+'/SS+에서/JKB+이/VCP+다/EF+./SF


# id : NWRW1800000038.227.4.3
'팔짱'은 친구(pal) 중 짱이라는 뜻으로 붙인 이름이다.

'팔짱'은	'/SS+팔짱/NNG+'/SS+은/JX
친구(pal)	친구/NNG+(/SS+pal/SL+)/SS
중	중/NNB
짱이라는	짱/NNG+이/VCP+라는/ETM
뜻으로	뜻/NNG+으로/JKB
붙인	붙이/VV+ㄴ/ETM
이름이다.	이름/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.227.5.1
권 차장은 첫 만남이 이뤄진 1박2일 캠프에서 창수에게 '올챙이'형님으로 부르라고 했다.

권	권/NNP
차장은	차장/NNG+은/JX
첫	첫/MMN
만남이	만남/NNG+이/JKS
이뤄진	이뤄지/VV+ㄴ/ETM
1박2일	1/SN+박/NNB+2/SN+일/NNB
캠프에서	캠프/NNG+에서/JKB
창수에게	창수/NNP+에게/JKB
'올챙이'형님으로	'/SS+올챙이/NNG+'/SS+형/NNG+님/XSN+으로/JKB
부르라고	부르/VV+라고/EC
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.227.5.2
자신의 중학교 때 별명이다.

자신의	자신/NNG+의/JKG
중학교	중학교/NNG
때	때/NNG
별명이다.	별명/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.227.5.3
볼에 살이 포동포동한 창수에겐 '복어 동생'이라고 부르기로 했다.

볼에	볼/NNG+에/JKB
살이	살/NNG+이/JKS
포동포동한	포동포동/MAG+하/XSA+ㄴ/ETM
창수에겐	창수/NNP+에게/JKB+ㄴ/JX
'복어	'/SS+복어/NNG
동생'이라고	동생/NNG+'/SS+이라고/JKQ
부르기로	부르/VV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.227.5.4
이들은 일주일에 한두 번 인터넷의 한 편지방에서 서로 만난다.

이들은	이/NP+들/XSN+은/JX
일주일에	일주일/NNG+에/JKB
한두	한두/MMN
번	번/NNB
인터넷의	인터넷/NNG+의/JKG
한	한/MMN
편지방에서	편지/NNG+방/NNG+에서/JKB
서로	서로/MAG
만난다.	만나/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.227.6.1
'지금 하는 일에 최선을 다하면 더 좋은 기회가 올 거야.' '우리 인생은 생각보다 길어서 하루하루 발전하면 최후에 웃는 사람이 될 거야.' 이렇게 서로 3년간 주고받은 300여통의 편지에는 복어 동생의 고민과 올챙이 형님의 조언이 담겨 있다.

'지금	'/SS+지금/MAG
하는	하/VV+는/ETM
일에	일/NNG+에/JKB
최선을	최선/NNG+을/JKO
다하면	다/MAG+하/XSV+면/EC
더	더/MAG
좋은	좋/VA+은/ETM
기회가	기회/NNG+가/JKS
올	오/VV+ㄹ/ETM
거야.'	거/NNB+이/VCP+야/EF+./SF+'/SS
'우리	'/SS+우리/NP
인생은	인생/NNG+은/JX
생각보다	생각/NNG+보다/JKB
길어서	길/VA+어서/EC
하루하루	하루하루/NNG
발전하면	발전/NNG+하/XSV+면/EC
최후에	최후/NNG+에/JKB
웃는	웃/VV+는/ETM
사람이	사람/NNG+이/JKC
될	되/VV+ㄹ/ETM
이렇게	이렇/VA+게/EC
서로	서로/MAG
3년간	3/SN+년/NNB+간/XSN
주고받은	주고받/VV+은/ETM
300여통의	300/SN+여/XSN+통/NNB+의/JKG
편지에는	편지/NNG+에/JKB+는/JX
복어	복어/NNG
동생의	동생/NNG+의/JKG
고민과	고민/NNG+과/JC
올챙이	올챙이/NNG
형님의	형/NNG+님/XSN+의/JKG
조언이	조언/NNG+이/JKS
담겨	담기/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000038.227.6.2
시험 성적을 걱정하는 복어 동생은 "점수가 안 좋아도 네가 최선을 다했으면 된 거야"라고 격려받는다.

시험	시험/NNG
성적을	성적/NNG+을/JKO
걱정하는	걱정/NNG+하/XSV+는/ETM
복어	복어/NNG
동생은	동생/NNG+은/JX
"점수가	"/SS+점수/NNG+가/JKS
안	안/MAG
좋아도	좋/VA+아도/EC
네가	네/NP+가/JKS
최선을	최선/NNG+을/JKO
다했으면	다/MAG+하/XSV+았/EP+으면/EC
된	되/VV+ㄴ/ETM
거야"라고	거/NNB+이/VCP+야/EF+"/SS+라고/JKQ
격려받는다.	격려/NNG+받/XSV+는다/EF+./SF


# id : NWRW1800000038.227.7.1
권 차장은 "창수가 너무 밝아 겉보기엔 내가 도와줄 일이 전혀 없는 아이 같았다"고 했다.

권	권/NNP
차장은	차장/NNG+은/JX
"창수가	"/SS+창수/NNP+가/JKS
너무	너무/MAG
밝아	밝/VA+아/EC
겉보기엔	겉보기/NNG+에/JKB+ㄴ/JX
내가	내/NP+가/JKS
도와줄	도와주/VV+ㄹ/ETM
일이	일/NNG+이/JKS
전혀	전혀/MAG
없는	없/VA+는/ETM
아이	아이/NNG
같았다"고	같/VA+았/EP+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.227.7.2
그러나 만난 지 1년이 되던 작년 여름 둘이서 북한산 둘레길을 가면서 창수는 마음의 문을 열었다.

그러나	그러나/MAJ
만난	만나/VV+ㄴ/ETM
지	지/NNB
1년이	1/SN+년/NNB+이/JKC
되던	되/VV+던/ETM
작년	작년/NNG
여름	여름/NNG
둘이서	둘/NR+이서/JKS
북한산	북한산/NNP
둘레길을	둘레/NNG+길/NNG+을/JKO
가면서	가/VV+면서/EC
창수는	창수/NNP+는/JX
마음의	마음/NNG+의/JKG
문을	문/NNG+을/JKO
열었다.	열/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.227.7.3
아버지가 알코올중독으로 병원에 입원한 적도 있고, 어머니가 우울증을 앓으면서도 근근이 부업을 해 어렵게 살고 있다고 했다.

아버지가	아버지/NNG+가/JKS
알코올중독으로	알코올/NNG+중독/NNG+으로/JKB
병원에	병원/NNG+에/JKB
입원한	입원/NNG+하/XSV+ㄴ/ETM
적도	적/NNB+도/JX
