# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.228
metadata : {}


# id : NWRW1800000030.228.1.1
하루 호흡 맞춘 南北, 환상 호흡

하루	하루/NNG
호흡	호흡/NNG
맞춘	맞추/VV+ㄴ/ETM
南北,	南北/SH+,/SP
환상	환상/NNG


# id : NWRW1800000030.228.2.1
•친선탁구 '피스 앤드 스포츠컵'… 남북 복식팀 男우승·女준우승

•친선탁구	•/SW+친선/NNG+탁구/NNG
'피스	'/SS+피스/NNG
앤드	앤드/NNG
스포츠컵'…	스포츠/NNG+컵/NNG+'/SS+…/SE
남북	남북/NNP
복식팀	복식/NNG+팀/NNG
男우승·女준우승	男/SH+우승/NNG+·/SP+女/SH+준/XPN+우승/NNG


# id : NWRW1800000030.228.3.1
20년 전처럼 손발이 척척 맞았다.

20년	20/SN+년/NNB
전처럼	전/NNG+처럼/JKB
손발이	손발/NNG+이/JKS
척척	척척/MAG
맞았다.	맞/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.228.4.1
지난 1991년 지바 탁구세계선수권 이후 처음으로 구성된 한국과 북한의 탁구 단일팀이 23일(한국 시각) 카타르 도하에서 열린 국제 탁구 친선대회 '피스 앤드 스포츠컵' 남자 복식 우승과 여자 복식 준우승을 차지했다.

지난	지나/VV+ㄴ/ETM
1991년	1991/SN+년/NNB
지바	지바/NNP
탁구세계선수권	탁구/NNG+세계/NNG+선수/NNG+권/XSN
이후	이후/NNG
처음으로	처음/NNG+으로/JKB
구성된	구성/NNG+되/XSV+ㄴ/ETM
한국과	한국/NNP+과/JC
북한의	북한/NNP+의/JKG
탁구	탁구/NNG
단일팀이	단일팀/NNG+이/JKS
23일(한국	23/SN+일/NNB+(/SS+한국/NNP
시각)	시각/NNG+)/SS
카타르	카타르/NNP
도하에서	도하/NNP+에서/JKB
열린	열리/VV+ㄴ/ETM
국제	국제/NNG
친선대회	친선/NNG+대회/NNG
'피스	'/SS+피스/NNG
앤드	앤드/NNG
스포츠컵'	스포츠/NNG+컵/NNG+'/SS
남자	남자/NNG
복식	복식/NNG
우승과	우승/NNG+과/JC
여자	여자/NNG
준우승을	준/XPN+우승/NNG+을/JKO
차지했다.	차지/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.228.5.1
남자 복식조로 짝을 이룬 유승민(삼성생명)과 북한의 김혁봉은 결승에서 판이용(미국)―그리고리 블라소프(러시아) 조를 3대0으로 완파했다.

남자	남자/NNG
복식조로	복식조/NNG+로/JKB
짝을	짝/NNG+을/JKO
이룬	이루/VV+ㄴ/ETM
유승민(삼성생명)과	유승민/NNP+(/SS+삼성생명/NNP+)/SS+과/JC
북한의	북한/NNP+의/JKG
김혁봉은	김혁봉/NNP+은/JX
결승에서	결승/NNG+에서/JKB
판이용(미국)―그리고리	판이용/NNP+(/SS+미국/NNP+)/SS+―/SS+그리고리/NNP
블라소프(러시아)	블라소프/NNP+(/SS+러시아/NNP+)/SS
조를	조/NNG+를/JKO
3대0으로	3/SN+대/NNB+0/SN+으로/JKB
완파했다.	완파/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.228.5.2
김혁봉이 수비를 전담하고, 유승민은 장기인 드라이브를 활용한 공격을 펼쳐 승리를 합작했다.

김혁봉이	김혁봉/NNP+이/JKS
수비를	수비/NNG+를/JKO
전담하고,	전담/NNG+하/XSV+고/EC+,/SP
유승민은	유승민/NNP+은/JX
장기인	장기/NNG+이/VCP+ㄴ/ETM
드라이브를	드라이브/NNG+를/JKO
활용한	활용/NNG+하/XSV+ㄴ/ETM
공격을	공격/NNG+을/JKO
펼쳐	펼치/VV+어/EC
승리를	승리/NNG+를/JKO
합작했다.	합작/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.228.5.3
둘은 이번 우승으로 상금 1만5000달러(약 1730만원)를 따냈다.

둘은	둘/NR+은/JX
이번	이번/NNG
우승으로	우승/NNG+으로/JKB
상금	상금/NNG
1만5000달러(약	1/SN+만/NR+5000/SN+달러/NNB+(/SS+약/MMA
1730만원)를	1730/SN+만/NR+원/NNB+)/SS+를/JKO
따냈다.	따내/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.228.6.1
여자 복식의 김경아(대한항공)―김혜성(북한) 조는 결승에서 릴리 장(미국)―아나 티코미르노바(러시아) 조에 2대3으로 분패하며 상금 1만1000달러(약 1270만원)를 획득했다.

여자	여자/NNG
복식의	복식/NNG+의/JKG
김경아(대한항공)―김혜성(북한)	김경아/NNP+(/SS+대한항공/NNP+)/SS+―/SS+김혜성/NNP+(/SS+북한/NNP+)/SS
조는	조/NNG+는/JX
결승에서	결승/NNG+에서/JKB
릴리	릴리/NNP
장(미국)―아나	장/NNP+(/SS+미국/NNP+)/SS+―/SS+아나/NNP
티코미르노바(러시아)	티코미르노바/NNP+(/SS+러시아/NNP+)/SS
조에	조/NNG+에/JKB
2대3으로	2/SN+대/NNB+3/SN+으로/JKB
분패하며	분패/NNG+하/XSV+며/EC
상금	상금/NNG
1만1000달러(약	1/SN+만/NR+1000/SN+달러/NNB+(/SS+약/MMA
1270만원)를	1270/SN+만/NR+원/NNB+)/SS+를/JKO
획득했다.	획득/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.228.6.2
한국의 감독을 맡은 현정화 대한탁구협회 전무는 "선수들이 연습할 수 있는 시간이 하루뿐이었는데도 호흡이 잘 맞았다"고 했다.

한국의	한국/NNP+의/JKG
감독을	감독/NNG+을/JKO
맡은	맡/VV+은/ETM
현정화	현정화/NNP
대한탁구협회	대한탁구협회/NNP
전무는	전무/NNG+는/JX
"선수들이	"/SS+선수/NNG+들/XSN+이/JKS
연습할	연습/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
시간이	시간/NNG+이/JKS
하루뿐이었는데도	하루/NNG+뿐/JX+이/VCP+었/EP+는데/EC+도/JX
호흡이	호흡/NNG+이/JKS
잘	잘/MAG
맞았다"고	맞/VV+았/EP+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.228.7.1
이번 대회는 모나코의 알베르 2세가 창설한 비정부기구 피스 앤드 스포츠(Peace and Sports)와 아담 샤라라 국제탁구연맹(ITTF) 회장이 뜻을 모아 스포츠를 통해 적대국 간 벽을 허물자는 취지로 개최됐다.

이번	이번/NNG
대회는	대회/NNG+는/JX
모나코의	모나코/NNP+의/JKG
알베르	알베르/NNP
2세가	2/SN+세/NNB+가/JKS
창설한	창설/NNG+하/XSV+ㄴ/ETM
비정부기구	비/XPN+정부/NNG+기구/NNG
피스	피스/NNG
앤드	앤드/NNG
스포츠(Peace	스포츠/NNG+(/SS+Peace/SL
and	and/SL
Sports)와	Sports/SL+)/SS+와/JC
아담	아담/NNP
샤라라	샤라라/NNP
국제탁구연맹(ITTF)	국제탁구연맹/NNP+(/SS+ITTF/SL+)/SS
회장이	회장/NNG+이/JKS
뜻을	뜻/NNG+을/JKO
모아	모으/VV+아/EC
스포츠를	스포츠/NNG+를/JKO
통해	통하/VV+아/EC
적대국	적대국/NNG
간	간/NNB
벽을	벽/NNG+을/JKO
허물자는	허물/VV+자는/ETM
취지로	취지/NNG+로/JKB
개최됐다.	개최/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000030.228.8.1
이를 위해 북핵 6자회담 당사국인 미국·러시아·중국·일본·한국·북한과 적대 관계인 인도·파키스탄 등 10개국 탁구 선수들을 초청하고, 적대국 선수들을 복식 조로 묶는 식으로 대회를 진행했다.

이를	이/NP+를/JKO
위해	위하/VV+아/EC
북핵	북핵/NNG
6자회담	6/SN+자/NNB+회담/NNG
당사국인	당사국/NNG+이/VCP+ㄴ/ETM
미국·러시아·중국·일본·한국·북한과	미국/NNP+·/SP+러시아/NNP+·/SP+중국/NNP+·/SP+일본/NNP+·/SP+한국/NNP+·/SP+북한/NNP+과/JC
적대	적대/NNG
관계인	관계/NNG+이/VCP+ㄴ/ETM
인도·파키스탄	인도/NNP+·/SP+파키스탄/NNP
등	등/NNB
10개국	10/SN+개국/NNB
탁구	탁구/NNG
선수들을	선수/NNG+들/XSN+을/JKO
초청하고,	초청/NNG+하/XSV+고/EC+,/SP
적대국	적대국/NNG
복식	복식/NNG
조로	조/NNG+로/JKB
묶는	묶/VV+는/ETM
식으로	식/NNB+으로/JKB
대회를	대회/NNG+를/JKO
진행했다.	진행/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.228.9.1
피스 앤드 스포츠컵은 1회 대회의 성공적인 개최를 바탕으로 내년부터는 탁구뿐 아니라 배구 등 다른 종목도 추가할 계획이다.

피스	피스/NNG
앤드	앤드/NNG
스포츠컵은	스포츠/NNG+컵/NNG+은/JX
1회	1/SN+회/NNB
대회의	대회/NNG+의/JKG
성공적인	성공/NNG+적/XSN+이/VCP+ㄴ/ETM
개최를	개최/NNG+를/JKO
바탕으로	바탕/NNG+으로/JKB
내년부터는	내년/NNG+부터/JX+는/JX
탁구뿐	탁구/NNG+뿐/JX
아니라	아니/VCN+라/EC
배구	배구/NNG
등	등/NNB
다른	다른/MMD
종목도	종목/NNG+도/JX
추가할	추가/NNG+하/XSV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


