# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000045.197
metadata : {}


# id : NWRW1800000045.197.1.1
[휴지통]참외 주문 명단을 메르스 확진자로 유포

[휴지통]참외	[/SS+휴지통/NNG+]/SS+참외/NNG
주문	주문/NNG
명단을	명단/NNG+을/JKO
메르스	메르스/NNG
확진자로	확진자/NNG+로/JKB
유포	유포/NNG


# id : NWRW1800000045.197.2.1
[메르스 파장]착각한 대구 30대 주부, SNS 전파 뒤늦게 “아차”… 자진 신고 선처호소

[메르스	[/SS+메르스/NNG
파장]착각한	파장/NNG+]/SS+착각/NNG+하/XSV+ㄴ/ETM
대구	대구/NNP
30대	30/SN+대/NNB
주부,	주부/NNG+,/SP
SNS	SNS/SL
전파	전파/NNG
뒤늦게	뒤늦/VA+게/EC
“아차”…	“/SS+아차/IC+”/SS+…/SE
자진	자진/NNG
신고	신고/NNG
선처호소	선처/NNG+호소/NNG


# id : NWRW1800000045.197.3.1
“김○○ 010-××××-×××× ○○구… 메르스 확정자와 격리자라네요.”

“김○○	“/SS+김/NNP+○/SW+○/SW
010-××××-××××	010/SN+-/SO+××××/SW+-/SO+××××/SW
○○구…	○/SW+○/SW+구/NNG+…/SE
메르스	메르스/NNG
확정자와	확정자/NNG+와/JC
격리자라네요.”	격리자/NNG+이/VCP+라네/EF+요/JX+./SF+”/SS


# id : NWRW1800000045.197.4.1
16일 오전 11시 20분경 대구에 사는 주부 이모 씨(30)는 여느 때처럼 회사에 다니는 남편 서모 씨(35)와 소셜네트워크서비스(SNS)를 통해 문자로 대화를 나눴다.

16일	16/SN+일/NNB
오전	오전/NNG
11시	11/SN+시/NNB
20분경	20/SN+분/NNB+경/XSN
대구에	대구/NNP+에/JKB
사는	살/VV+는/ETM
주부	주부/NNG
이모	이/NNP+모/NP
씨(30)는	씨/NNB+(/SS+30/SN+)/SS+는/JX
여느	여느/MMA
때처럼	때/NNG+처럼/JKB
회사에	회사/NNG+에/JKB
다니는	다니/VV+는/ETM
남편	남편/NNG
서모	서/NNP+모/NP
씨(35)와	씨/NNB+(/SS+35/SN+)/SS+와/JC
소셜네트워크서비스(SNS)를	소셜/NNG+네트워크/NNG+서비스/NNG+(/SS+SNS/SL+)/SS+를/JKO
통해	통하/VV+아/EC
문자로	문자/NNG+로/JKB
대화를	대화/NNG+를/JKO
나눴다.	나누/VV+었/EP+다/EF+./SF


# id : NWRW1800000045.197.4.2
이날 대구의 첫 메르스 환자 발생이 대화 주제였다.

이날	이날/NNG
대구의	대구/NNP+의/JKG
첫	첫/MMN
메르스	메르스/NNG
환자	환자/NNG
발생이	발생/NNG+이/JKS
대화	대화/NNG
주제였다.	주제/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000045.197.4.3
그러다 갑자기 남편이 이름과 휴대전화 번호, 주소가 적힌 6명의 명단을 보냈다.

그러다	그러/VV+다/EC
갑자기	갑자기/MAG
남편이	남편/NNG+이/JKS
이름과	이름/NNG+과/JC
휴대전화	휴대/NNG+전화/NNG
번호,	번호/NNG+,/SP
주소가	주소/NNG+가/JKS
적힌	적히/VV+ㄴ/ETM
6명의	6/SN+명/NNB+의/JKG
명단을	명단/NNG+을/JKO
보냈다.	보내/VV+었/EP+다/EF+./SF


# id : NWRW1800000045.197.4.4
대화에 푹 빠져 있던 이 씨는 메르스 확진자 명단이라고 생각했다.

대화에	대화/NNG+에/JKB
푹	푹/MAG
빠져	빠지/VV+어/EC
있던	있/VX+던/ETM
이	이/NNP
씨는	씨/NNB+는/JX
메르스	메르스/NNG
확진자	확진자/NNG
명단이라고	명단/NNG+이/VCP+라고/EC
생각했다.	생각/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.197.4.5
머릿속에 친구와 친척들 얼굴이 떠올랐고 급하게 10명에게 명단을 전달했다.

머릿속에	머릿속/NNG+에/JKB
친구와	친구/NNG+와/JC
친척들	친척/NNG+들/XSN
얼굴이	얼굴/NNG+이/JKS
떠올랐고	떠오르/VV+았/EP+고/EC
급하게	급하/VA+게/EC
10명에게	10/SN+명/NNB+에게/JKB
명단을	명단/NNG+을/JKO
전달했다.	전달/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.197.5.1
명단은 SNS를 타고 퍼지기 시작했다.

명단은	명단/NNG+은/JX
SNS를	SNS/SL+를/JKO
타고	타/VV+고/EC
퍼지기	퍼지/VV+기/ETN
시작했다.	시작/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.197.5.2
급기야 이날 오후 1시부터 “누군가 메르스 유언비어를 유포하고 있다”며 수십 건의 112 신고가 들어왔다.

급기야	급기야/MAG
이날	이날/NNG
오후	오후/NNG
1시부터	1/SN+시/NNB+부터/JX
“누군가	“/SS+누구/NP+이/VCP+ㄴ가/EF
메르스	메르스/NNG
유언비어를	유언비어/NNG+를/JKO
유포하고	유포/NNG+하/XSV+고/EC
있다”며	있/VX+다/EF+”/SS+며/EC
수십	수십/NR
건의	건/NNB+의/JKG
112	112/SN
신고가	신고/NNG+가/JKS
들어왔다.	들어오/VV+았/EP+다/EF+./SF


# id : NWRW1800000045.197.5.3
그러다 오후 2시 10분경 이 씨의 자진 신고가 접수됐다.

그러다	그러/VV+다/EC
오후	오후/NNG
2시	2/SN+시/NNB
10분경	10/SN+분/NNB+경/XSN
이	이/NNP
씨의	씨/NNB+의/JKG
자진	자진/NNG
신고가	신고/NNG+가/JKS
접수됐다.	접수/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000045.197.5.4
그는 “남편이 참외 농사를 짓는 부모님을 돕기 위해 지인 등에게서 받은 주문 명단이 SNS에 메르스 확진자로 잘못 알려졌다”며 선처를 호소했다.

그는	그/NP+는/JX
“남편이	“/SS+남편/NNG+이/JKS
참외	참외/NNG
농사를	농사/NNG+를/JKO
짓는	짓/VV+는/ETM
부모님을	부모/NNG+님/XSN+을/JKO
돕기	돕/VV+기/ETN
위해	위하/VV+아/EC
지인	지인/NNG
등에게서	등/NNB+에게서/JKB
받은	받/VV+은/ETM
주문	주문/NNG
명단이	명단/NNG+이/JKS
SNS에	SNS/SL+에/JKB
메르스	메르스/NNG
확진자로	확진자/NNG+로/JKB
잘못	잘못/MAG
알려졌다”며	알려지/VV+었/EP+다/EF+”/SS+며/EC
선처를	선처/NNG+를/JKO
호소했다.	호소/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.197.6.1
대구지방경찰청 사이버수사대는 이 씨를 대상으로 정보통신망법상 명예훼손과 개인정보보호법 위반 등으로 조사 중이다.

대구지방경찰청	대구지방경찰청/NNP
사이버수사대는	사이버/NNG+수사대/NNG+는/JX
이	이/NNP
씨를	씨/NNB+를/JKO
대상으로	대상/NNG+으로/JKB
정보통신망법상	정보/NNG+통신망/NNG+법/NNG+상/XSN
명예훼손과	명예/NNG+훼손/NNG+과/JC
개인정보보호법	개인/NNG+정보/NNG+보호법/NNG
위반	위반/NNG
등으로	등/NNB+으로/JKB
조사	조사/NNG
중이다.	중/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000045.197.6.2
경찰 관계자는 “이 씨에게 고의성이 없고 추가 피해를 막기 위해 자신 신고한 점을 고려하겠지만 명단에 오른 사람들이 피해를 호소해 수사 후에 입건할 방침”이라고 말했다.

경찰	경찰/NNG
관계자는	관계자/NNG+는/JX
“이	“/SS+이/NNP
씨에게	씨/NNB+에게/JKB
고의성이	고의/NNG+성/XSN+이/JKS
없고	없/VA+고/EC
추가	추가/NNG
피해를	피해/NNG+를/JKO
막기	막/VV+기/ETN
위해	위하/VV+아/EC
자신	자신/NNG
신고한	신고/NNG+하/XSV+ㄴ/ETM
점을	점/NNG+을/JKO
고려하겠지만	고려/NNG+하/XSV+겠/EP+지만/EC
명단에	명단/NNG+에/JKB
오른	오르/VV+ㄴ/ETM
사람들이	사람/NNG+들/XSN+이/JKS
호소해	호소/NNG+하/XSV+아/EC
수사	수사/NNG
후에	후/NNG+에/JKB
입건할	입건/NNG+하/XSV+ㄹ/ETM
방침”이라고	방침/NNG+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


