# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.167
metadata : {}


# id : NWRW1800000038.167.1.1
대한항공·아시아나 서비스… 해외선 1등, 국내에선 C등급

대한항공·아시아나	대한항공/NNP+·/SP+아시아나/NNP
서비스…	서비스/NNG+…/SE
해외선	해외/NNG+서/JKB+ㄴ/JX
1등,	1/SN+등/NNB+,/SP
국내에선	국내/NNG+에서/JKB+ㄴ/JX
C등급	C/SL+등급/NNG


# id : NWRW1800000038.167.2.1
정부 첫 항공교통서비스 평가… 업계 "평가 방법 제한적" 반발, 국토부 "예산 부족해 조사 미흡"

정부	정부/NNG
첫	첫/MMN
항공교통서비스	항공/NNG+교통/NNG+서비스/NNG
평가…	평가/NNG+…/SE
업계	업계/NNG
"평가	"/SS+평가/NNG
방법	방법/NNG
제한적"	제한/NNG+적/XSN+"/SS
반발,	반발/NNG+,/SP
국토부	국토부/NNG
"예산	"/SS+예산/NNG
부족해	부족/NNG+하/XSA+아/EC
조사	조사/NNG
미흡"	미흡/NNG+"/SS


# id : NWRW1800000038.167.3.1
국토교통부가 24일 처음으로 작성해 발표한 '항공교통서비스평가' 결과를 두고 논란이 일고 있다.

국토교통부가	국토/NNG+교통부/NNG+가/JKS
24일	24/SN+일/NNB
처음으로	처음/NNG+으로/JKB
작성해	작성/NNG+하/XSV+아/EC
발표한	발표/NNG+하/XSV+ㄴ/ETM
'항공교통서비스평가'	'/SS+항공/NNG+교통/NNG+서비스/NNG+평가/NNG+'/SS
결과를	결과/NNG+를/JKO
두고	두/VV+고/EC
논란이	논란/NNG+이/JKS
일고	일/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000038.167.3.2
ATW(Air Transport World), 비즈니스 트래블러 등 해외의 권위 있는 여행전문지와 스카이트랙스(Skytrax) 등 항공 전문 평가기관들로부터 '올해의 항공사'로 여러 차례 선정된 대한항공과 아시아나항공이 C(보통) 등급을 받은 것.

ATW(Air	ATW/SL+(/SS+Air/SL
Transport	Transport/SL
World),	World/SL+)/SS+,/SP
비즈니스	비즈니스/NNP
트래블러	트래블러/NNP
등	등/NNB
해외의	해외/NNG+의/JKG
권위	권위/NNG
있는	있/VA+는/ETM
여행전문지와	여행/NNG+전문지/NNG+와/JC
스카이트랙스(Skytrax)	스카이트랙스/NNP+(/SS+Skytrax/SL+)/SS
항공	항공/NNG
전문	전문/NNG
평가기관들로부터	평가/NNG+기관/NNG+들/XSN+로부터/JKB
'올해의	'/SS+올해/NNG+의/JKG
항공사'로	항공사/NNG+'/SS+로/JKB
여러	여러/MMN
차례	차례/NNG
선정된	선정/NNG+되/XSV+ㄴ/ETM
대한항공과	대한항공/NNP+과/JC
아시아나항공이	아시아나항공/NNP+이/JKS
C(보통)	C/SL+(/SS+보통/NNG+)/SS
등급을	등급/NNG+을/JKO
받은	받/VV+은/ETM
것.	것/NNB+./SF


# id : NWRW1800000038.167.4.1
국토부는 한국교통연구원에 의뢰해 국내 7개 항공사와 5개 공항을 대상으로 서비스 평가를 시행했다.

국토부는	국토부/NNG+는/JX
한국교통연구원에	한국교통연구원/NNP+에/JKB
의뢰해	의뢰/NNG+하/XSV+아/EC
국내	국내/NNG
7개	7/SN+개/NNB
항공사와	항공사/NNG+와/JC
5개	5/SN+개/NNB
공항을	공항/NNG+을/JKO
대상으로	대상/NNG+으로/JKB
서비스	서비스/NNG
평가를	평가/NNG+를/JKO
시행했다.	시행/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.167.4.2
항공사의 정시성, 안전성, 피해 구제 건수, 승객 만족도 4개 분야를 따졌다.

항공사의	항공사/NNG+의/JKG
정시성,	정시/NNG+성/XSN+,/SP
안전성,	안전/NNG+성/XSN+,/SP
피해	피해/NNG
구제	구제/NNG
건수,	건수/NNG+,/SP
승객	승객/NNG
만족도	만족도/NNG
4개	4/SN+개/NNB
분야를	분야/NNG+를/JKO
따졌다.	따지/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.167.5.1
대한항공과 아시아나항공은 국제선 C등급(보통), 국내선 B등급(우수)을 받았다.

대한항공과	대한항공/NNP+과/JC
아시아나항공은	아시아나항공/NNP+은/JX
국제선	국제선/NNG
