# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000040.223
metadata : {}


# id : NWRW1800000040.223.1.1
경기도내 학교 비정규직 정년 보장

경기도내	경기도/NNP+내/NNB
학교	학교/NNG
비정규직	비/XPN+정규직/NNG
정년	정년/NNG
보장	보장/NNG


# id : NWRW1800000040.223.2.1
도교육청, 6500명 무기계약제

도교육청,	도/NNG+교육청/NNG+,/SP
6500명	6500/SN+명/NNB
무기계약제	무기/NNG+계약/NNG+제/XSN


# id : NWRW1800000040.223.3.1
고용불안 해소…확산 기대

고용불안	고용/NNG+불안/NNG
해소…확산	해소/NNG+…/SE+확산/NNG
기대	기대/NNG


# id : NWRW1800000040.223.4.1
경기도 한 중학교에서 8년째 기간제 노동자로 일해온 특수교육실무사 김희경(49·여)씨는 5월부터 정년 60살을 보장하는 무기계약제가 시행된다는 소식에 믿기지 않는다는 듯 반겼다.

경기도	경기도/NNP
한	한/MMN
중학교에서	중학교/NNG+에서/JKB
8년째	8/SN+년/NNB+째/XSN
기간제	기간/NNG+제/XSN
노동자로	노동자/NNG+로/JKB
일해온	일/NNG+하/XSV+아/EC+오/VX+ㄴ/ETM
특수교육실무사	특수/NNG+교육/NNG+실무사/NNG
김희경(49·여)씨는	김희경/NNP+(/SS+49/SN+·/SP+여/NNG+)/SS+씨/NNB+는/JX
5월부터	5/SN+월/NNB+부터/JX
정년	정년/NNG
60살을	60/SN+살/NNB+을/JKO
보장하는	보장/NNG+하/XSV+는/ETM
무기계약제가	무기/NNG+계약/NNG+제/XSN+가/JKS
시행된다는	시행/NNG+되/XSV+ㄴ다는/ETM
소식에	소식/NNG+에/JKB
믿기지	믿기/VV+지/EC
않는다는	않/VX+는다는/ETM
듯	듯/NNB
반겼다.	반기/VV+었/EP+다/EF+./SF


# id : NWRW1800000040.223.4.2
김씨는 학교에서 특수교사를 도와 장애 학생을 돌보고 월급 97만원을 받는다.

김씨는	김/NNP+씨/NNB+는/JX
학교에서	학교/NNG+에서/JKB
특수교사를	특수/NNG+교사/NNG+를/JKO
도와	돕/VV+아/EC
장애	장애/NNG
학생을	학생/NNG+을/JKO
돌보고	돌보/VV+고/EC
월급	월급/NNG
97만원을	97/SN+만/NR+원/NNB+을/JKO
받는다.	받/VV+는다/EF+./SF


# id : NWRW1800000040.223.4.3
적은 월급보다도 1년마다 계약서를 다시 쓸 때면 잘릴지 모른다는 불안감이 더 힘들었다고 했다.

적은	적/VA+은/ETM
월급보다도	월급/NNG+보다/JKB+도/JX
1년마다	1/SN+년/NNB+마다/JX
계약서를	계약서/NNG+를/JKO
다시	다시/MAG
쓸	쓰/VV+ㄹ/ETM
때면	때/NNG+이/VCP+면/EC
잘릴지	잘리/VV+ㄹ지/EF
모른다는	모르/VV+ㄴ다는/ETM
불안감이	불안감/NNG+이/JKS
더	더/MAG
힘들었다고	힘들/VA+었/EP+다고/EC
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000040.223.5.1
경기도교육청은 1년 넘게 일해온 학교비정규직 교육실무직원 6500여명을 정년 60살까지 보장하는 무기계약직으로 전환한다고 30일 밝혔다.

