# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000056.330
metadata : {}


# id : NWRW1800000056.330.1.1
[유레카] 범용 인공지능 / 구본권

[유레카]	[/SS+유레카/NNG+]/SS
범용	범용/NNG
인공지능	인공/NNG+지능/NNG
/	//SP
구본권	구본권/NNP


# id : NWRW1800000056.330.2.1
[한겨레] 컴퓨터는 앨런 튜링이 고안한 ‘보편 튜링기계’에서 비롯한다.

[한겨레]	[/SS+한겨레/NNP+]/SS
컴퓨터는	컴퓨터/NNG+는/JX
앨런	앨런/NNP
튜링이	튜링/NNP+이/JKS
고안한	고안/NNG+하/XSV+ㄴ/ETM
‘보편	‘/SS+보편/NNG
튜링기계’에서	튜링/NNP+기계/NNG+’/SS+에서/JKB
비롯한다.	비롯하/VV+ㄴ다/EF+./SF


# id : NWRW1800000056.330.2.2
튜링은 1948년 논문 ‘지능을 가진 기계’에서 주어진 알고리즘대로 계산을 수행할 수 있는 계산기계를 구상했는데 이것이 튜링기계다.

튜링은	튜링/NNP+은/JX
1948년	1948/SN+년/NNB
논문	논문/NNG
‘지능을	‘/SS+지능/NNG+을/JKO
가진	가지/VV+ㄴ/ETM
기계’에서	기계/NNG+’/SS+에서/JKB
주어진	주어지/VV+ㄴ/ETM
알고리즘대로	알고리즘/NNG+대로/JX
계산을	계산/NNG+을/JKO
수행할	수행/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
계산기계를	계산/NNG+기계/NNG+를/JKO
구상했는데	구상/NNG+하/XSV+았/EP+는데/EC
이것이	이것/NP+이/JKS
튜링기계다.	튜링/NNP+기계/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000056.330.2.3
계산기계가 하나의 알고리즘을 수행하는 것이 아니라, 저장장치에 처리할 데이터와 함께 알고리즘 자체를 기록해두고 읽게 하면 모든 튜링 기계를 흉내낼 수 있는 ‘보편 튜링기계’를 만들 수 있다.

계산기계가	계산/NNG+기계/NNG+가/JKS
하나의	하나/NR+의/JKG
알고리즘을	알고리즘/NNG+을/JKO
수행하는	수행/NNG+하/XSV+는/ETM
것이	것/NNB+이/JKC
아니라,	아니/VCN+라/EC+,/SP
저장장치에	저장/NNG+장치/NNG+에/JKB
처리할	처리/NNG+하/XSV+ㄹ/ETM
데이터와	데이터/NNG+와/JKB
함께	함께/MAG
알고리즘	알고리즘/NNG
자체를	자체/NNG+를/JKO
기록해두고	기록/NNG+하/XSV+아/EC+두/VX+고/EC
읽게	읽/VV+게/EC
하면	하/VX+면/EC
모든	모든/MMN
튜링	튜링/NNP
기계를	기계/NNG+를/JKO
흉내낼	흉내/NNG+내/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
‘보편	‘/SS+보편/NNG
튜링기계’를	튜링/NNP+기계/NNG+’/SS+를/JKO
만들	만들/VV+ㄹ/ETM
있다.	있/VA+다/EF+./SF


# id : NWRW1800000056.330.2.4
존 폰 노이만은 프로그램과 데이터를 같은 메모리에 저장하는 시도를 통해 보편 튜링기계를 현실화시킨다.

존	존/NNP
폰	폰/NNP
노이만은	노이만/NNP+은/JX
프로그램과	프로그램/NNG+과/JC
데이터를	데이터/NNG+를/JKO
같은	같/VA+은/ETM
메모리에	메모리/NNG+에/JKB
저장하는	저장/NNG+하/XSV+는/ETM
시도를	시도/NNG+를/JKO
통해	통하/VV+아/EC
보편	보편/NNG
튜링기계를	튜링/NNP+기계/NNG+를/JKO
현실화시킨다.	현실/NNG+화/XSN+시키/XSV+ㄴ다/EF+./SF


# id : NWRW1800000056.330.2.5
오늘날 모든 컴퓨터는 폰 노이만 구조의 기계다.

오늘날	오늘날/NNG
모든	모든/MMN
컴퓨터는	컴퓨터/NNG+는/JX
폰	폰/NNP
노이만	노이만/NNP
구조의	구조/NNG+의/JKG
기계다.	기계/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000056.330.3.1
인공지능과 사람 지능의 차이는 범용성이다.

인공지능과	인공/NNG+지능/NNG+과/JC
사람	사람/NNG
지능의	지능/NNG+의/JKG
차이는	차이/NNG+는/JX
범용성이다.	범용/NNG+성/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000056.330.3.2
인공지능은 퀴즈, 외국어 번역, 체스, 바둑 등 일부 영역에서 사람을 능가하지만, 사람처럼 동시에 다양한 영역의 이질적 문제를 인지하고 처리할 수 없다.

인공지능은	인공/NNG+지능/NNG+은/JX
퀴즈,	퀴즈/NNG+,/SP
외국어	외국어/NNG
번역,	번역/NNG+,/SP
체스,	체스/NNG+,/SP
바둑	바둑/NNG
등	등/NNB
일부	일부/NNG
영역에서	영역/NNG+에서/JKB
사람을	사람/NNG+을/JKO
능가하지만,	능가/NNG+하/XSV+지만/EC+,/SP
사람처럼	사람/NNG+처럼/JKB
동시에	동시/NNG+에/JKB
다양한	다양/NNG+하/XSA+ㄴ/ETM
영역의	영역/NNG+의/JKG
이질적	이질/NNG+적/XSN
문제를	문제/NNG+를/JKO
인지하고	인지/NNG+하/XSV+고/EC
처리할	처리/NNG+하/XSV+ㄹ/ETM
