# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000044.311
metadata : {}


# id : NWRW1800000044.311.1.1
[한겨레 프리즘] 뭐라도 해야겠다 / 한귀영

[한겨레	[/SS+한겨레/NNP
프리즘]	프리즘/NNG+]/SS
뭐라도	뭐/NP+라도/JX
해야겠다	하/VV+아야/EC+하/VX+겠/EP+다/EF
/	//SP
한귀영	한귀영/NNP


# id : NWRW1800000044.311.2.1
[한겨레] 대안 없는 시절이다.

[한겨레]	[/SS+한겨레/NNP+]/SS
대안	대안/NNG
없는	없/VA+는/ETM
시절이다.	시절/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000044.311.2.2
찍어만 주시면 머리끝부터 발끝까지 다 바꾸겠다던 정부 여당은 지방선거에서 간신히 살아나자마자 어김없이 원판불변의 법칙을 보여주고 있다.

찍어만	찍/VV+어/EC+만/JX
주시면	주/VX+시/EP+면/EC
머리끝부터	머리끝/NNG+부터/JX
발끝까지	발끝/NNG+까지/JX
다	다/MAG
바꾸겠다던	바꾸/VV+겠/EP+다던/ETM
정부	정부/NNG
여당은	여당/NNG+은/JX
지방선거에서	지방/NNG+선거/NNG+에서/JKB
간신히	간신히/MAG
살아나자마자	살아나/VV+자마자/EC
어김없이	어김없이/MAG
원판불변의	원판/NNG+불변/NNG+의/JKG
법칙을	법칙/NNG+을/JKO
보여주고	보이/VV+어/EC+주/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000044.311.2.3
못 미덥지만 한번 더 기회를 주었던 제1야당은 이제는 보궐선거 공천 파동의 뒤끝 속에서 지리멸렬 중이다.

못	못/MAG
미덥지만	미덥/VA+지만/EC
한번	한번/MAG
더	더/MAG
기회를	기회/NNG+를/JKO
주었던	주/VV+었/EP+던/ETM
제1야당은	제/XPN+1/SN+야당/NNG+은/JX
이제는	이제/NNG+는/JX
보궐선거	보궐/NNG+선거/NNG
공천	공천/NNG
파동의	파동/NNG+의/JKG
뒤끝	뒤끝/NNG
속에서	속/NNG+에서/JKB
지리멸렬	지리멸렬/NNG
중이다.	중/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000044.311.2.4
그 많던 진보들은 저 많은 진보정당들로 갈팡질팡 흩어져 이제 누가 어느 당인지조차 헷갈릴 지경이 됐다.

그	그/MMD
많던	많/VA+던/ETM
진보들은	진보/NNG+들/XSN+은/JX
저	저/MMD
많은	많/VA+은/ETM
진보정당들로	진보/NNG+정당/NNG+들/XSN+로/JKB
갈팡질팡	갈팡질팡/MAG
흩어져	흩어지/VV+어/EC
이제	이제/MAG
누가	누구/NP+가/JKS
어느	어느/MMD
당인지조차	당/NNG+이/VCP+ㄴ지/EC+조차/JX
헷갈릴	헷갈리/VV+ㄹ/ETM
지경이	지경/NNB+이/JKC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.311.2.5
원판불변, 지리멸렬, 갈팡질팡.

원판불변,	원판/NNG+불변/NNG+,/SP
지리멸렬,	지리멸렬/NNG+,/SP
갈팡질팡.	갈팡질팡/MAG+./SF


# id : NWRW1800000044.311.2.6
우리들 참 딱하다.

우리들	우리/NP+들/XSN
참	참/MAG
딱하다.	딱하/VA+다/EF+./SF


# id : NWRW1800000044.311.3.1
정치에 마음을 주었다가 무수히 상처받은 사람들이 더는 상처받기 싫어서 꺼내드는 처방전이 냉소다.

정치에	정치/NNG+에/JKB
마음을	마음/NNG+을/JKO
주었다가	주/VV+었/EP+다가/EC
무수히	무수히/MAG
상처받은	상처/NNG+받/XSV+은/ETM
사람들이	사람/NNG+들/XSN+이/JKS
더는	더/MAG+는/JX
상처받기	상처/NNG+받/XSV+기/ETN
싫어서	싫/VA+어서/EC
꺼내드는	꺼내/VV+어/EC+들/VX+는/ETM
처방전이	처방전/NNG+이/JKS
냉소다.	냉소/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000044.311.3.2
정치란 원래 ‘그런’ 것이고, 정치가란 온갖 명분으로 치장해도 결국 자기 밥그릇이나 챙기는 인간들이라는 냉소를 준비해두어야만 이 비루한 현실을 견딜 수 있다.

정치란	정치/NNG+란/JX
원래	원래/MAG
‘그런’	‘/SS+그렇/VA+ㄴ/ETM+’/SS
것이고,	것/NNB+이/VCP+고/EC+,/SP
정치가란	정치가/NNG+란/JX
온갖	온갖/MMN
명분으로	명분/NNG+으로/JKB
치장해도	치장/NNG+하/XSV+아도/EC
결국	결국/MAG
자기	자기/NP
밥그릇이나	밥그릇/NNG+이나/JX
챙기는	챙기/VV+는/ETM
인간들이라는	인간/NNG+들/XSN+이/VCP+라는/ETM
냉소를	냉소/NNG+를/JKO
준비해두어야만	준비/NNG+하/XSV+아/EC+두/VX+어야/EC+만/JX
이	이/MMD
비루한	비루하/VA+ㄴ/ETM
현실을	현실/NNG+을/JKO
견딜	견디/VV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000044.311.3.3
게다가 이런저런 정치권 주변 인사들, 평론가들은 정치란 기껏해야 차악을 선택하는 행동이라며 공공연히 냉소주의를 설파한다.

게다가	게다가/MAG
이런저런	이런저런/MMD
정치권	정치/NNG+권/XSN
주변	주변/NNG
인사들,	인사/NNG+들/XSN+,/SP
평론가들은	평론가/NNG+들/XSN+은/JX
정치란	정치/NNG+란/JX
기껏해야	기껏해야/MAG
차악을	차악/NNG+을/JKO
선택하는	선택/NNG+하/XSV+는/ETM
행동이라며	행동/NNG+이/VCP+라며/EC
공공연히	공공연히/MAG
냉소주의를	냉소주의/NNG+를/JKO
설파한다.	설파/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000044.311.3.4
공동체의 집합적 의지가 악에 가까운 쪽으로 결집되는 것이 그나마 나은 일이라니! 2014년의 대한민국, 아득하다.

공동체의	공동체/NNG+의/JKG
집합적	집합/NNG+적/XSN
의지가	의지/NNG+가/JKS
악에	악/NNG+에/JKB
가까운	가깝/VA+ㄴ/ETM
쪽으로	쪽/NNB+으로/JKB
결집되는	결집/NNG+되/XSV+는/ETM
것이	것/NNB+이/JKS
그나마	그나마/MAG
나은	낫/VA+은/ETM
일이라니!	일/NNG+이/VCP+라니/EF+!/SF
2014년의	2014/SN+년/NNB+의/JKG
대한민국,	대한민국/NNP+,/SP
아득하다.	아득하/VA+다/EF+./SF


# id : NWRW1800000044.311.4.1
이 딱하고 아득한 2014년 7월의 15일, 한여름 뙤약볕 아래서 416개의 상자에 담긴 350만1266명의 서명이 국회에 전달되었다.

이	이/MMD
딱하고	딱하/VA+고/EC
아득한	아득하/VA+ㄴ/ETM
2014년	2014/SN+년/NNB
7월의	7/SN+월/NNB+의/JKG
15일,	15/SN+일/NNB+,/SP
한여름	한/XPN+여름/NNG
뙤약볕	뙤약볕/NNG
아래서	아래/NNG+서/JKB
416개의	416/SN+개/NNB+의/JKG
상자에	상자/NNG+에/JKB
담긴	담기/VV+ㄴ/ETM
350만1266명의	350/SN+만/NR+1266/SN+명/NNB+의/JKG
서명이	서명/NNG+이/JKS
국회에	국회/NNG+에/JKB
전달되었다.	전달/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000044.311.4.2
세월호 진상규명과 재발방지를 위한 특별법 제정을 촉구하는 육필들이 거기 담겼다.

세월호	세월호/NNP
진상규명과	진상/NNG+규명/NNG+과/JC
재발방지를	재발/NNG+방지/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
특별법	특별법/NNG
제정을	제정/NNG+을/JKO
촉구하는	촉구/NNG+하/XSV+는/ETM
육필들이	육필/NNG+들/XSN+이/JKS
거기	거기/NP
담겼다.	담기/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.311.4.3
1000만명 목표분 중 1차분이다.

1000만명	1000/SN+만/NR+명/NNB
목표분	목표/NNG+분/XSN
중	중/NNB
1차분이다.	1/SN+차/NNB+분/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000044.311.4.4
서명용지에는 아직 650만개의 빈칸이 남아 있다.

서명용지에는	서명/NNG+용지/NNG+에/JKB+는/JX
아직	아직/MAG
650만개의	650/SN+만/NR+개/NNB+의/JKG
빈칸이	빈칸/NNG+이/JKS
남아	남/VV+아/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000044.311.4.5
내가 한 서명은 수백만분의 일에 불과할 것이다.

내가	내/NP+가/JKS
한	하/VV+ㄴ/ETM
서명은	서명/NNG+은/JX
수백만분의	수백만/NR+분/XSN+의/JKG
일에	일/NR+에/JKB
불과할	불과/MAG+하/XSA+ㄹ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000044.311.4.6
그럼 어떠리, 중요한 것은 내가 행동했다는 것, 그래야 조금이라도 바뀔 수 있다.

그럼	그럼/MAJ
어떠리,	어떻/VA+리/EF+,/SP
중요한	중요/NNG+하/XSA+ㄴ/ETM
것은	것/NNB+은/JX
내가	내/NP+가/JKS
행동했다는	행동/NNG+하/XSV+았/EP+다는/ETM
것,	것/NNB+,/SP
그래야	그렇/VA+어야/EC
조금이라도	조금/NNG+이/VCP+라도/EC
바뀔	바뀌/VV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000044.311.5.1
사흘 뒤 7월18일, 서울 종로의 수운회관에서는 300명의 시민들이 노란 테이블에 둘러앉았다.

사흘	사흘/NNG
뒤	뒤/NNG
7월18일,	7/SN+월/NNB+18/SN+일/NNB+,/SP
서울	서울/NNP
종로의	종로/NNP+의/JKG
수운회관에서는	수운회관/NNP+에서/JKB+는/JX
300명의	300/SN+명/NNB+의/JKG
시민들이	시민/NNG+들/XSN+이/JKS
노란	노랗/VA+ㄴ/ETM
테이블에	테이블/NNG+에/JKB
둘러앉았다.	둘러앉/VV+았/EP+다/EF+./SF


# id : NWRW1800000044.311.5.2
세월호 이후 ‘뭐라도 해야겠다’는 시민들이 한국 사회의 안전을 위협하는 이슈들을 진단하고, 새로운 가치를 상상하며, 요구와 다짐을 공유했다.

세월호	세월호/NNP
이후	이후/NNG
‘뭐라도	‘/SS+뭐/NP+라도/JX
해야겠다’는	하/VV+아야/EC+하/VX+겠/EP+다/EF+’/SS+는/ETM
시민들이	시민/NNG+들/XSN+이/JKS
한국	한국/NNP
사회의	사회/NNG+의/JKG
안전을	안전/NNG+을/JKO
위협하는	위협/NNG+하/XSV+는/ETM
이슈들을	이슈/NNG+들/XSN+을/JKO
진단하고,	진단/NNG+하/XSV+고/EC+,/SP
새로운	새롭/VA+ㄴ/ETM
가치를	가치/NNG+를/JKO
상상하며,	상상/NNG+하/XSV+며/EC+,/SP
요구와	요구/NNG+와/JC
다짐을	다짐/NNG+을/JKO
공유했다.	공유/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.311.5.3
10대에서 80대까지 성별과 직업, 지역, 그 외 인간을 구별하고 차별하는 온갖 범주들을 뛰어넘어 모인 이들이 4월16일을 잊지 않기 위해 필요한 행동 프로그램들을 스스로 고민하고 창안하고 다짐했다.

10대에서	10/SN+대/NNB+에서/JKB
80대까지	80/SN+대/NNB+까지/JX
성별과	성별/NNG+과/JKB
직업,	직업/NNG+,/SP
지역,	지역/NNG+,/SP
그	그/MMD
외	외/NNB
인간을	인간/NNG+을/JKO
구별하고	구별/NNG+하/XSV+고/EC
차별하는	차별/NNG+하/XSV+는/ETM
온갖	온갖/MMN
범주들을	범주/NNG+들/XSN+을/JKO
뛰어넘어	뛰어넘/VV+어/EC
모인	모이/VV+ㄴ/ETM
이들이	이/NNB+들/XSN+이/JKS
4월16일을	4/SN+월/NNB+16/SN+일/NNB+을/JKO
잊지	잊/VV+지/EC
않기	않/VX+기/ETN
위해	위하/VV+아/EC
필요한	필요/NNG+하/XSA+ㄴ/ETM
행동	행동/NNG
프로그램들을	프로그램/NNG+들/XSN+을/JKO
스스로	스스로/MAG
고민하고	고민/NNG+하/XSV+고/EC
창안하고	창안/NNG+하/XSV+고/EC
다짐했다.	다짐/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.311.5.4
“세월호 참사로 먼저 세상을 떠난 언니, 오빠들의 평생 친구, 후배로 남겠습니다”는 고등학생의 다짐부터, “과에서 학생회를 만들어 친구들과 작은 실천부터 하겠다”는 대학생까지 수백개의 다짐이 이어졌다.

“세월호	“/SS+세월호/NNP
참사로	참사/NNG+로/JKB
먼저	먼저/MAG
세상을	세상/NNG+을/JKO
떠난	떠나/VV+ㄴ/ETM
언니,	언니/NNG+,/SP
오빠들의	오빠/NNG+들/XSN+의/JKG
평생	평생/NNG
친구,	친구/NNG+,/SP
후배로	후배/NNG+로/JKB
남겠습니다”는	남/VV+겠/EP+습니다/EF+”/SS+는/ETM
고등학생의	고등학생/NNG+의/JKG
다짐부터,	다짐/NNG+부터/JX+,/SP
“과에서	“/SS+과/NNG+에서/JKB
학생회를	학생회/NNG+를/JKO
만들어	만들/VV+어/EC
친구들과	친구/NNG+들/XSN+과/JKB
작은	작/VA+은/ETM
실천부터	실천/NNG+부터/JX
하겠다”는	하/VX+겠/EP+다/EF+”/SS+는/ETM
대학생까지	대학/NNG+생/XSN+까지/JX
수백개의	수백/NR+개/NNB+의/JKG
다짐이	다짐/NNG+이/JKS
이어졌다.	이어지/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.311.5.5
이들은 자기의 자리로 돌아가 자기 옆의 동료들과 함께 새로이 테이블을 만들 것이다.

이들은	이/NP+들/XSN+은/JX
자기의	자기/NP+의/JKG
자리로	자리/NNG+로/JKB
돌아가	돌아가/VV+아/EC
자기	자기/NP
옆의	옆/NNG+의/JKG
동료들과	동료/NNG+들/XSN+과/JKB
함께	함께/MAG
새로이	새로이/MAG
테이블을	테이블/NNG+을/JKO
만들	만들/VV+ㄹ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000044.311.5.6
나도, 여러분도 그 테이블에 앉을 수 있다.

나도,	나/NP+도/JX+,/SP
여러분도	여러분/NP+도/JX
그	그/MMD
