# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000036.91
metadata : {}


# id : NWRW1800000036.91.1.1
‘마르크시즘’의 귀환

‘마르크시즘’의	‘/SS+마르크시즘/NNG+’/SS+의/JKG
귀환	귀환/NNG


# id : NWRW1800000036.91.2.1
[한겨레] 영국 ‘…2012’ 행사 수천명 몰릴듯

[한겨레]	[/SS+한겨레/NNP+]/SS
영국	영국/NNP
‘…2012’	‘/SS+…/SE+2012/SN+’/SS
행사	행사/NNG
수천명	수천/NR+명/NNB
몰릴듯	몰리/VV+ㄹ/ETM+듯/NNB


# id : NWRW1800000036.91.3.1
독일선 ‘마르크스 신용카드’ 나올뻔

독일선	독일/NNP+서/JKB+ㄴ/JX
‘마르크스	‘/SS+마르크스/NNP
신용카드’	신용/NNG+카드/NNG+’/SS
나올뻔	나오/VV+ㄹ/ETM+뻔/NNB


# id : NWRW1800000036.91.4.1
유로존 위기가 영국과 독일에서 한때 자취를 감춘 것으로 보였던 마르크시즘에 대한 관심을 되살리고 있다.

유로존	유로존/NNG
위기가	위기/NNG+가/JKS
영국과	영국/NNP+과/JC
독일에서	독일/NNP+에서/JKB
한때	한때/MAG
자취를	자취/NNG+를/JKO
감춘	감추/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
보였던	보이/VV+었/EP+던/ETM
마르크시즘에	마르크시즘/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
관심을	관심/NNG+을/JKO
되살리고	되살리/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000036.91.5.1
영국 런던에서 사회주의노동자당(SWP) 주최로 5~9일 열리는 ‘마르크시즘 2012’ 행사에 수천명이 몰릴 것으로 예상된다고 <가디언>이 4일 전했다.

영국	영국/NNP
런던에서	런던/NNP+에서/JKB
사회주의노동자당(SWP)	사회주의노동자당/NNP+(/SS+SWP/SL+)/SS
주최로	주최/NNG+로/JKB
5~9일	5/SN+~/SO+9/SN+일/NNB
열리는	열리/VV+는/ETM
‘마르크시즘	‘/SS+마르크시즘/NNG
2012’	2012/SN+’/SS
행사에	행사/NNG+에/JKB
수천명이	수천/NR+명/NNB+이/JKS
몰릴	몰리/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
예상된다고	예상/NNG+되/XSV+ㄴ다고/EC
<가디언>이	</SS+가디언/NNP+>/SS+이/JKS
4일	4/SN+일/NNB
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000036.91.5.2
특히 올해는 20~30대 젊은층이 대거 참가를 신청해 주최측을 놀라게 하고 있다.

특히	특히/MAG
올해는	올해/NNG+는/JX
20~30대	20/SN+~/SO+30/SN+대/NNB
젊은층이	젊/VA+은/ETM+층/NNG+이/JKS
대거	대거/MAG
참가를	참가/NNG+를/JKO
신청해	신청/NNG+하/XSV+아/EC
주최측을	주최/NNG+측/NNB+을/JKO
놀라게	놀라/VV+게/EC
하고	하/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000036.91.5.3
젊은층의 참가는 2008년 금융위기 이후 계속 느는 추세다.

젊은층의	젊/VA+은/ETM+층/NNG+의/JKG
참가는	참가/NNG+는/JX
2008년	2008/SN+년/NNB
금융위기	금융/NNG+위기/NNG
이후	이후/NNG
계속	계속/MAG
느는	늘/VV+는/ETM
추세다.	추세/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000036.91.6.1
마르크시즘에 젊은층이 뜨거운 관심을 보이는 이유는 이들이 경제위기의 가장 큰 피해자이기 때문이라고 외신은 분석했다.

마르크시즘에	마르크시즘/NNG+에/JKB
젊은층이	젊/VA+은/ETM+층/NNG+이/JKS
뜨거운	뜨겁/VA+ㄴ/ETM
관심을	관심/NNG+을/JKO
보이는	보이/VV+는/ETM
이유는	이유/NNG+는/JX
이들이	이/NP+들/XSN+이/JKS
경제위기의	경제/NNG+위기/NNG+의/JKG
가장	가장/MAG
큰	크/VA+ㄴ/ETM
피해자이기	피해자/NNG+이/VCP+기/ETN
때문이라고	때문/NNB+이/VCP+라고/EC
외신은	외신/NNG+은/JX
분석했다.	분석/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.91.6.2
영국의 청년실업률은 최근 22.3%까지 치솟으며 지난 1992년 관련 통계를 내기 시작한 이후 가장 높은 수준을 기록했다.

영국의	영국/NNP+의/JKG
청년실업률은	청년/NNG+실업/NNG+률/XSN+은/JX
최근	최근/MAG
22.3%까지	22/SN+./SP+3/SN+%/SW+까지/JX
치솟으며	치솟/VV+으며/EC
지난	지나/VV+ㄴ/ETM
1992년	1992/SN+년/NNB
관련	관련/NNG
통계를	통계/NNG+를/JKO
내기	내/VV+기/ETN
시작한	시작/NNG+하/XSV+ㄴ/ETM
이후	이후/NNG
가장	가장/MAG
높은	높/VA+은/ETM
수준을	수준/NNG+을/JKO
기록했다.	기록/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.91.6.3
행사 관계자인 조지프 추나라는 “마르크시즘이 지금의 경제위기를 분석하는 틀을 제공하기 때문에 젊은층들의 관심이 특별히 높은 것 같다”고 말했다.

행사	행사/NNG
관계자인	관계자/NNG+이/VCP+ㄴ/ETM
조지프	조지프/NNP
추나라는	추나라/NNP+는/JX
“마르크시즘이	“/SS+마르크시즘/NNG+이/JKS
지금의	지금/NNG+의/JKG
경제위기를	경제/NNG+위기/NNG+를/JKO
분석하는	분석/NNG+하/XSV+는/ETM
틀을	틀/NNG+을/JKO
제공하기	제공/NNG+하/XSV+기/ETN
때문에	때문/NNB+에/JKB
젊은층들의	젊/VA+은/ETM+층/NNG+들/XSN+의/JKG
관심이	관심/NNG+이/JKS
특별히	특별히/MAG
높은	높/VA+은/ETM
것	것/NNB
같다”고	같/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.91.6.4
영국의 대처리즘이나 소련식 공산주의를 경험한 기성세대와 달리 젊은층들은 마르크시즘를 계급투쟁이나 혁명의 관점에서 보지 않고, 지금 세상이 어떻게 돌아가는지 이해하는 도구로 받아들이고 있다는 것이다.

영국의	영국/NNP+의/JKG
대처리즘이나	대처리즘/NNG+이나/JC
소련식	소련식/NNG
공산주의를	공산주의/NNG+를/JKO
경험한	경험/NNG+하/XSV+ㄴ/ETM
기성세대와	기성세대/NNG+와/JKB
달리	달리/MAG
젊은층들은	젊/VA+은/ETM+층/NNG+들/XSN+은/JX
마르크시즘를	마르크시즘/NNG+를/JKO
계급투쟁이나	계급/NNG+투쟁/NNG+이나/JC
혁명의	혁명/NNG+의/JKG
관점에서	관점/NNG+에서/JKB
보지	보/VV+지/EC
않고,	않/VX+고/EC+,/SP
지금	지금/MAG
세상이	세상/NNG+이/JKS
어떻게	어떻/VA+게/EC
돌아가는지	돌아가/VV+는지/EC
이해하는	이해/NNG+하/XSV+는/ETM
도구로	도구/NNG+로/JKB
받아들이고	받아들이/VV+고/EC
있다는	있/VX+다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000036.91.7.1
‘마르크시즘의 귀환’은 2008년 금융위기 직후 독일에서 시작됐다.

‘마르크시즘의	‘/SS+마르크시즘/NNG+의/JKG
귀환’은	귀환/NNG+’/SS+은/JX
2008년	2008/SN+년/NNB
금융위기	금융/NNG+위기/NNG
직후	직후/NNG
독일에서	독일/NNP+에서/JKB
시작됐다.	시작/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000036.91.7.2
<자본론>과 <공산당 선언> 등 칼 마르크스와 프리드리히 엥겔스의 저작이 독일 서점가를 휩쓸었다.

<자본론>과	</SS+자본론/NNP+>/SS+과/JC
<공산당	</SS+공산당/NNP
선언>	선언/NNG+>/SS
등	등/NNB
칼	칼/NNP
마르크스와	마르크스/NNP+와/JC
프리드리히	프리드리히/NNP
엥겔스의	엥겔스/NNP+의/JKG
저작이	저작/NNG+이/JKS
독일	독일/NNP
서점가를	서점가/NNG+를/JKO
휩쓸었다.	휩쓸/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.91.7.3
같은해 <로이터> 통신이 보도한 설문조사 결과 동독 출신 독일인의 52%는 “시장경제가 적합하지 않다”고 답했으며, 43%는 사회주의 체제로 돌아가기를 원하는 것으로 나타났다.

같은해	같/VA+은/ETM+해/NNG
<로이터>	</SS+로이터/NNP+>/SS
통신이	통신/NNG+이/JKS
보도한	보도/NNG+하/XSV+ㄴ/ETM
설문조사	설문/NNG+조사/NNG
결과	결과/NNG
동독	동독/NNP
출신	출신/NNG
독일인의	독일인/NNG+의/JKG
52%는	52/SN+%/SW+는/JX
“시장경제가	“/SS+시장/NNG+경제/NNG+가/JKS
적합하지	적합/NNG+하/XSA+지/EC
않다”고	않/VX+다/EF+”/SS+고/JKQ
답했으며,	답/NNG+하/XSV+았/EP+으며/EC+,/SP
43%는	43/SN+%/SW+는/JX
사회주의	사회주의/NNG
체제로	체제/NNG+로/JKB
돌아가기를	돌아가/VV+기/ETN+를/JKO
원하는	원/NNG+하/XSV+는/ETM
것으로	것/NNB+으로/JKB
나타났다.	나타나/VV+았/EP+다/EF+./SF


# id : NWRW1800000036.91.7.4
마르크스는 지난달 옛 동독 도시인 켐니츠의 한 신용카드 회사가 고객들을 상대로 새 신용카드에 새겨질 모델을 뽑는 설문에서 10명의 최종후보에 오르기도 했다.

마르크스는	마르크스/NNP+는/JX
지난달	지난달/NNG
옛	옛/MMA
동독	동독/NNP
도시인	도시/NNG+이/VCP+ㄴ/ETM
켐니츠의	켐니츠/NNP+의/JKG
한	한/MMN
신용카드	신용/NNG+카드/NNG
회사가	회사/NNG+가/JKS
고객들을	고객/NNG+들/XSN+을/JKO
상대로	상대/NNG+로/JKB
새	새/MMA
신용카드에	신용/NNG+카드/NNG+에/JKB
새겨질	새기/VV+어/EC+지/VX+ㄹ/ETM
모델을	모델/NNG+을/JKO
뽑는	뽑/VV+는/ETM
설문에서	설문/NNG+에서/JKB
10명의	10/SN+명/NNB+의/JKG
최종후보에	최종/NNG+후보/NNG+에/JKB
오르기도	오르/VV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


