# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.389
metadata : {}


# id : NWRW1800000049.389.1.1
[단독]독방 생활 최순실, 구치소 특혜 의혹

[단독]독방	[/SS+단독/NNG+]/SS+독방/NNG
생활	생활/NNG
최순실,	최순실/NNP+,/SP
구치소	구치소/NNG
특혜	특혜/NNG
의혹	의혹/NNG


# id : NWRW1800000049.389.2.1
[최순실 ‘감방 청문회’]1병 제한 생수도 필요할 때마다 구입 서울구치소 관계자 등 증언 영치금-반입물품 제한 안받아… 외부에 알리려던 수감자 이감 구치소측 “확인해줄 수 없다”

[최순실	[/SS+최순실/NNP
‘감방	‘/SS+감방/NNG
청문회’]1병	청문회/NNG+’/SS+]/SS+1/SN+병/NNG
제한	제한/NNG
생수도	생수/NNG+도/JX
필요할	필요/NNG+하/XSA+ㄹ/ETM
때마다	때/NNG+마다/JX
구입	구입/NNG
서울구치소	서울구치소/NNP
관계자	관계자/NNG
등	등/NNB
증언	증언/NNG
영치금-반입물품	영치금/NNG+-/SO+반입/NNG+물품/NNG
안받아…	안/MAG+받/VV+아/EC+…/SE
외부에	외부/NNG+에/JKB
알리려던	알리/VV+려던/ETM
수감자	수감자/NNG
이감	이감/NNG
구치소측	구치소/NNG+측/NNB
“확인해줄	“/SS+확인/NNG+하/XSV+아/EC+주/VX+ㄹ/ETM
수	수/NNB
없다”	없/VA+다/EF+”/SS


# id : NWRW1800000049.389.3.1
서울구치소 독방에 수감 중인 최순실 씨(60·구속 기소)가 각종 특혜를 받고 있다는 다수의 증언이 나왔다.

서울구치소	서울구치소/NNP
독방에	독방/NNG+에/JKB
수감	수감/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
최순실	최순실/NNP
씨(60·구속	씨/NNB+(/SS+60/SN+·/SP+구속/NNG
기소)가	기소/NNG+)/SS+가/JKS
각종	각종/NNG
특혜를	특혜/NNG+를/JKO
받고	받/VV+고/EC
있다는	있/VX+다는/ETM
다수의	다수/NNG+의/JKG
증언이	증언/NNG+이/JKS
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000049.389.3.2
최 씨에 대한 특혜를 외부에 알리려다 검열에 적발된 한 수용자는 이례적으로 신속하게 다른 교도소로 옮겨지기도 한 것으로 알려졌다.

최	최/NNP
씨에	씨/NNB+에/JKB
대한	대하/VV+ㄴ/ETM
특혜를	특혜/NNG+를/JKO
외부에	외부/NNG+에/JKB
알리려다	알리/VV+려다/EC
검열에	검열/NNG+에/JKB
적발된	적발/NNG+되/XSV+ㄴ/ETM
한	하/VX+ㄴ/ETM
수용자는	수용자/NNG+는/JX
이례적으로	이례/NNG+적/XSN+으로/JKB
신속하게	신속/NNG+하/XSA+게/EC
다른	다른/MMD
교도소로	교도소/NNG+로/JKB
옮겨지기도	옮기/VV+어/EC+지/VX+기/ETN+도/JX
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.389.4.1
26일 서울구치소 내부 사정에 밝은 관계자들에 따르면 최 씨는 10월 31일 밤 긴급 체포돼 두 평도 채 안 되는 독방에 수감됐지만 갖가지 특혜를 받았다.

26일	26/SN+일/NNB
서울구치소	서울구치소/NNP
내부	내부/NNG
사정에	사정/NNG+에/JKB
밝은	밝/VA+은/ETM
관계자들에	관계자/NNG+들/XSN+에/JKB
따르면	따르/VV+면/EC
최	최/NNP
씨는	씨/NNB+는/JX
10월	10/SN+월/NNB
31일	31/SN+일/NNB
밤	밤/NNG
긴급	긴급/NNG
체포돼	체포/NNG+되/XSV+어/EC
두	두/MMN
평도	평/NNB+도/JX
채	채/MAG
안	안/MAG
되는	되/VV+는/ETM
독방에	독방/NNG+에/JKB
수감됐지만	수감/NNG+되/XSV+었/EP+지만/EC
갖가지	갖가지/NNG
특혜를	특혜/NNG+를/JKO
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000049.389.4.2
일반 수용자들은 식료품 구입 등에 쓸 수 있는 영치금 한도가 하루 4만 원이지만 최 씨는 제한을 받지 않았다.

일반	일반/NNG
수용자들은	수용자/NNG+들/XSN+은/JX
식료품	식료품/NNG
구입	구입/NNG
등에	등/NNB+에/JKB
쓸	쓰/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
영치금	영치금/NNG
한도가	한도/NNG+가/JKS
하루	하루/NNG
4만	4/SN+만/NR
원이지만	원/NNB+이/VCP+지만/EC
최	최/NNP
씨는	씨/NNB+는/JX
제한을	제한/NNG+을/JKO
받지	받/VV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000049.389.4.3
