# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.101
metadata : {}


# id : NWRW1800000022.101.1.1
"인종·국경·종교 초월해 봉사할래요";충북지역 외국인유학생 자연보호·통역 등 다짐

"인종·국경·종교	"/SS+인종/NNG+·/SP+국경/NNG+·/SP+종교/NNG
초월해	초월/NNG+하/XSV+아/EC
봉사할래요";충북지역	봉사/NNG+하/XSV+ㄹ래요/EF+"/SS+;/SW+충북/NNP+지역/NNG
외국인유학생	외국인/NNG+유학/NNG+생/XSN
자연보호·통역	자연/NNG+보호/NNG+·/SP+통역/NNG
등	등/NNB
다짐	다짐/NNG


# id : NWRW1800000022.101.2.1
충북도내 대학에 재학 중인 외국인 유학생들이 전국에서 처음으로 자원봉사단을 발족하고 본격적인 활동에 나섰다.

충북도내	충북/NNP+도내/NNG
대학에	대학/NNG+에/JKB
재학	재학/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
외국인	외국인/NNG
유학생들이	유학/NNG+생/XSN+들/XSN+이/JKS
전국에서	전국/NNG+에서/JKB
처음으로	처음/NNG+으로/JKB
자원봉사단을	자원봉사단/NNG+을/JKO
발족하고	발족/NNG+하/XSV+고/EC
본격적인	본격/NNG+적/XSN+이/VCP+ㄴ/ETM
활동에	활동/NNG+에/JKB
나섰다.	나서/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.101.3.1
건국대, 극동대, 서원대, 세명대, 주성대, 청주대, 충북대, 충주대, 충청대 등 도내 9개 대학 외국인 유학생 대표 51명은 24일 청주대에서 '외국인 유학생 봉사단' 발대식을 가졌다.

건국대,	건국대/NNP+,/SP
극동대,	극동대/NNP+,/SP
서원대,	서원대/NNP+,/SP
세명대,	세명대/NNP+,/SP
주성대,	주성대/NNP+,/SP
청주대,	청주대/NNP+,/SP
충북대,	충북대/NNP+,/SP
충주대,	충주대/NNP+,/SP
충청대	충청대/NNP
등	등/NNB
도내	도내/NNG
9개	9/SN+개/NNB
대학	대학/NNG
외국인	외국인/NNG
유학생	유학/NNG+생/XSN
대표	대표/NNG
51명은	51/SN+명/NNB+은/JX
24일	24/SN+일/NNB
청주대에서	청주대/NNP+에서/JKB
'외국인	'/SS+외국인/NNG
봉사단'	봉사단/NNG+'/SS
발대식을	발대식/NNG+을/JKO
가졌다.	가지/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.101.3.2
이날 발대식에는 김윤배 청주대 총장과 청주출입국관리사무소 사회통합위원, 청주대에 재학 중인 유학생 300여명이 참석해 봉사단 발족을 축하했다.

이날	이날/NNG
발대식에는	발대식/NNG+에/JKB+는/JX
김윤배	김윤배/NNP
청주대	청주대/NNP
총장과	총장/NNG+과/JC
청주출입국관리사무소	청주출입국관리사무소/NNP
사회통합위원,	사회/NNG+통합/NNG+위원/NNG+,/SP
청주대에	청주대/NNP+에/JKB
재학	재학/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
유학생	유학/NNG+생/XSN
300여명이	300/SN+여/XSN+명/NNB+이/JKS
참석해	참석/NNG+하/XSV+아/EC
봉사단	봉사단/NNG
발족을	발족/NNG+을/JKO
축하했다.	축하/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.101.4.1
봉사단 대표 천후이빈(여·24·청주대 대학원)씨는 "보람 있는 한국 유학생활을 위해 자연과 이웃에 다가가는 적극적인 마음으로 봉사활동을 벌이기로 했다"며 "인종과 국경과 종교를 초월한 사랑의 봉사활동을 통해 서로 하나 되는 계기를 마련하고 더불어 살아가는 세계시민의 일원이 될 것"이라고 다짐했다.

봉사단	봉사단/NNG
대표	대표/NNG
천후이빈(여·24·청주대	천후이빈/NNP+(/SS+여/NNG+·/SP+24/SN+·/SP+청주대/NNP
대학원)씨는	대학원/NNG+)/SS+씨/NNB+는/JX
"보람	"/SS+보람/NNG
있는	있/VV+는/ETM
한국	한국/NNP
유학생활을	유학/NNG+생활/NNG+을/JKO
위해	위하/VV+아/EC
자연과	자연/NNG+과/JC
이웃에	이웃/NNG+에/JKB
다가가는	다가가/VV+는/ETM
적극적인	적극/NNG+적/XSN+이/VCP+ㄴ/ETM
마음으로	마음/NNG+으로/JKB
봉사활동을	봉사/NNG+활동/NNG+을/JKO
벌이기로	벌이/VV+기/ETN+로/JKB
했다"며	하/VV+았/EP+다/EF+"/SS+며/EC
"인종과	"/SS+인종/NNG+과/JC
국경과	국경/NNG+과/JC
종교를	종교/NNG+를/JKO
초월한	초월/NNG+하/XSV+ㄴ/ETM
사랑의	사랑/NNG+의/JKG
통해	통하/VV+아/EC
서로	서로/MAG
하나	하나/NR
되는	되/VV+는/ETM
계기를	계기/NNG+를/JKO
마련하고	마련/NNG+하/XSV+고/EC
더불어	더불/VV+어/EC
살아가는	살아가/VV+는/ETM
세계시민의	세계/NNG+시민/NNG+의/JKG
일원이	일원/NNG+이/JKC
될	되/VV+ㄹ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
다짐했다.	다짐/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.101.5.1
봉사단은 올해 모두 4차례에 걸쳐 봉사활동을 벌일 예정이다.

봉사단은	봉사단/NNG+은/JX
올해	올해/NNG
모두	모두/MAG
4차례에	4/SN+차례/NNG+에/JKB
걸쳐	걸치/VV+어/EC
봉사활동을	봉사/NNG+활동/NNG+을/JKO
벌일	벌이/VV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.101.5.2
4월에 무심천에서 쓰레기줍기 등 자연보호 활동을 펴고, 7월에는 주말을 활용해 홈스테이를 통한 외국어 봉사에 나선다.

4월에	4/SN+월/NNB+에/JKB
무심천에서	무심천/NNP+에서/JKB
쓰레기줍기	쓰레기/NNG+줍/VV+기/ETN
등	등/NNB
자연보호	자연/NNG+보호/NNG
활동을	활동/NNG+을/JKO
펴고,	펴/VV+고/EC+,/SP
7월에는	7/SN+월/NNB+에/JKB+는/JX
주말을	주말/NNG+을/JKO
활용해	활용/NNG+하/XSV+아/EC
홈스테이를	홈스테이/NNG+를/JKO
통한	통하/VV+ㄴ/ETM
외국어	외국어/NNG
봉사에	봉사/NNG+에/JKB
나선다.	나서/VV+ㄴ다/EF+./SF


# id : NWRW1800000022.101.5.3
9월에는 청주 상당산성에서 자연보호 활동을 펴고 11월에 음성 꽃동네를 방문해 독거노인 목욕봉사 활동도 벌인다.

9월에는	9/SN+월/NNB+에/JKB+는/JX
청주	청주/NNP
상당산성에서	상당산성/NNP+에서/JKB
자연보호	자연/NNG+보호/NNG
활동을	활동/NNG+을/JKO
펴고	펴/VV+고/EC
11월에	11/SN+월/NNB+에/JKB
음성	음성/NNP
꽃동네를	꽃동네/NNP+를/JKO
방문해	방문/NNG+하/XSV+아/EC
독거노인	독거노인/NNG
목욕봉사	목욕/NNG+봉사/NNG
활동도	활동/NNG+도/JX
벌인다.	벌이/VV+ㄴ다/EF+./SF


# id : NWRW1800000022.101.5.4
유학생들은 또 결혼이민자 통역 교육 등 다문화가정을 돕기 위한 다양한 활동에 참여할 계획이다.

유학생들은	유학/NNG+생/XSN+들/XSN+은/JX
또	또/MAG
결혼이민자	결혼/NNG+이민자/NNG
통역	통역/NNG
교육	교육/NNG
등	등/NNB
다문화가정을	다문화/NNG+가정/NNG+을/JKO
돕기	돕/VV+기/ETN
위한	위하/VV+ㄴ/ETM
다양한	다양/NNG+하/XSA+ㄴ/ETM
활동에	활동/NNG+에/JKB
참여할	참여/NNG+하/XSV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.101.6.1
청주출입국관리사무소는 도내에 체류 중인 외국인 유학생들에게 봉사활동 기회를 부여하고, 한국생활 적응을 돕기 위해 전국 18개 출입국사무소 가운데 처음으로 봉사단 발족을 지원했다.

청주출입국관리사무소는	청주출입국관리사무소/NNP+는/JX
도내에	도내/NNG+에/JKB
체류	체류/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
외국인	외국인/NNG
유학생들에게	유학/NNG+생/XSN+들/XSN+에게/JKB
봉사활동	봉사/NNG+활동/NNG
기회를	기회/NNG+를/JKO
부여하고,	부여/NNG+하/XSV+고/EC+,/SP
한국생활	한국/NNP+생활/NNG
적응을	적응/NNG+을/JKO
돕기	돕/VV+기/ETN
위해	위하/VV+아/EC
전국	전국/NNG
18개	18/SN+개/NNB
출입국사무소	출입국/NNG+사무소/NNG
가운데	가운데/NNG
처음으로	처음/NNG+으로/JKB
봉사단	봉사단/NNG
발족을	발족/NNG+을/JKO
지원했다.	지원/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.101.6.2
1390명이 재학 중인 청주대 등 9개 대학을 모두 합칠 경우 3300명이 넘는 외국 유학생들이 체류하고 있는 현실을 감안해 사회통합 지원 프로그램의 하나로 봉사단을 구성한 것.

1390명이	1390/SN+명/NNB+이/JKS
재학	재학/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
청주대	청주대/NNP
등	등/NNB
9개	9/SN+개/NNB
대학을	대학/NNG+을/JKO
모두	모두/MAG
합칠	합치/VV+ㄹ/ETM
경우	경우/NNG
3300명이	3300/SN+명/NNB+이/JKS
넘는	넘/VV+는/ETM
외국	외국/NNG
유학생들이	유학/NNG+생/XSN+들/XSN+이/JKS
체류하고	체류/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
현실을	현실/NNG+을/JKO
감안해	감안/NNG+하/XSV+아/EC
사회통합	사회/NNG+통합/NNG
지원	지원/NNG
프로그램의	프로그램/NNG+의/JKG
하나로	하나/NR+로/JKB
봉사단을	봉사단/NNG+을/JKO
구성한	구성/NNG+하/XSV+ㄴ/ETM
것.	것/NNB+./SF


# id : NWRW1800000022.101.7.1
김광효 소장은 "유학생들이 한국을 가장 잘 이해하는 방법은 바로 그 사회 안으로 직접 뛰어들어가는 것"이라고 말했다.

김광효	김광효/NNP
소장은	소장/NNG+은/JX
