# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000056.27
metadata : {}


# id : NWRW1800000056.27.1.1
부당 감액·반품시킨 대형마트에 최고 3배 배상금

부당	부당/NNG
감액·반품시킨	감액/NNG+·/SP+반품/NNG+시키/XSV+ㄴ/ETM
대형마트에	대형/NNG+마트/NNG+에/JKB
최고	최고/NNG
3배	3/SN+배/NNG
배상금	배상금/NNG


# id : NWRW1800000056.27.2.1
[한겨레] 공정위, 유통분야 갑질근절 15개대책 발표

[한겨레]	[/SS+한겨레/NNP+]/SS
공정위,	공정위/NNG+,/SP
유통분야	유통/NNG+분야/NNG
갑질근절	갑/NNG+질/XSN+근절/NNG
15개대책	15/SN+개/NNB+대책/NNG
발표	발표/NNG


# id : NWRW1800000056.27.3.1
납품업체 직원 인건비 분담기준 제시

납품업체	납품업체/NNG
직원	직원/NNG
인건비	인건비/NNG
분담기준	분담/NNG+기준/NNG
제시	제시/NNG


# id : NWRW1800000056.27.4.1
판매장려금·판촉비·인테리어비 공시도

판매장려금·판촉비·인테리어비	판매/NNG+장려금/NNG+·/SP+판촉비/NNG+·/SP+인테리어비/NNG
공시도	공시/NNG+도/JX


# id : NWRW1800000056.27.5.1
납품업체에 재고떠넘기기 관행도 제재

납품업체에	납품업체/NNG+에/JKB
재고떠넘기기	재고/NNG+떠넘기/VV+기/ETN
관행도	관행/NNG+도/JX
제재	제재/NNG


# id : NWRW1800000056.27.6.1
ㄱ대형마트는 보통 20일간 와인 시음행사를 실시하면 50개 납품업체로부터 종업원 100명을 파견받았다.

ㄱ대형마트는	ㄱ/NNG+대형/NNG+마트/NNG+는/JX
보통	보통/MAG
20일간	20/SN+일/NNB+간/XSN
와인	와인/NNG
시음행사를	시음/NNG+행사/NNG+를/JKO
실시하면	실시/NNG+하/XSV+면/EC
50개	50/SN+개/NNB
납품업체로부터	납품업체/NNG+로부터/JKB
종업원	종업원/NNG
100명을	100/SN+명/NNB+을/JKO
파견받았다.	파견/NNG+받/XSV+았/EP+다/EF+./SF


