# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.397
metadata : {}


# id : NWRW1800000054.397.1.1
끝내 군사회담 대답없는 북한… 靑 '미사일 쏠라' 종일 긴장

끝내	끝내/MAG
군사회담	군사/NNG+회담/NNG
대답없는	대답/NNG+없/VA+는/ETM
북한…	북한/NNP+…/SE
靑	靑/SH
'미사일	'/SS+미사일/NNG
쏠라'	쏘/VV+ㄹ라/EF+'/SS
종일	종일/MAG
긴장	긴장/NNG


# id : NWRW1800000054.397.2.1
文대통령 '적대행위 중지' 제안한 7·27 정전협정일까지도 무반응

文대통령	文/SH+대통령/NNG
'적대행위	'/SS+적대/NNG+행위/NNG
중지'	중지/NNG+'/SS
제안한	제안/NNG+하/XSV+ㄴ/ETM
7·27	7/SN+·/SP+27/SN
정전협정일까지도	정전/NNG+협정일/NNG+까지/JX+도/JX
무반응	무/XPN+반응/NNG


# id : NWRW1800000054.397.3.1
우리 정부가 남북 군사당국회담 제안의 '유효 시한'으로 제시했던 27일에도 북한은 아무런 반응을 보이지 않았다.

우리	우리/NP
정부가	정부/NNG+가/JKS
남북	남북/NNP
군사당국회담	군사/NNG+당국/NNG+회담/NNG
제안의	제안/NNG+의/JKG
'유효	'/SS+유효/NNG
시한'으로	시한/NNG+'/SS+으로/JKB
제시했던	제시/NNG+하/XSV+았/EP+던/ETM
27일에도	27/SN+일/NNB+에/JKB+도/JX
북한은	북한/NNP+은/JX
아무런	아무런/MMD
반응을	반응/NNG+을/JKO
보이지	보이/VV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000054.397.3.2
북한은 군사회담은 물론 이산가족 상봉, 평창 동계올림픽 참가 등 문재인 정부의 잇단 '러브콜'에 무응답으로 일관하며 오히려 미사일 도발 움직임을 가속화하고 있다.

북한은	북한/NNP+은/JX
군사회담은	군사/NNG+회담/NNG+은/JX
물론	물론/MAG
이산가족	이산가족/NNG
상봉,	상봉/NNG+,/SP
평창	평창/NNP
동계올림픽	동계/NNG+올림픽/NNG
참가	참가/NNG
등	등/NNB
문재인	문재인/NNP
정부의	정부/NNG+의/JKG
잇단	잇달/VV+ㄴ/ETM
'러브콜'에	'/SS+러브콜/NNG+'/SS+에/JKB
무응답으로	무/XPN+응답/NNG+으로/JKB
일관하며	일관/NNG+하/XSV+며/EC
오히려	오히려/MAG
미사일	미사일/NNG
도발	도발/NNG
움직임을	움직임/NNG+을/JKO
가속화하고	가속/NNG+화/XSN+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000054.397.3.3
남북 관계를 복원하고 대화로 북핵 문제를 해결하겠다는 문 대통령의 '베를린 구상'이 난관에 봉착한 모양새다.

남북	남북/NNP
관계를	관계/NNG+를/JKO
복원하고	복원/NNG+하/XSV+고/EC
대화로	대화/NNG+로/JKB
북핵	북핵/NNG
문제를	문제/NNG+를/JKO
해결하겠다는	해결/NNG+하/XSV+겠/EP+다는/ETM
문	문/NNP
대통령의	대통령/NNG+의/JKG
'베를린	'/SS+베를린/NNP
구상'이	구상/NNG+'/SS+이/JKS
난관에	난관/NNG+에/JKB
봉착한	봉착/NNG+하/XSV+ㄴ/ETM
모양새다.	모양새/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000054.397.3.4
그러나 정부는 이날도 "북한이 대화 제의를 완전히 거절하지는 않았다"고 했다.

그러나	그러나/MAJ
정부는	정부/NNG+는/JX
이날도	이날/NNG+도/JX
"북한이	"/SS+북한/NNP+이/JKS
대화	대화/NNG
제의를	제의/NNG+를/JKO
완전히	완전히/MAG
거절하지는	거절/NNG+하/XSV+지/EC+는/JX
않았다"고	않/VX+았/EP+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.397.3.5
'답이 없을 뿐 거부한 건 아니지 않으냐'는 것이었다.

'답이	'/SS+답/NNG+이/JKS
없을	없/VA+을/ETM
뿐	뿐/NNB
거부한	거부/NNG+하/XSV+ㄴ/ETM
건	거/NNB+ㄴ/JX
아니지	아니/VCN+지/EC
않으냐'는	않/VX+으냐/EF+'/SS+는/ETM
것이었다.	것/NNB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000054.397.4.1
◇통일부 "北, (회담) 거부 안 해"

◇통일부	◇/SW+통일부/NNG
"北,	"/SS+北/SH+,/SP
(회담)	(/SS+회담/NNG+)/SS
거부	거부/NNG
안	안/MAG
해"	하/VV+아/EF+"/SS


# id : NWRW1800000054.397.5.1
문 대통령은 지난 6일 독일 베를린에서 "7월 27일을 기해 군사분계선에서의 적대 행위를 상호 중단하자"고 북에 제안했다.

문	문/NNP
대통령은	대통령/NNG+은/JX
지난	지나/VV+ㄴ/ETM
6일	6/SN+일/NNB
독일	독일/NNP
베를린에서	베를린/NNP+에서/JKB
"7월	"/SS+7/SN+월/NNB
27일을	27/SN+일/NNB+을/JKO
기해	기하/VV+아/EC
군사분계선에서의	군사/NNG+분계선/NNG+에서/JKB+의/JKG
적대	적대/NNG
행위를	행위/NNG+를/JKO
상호	상호/NNG
중단하자"고	중단/NNG+하/XSV+자/EF+"/SS+고/JKQ
북에	북/NNP+에/JKB
제안했다.	제안/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.397.5.2
정부는 이에 따라 지난 17일 ①적대 행위 중단을 위한 군사회담과 ②이산가족 상봉을 위한 적십자회담을 제안했다.

정부는	정부/NNG+는/JX
이에	이/NP+에/JKB
따라	따르/VV+아/EC
지난	지나/VV+ㄴ/ETM
17일	17/SN+일/NNB
①적대	①/SW+적대/NNG
행위	행위/NNG
중단을	중단/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
군사회담과	군사/NNG+회담/NNG+과/JC
②이산가족	②/SW+이산가족/NNG
상봉을	상봉/NNG+을/JKO
적십자회담을	적십자/NNP+회담/NNG+을/JKO
제안했다.	제안/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.397.5.3
