# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.305
metadata : {}


# id : NWRW1800000041.305.1.1
[단독]정부 “규제총량제 法 만들어 어기는 부처 강력 제재”

[단독]정부	[/SS+단독/NNG+]/SS+정부/NNG
“규제총량제	“/SS+규제/NNG+총량/NNG+제/XSN
法	法/SH
만들어	만들/VV+어/EC
어기는	어기/VV+는/ETM
부처	부처/NNG
강력	강력/NNG
제재”	제재/NNG+”/SS


# id : NWRW1800000041.305.2.1
“盧정부때처럼 실패하지 않을 것”

“盧정부때처럼	“/SS+盧/SH+정부/NNG+때/NNG+처럼/JKB
실패하지	실패/NNG+하/XSV+지/EC
않을	않/VX+을/ETM
것”	것/NNB+”/SS


# id : NWRW1800000041.305.3.1
정부는 박근혜 대통령이 신년 기자회견에서 밝힌 ‘규제총량제’의 실효성을 확보하기 위해 관련 법을 고쳐 근거 조항을 만들고 각 부처가 이를 따르지 않을 경우 강력히 제재하기로 했다.

정부는	정부/NNG+는/JX
박근혜	박근혜/NNP
대통령이	대통령/NNG+이/JKS
신년	신년/NNG
기자회견에서	기자/NNG+회견/NNG+에서/JKB
밝힌	밝히/VV+ㄴ/ETM
‘규제총량제’의	‘/SS+규제/NNG+총량/NNG+제/XSN+’/SS+의/JKG
실효성을	실효/NNG+성/XSN+을/JKO
확보하기	확보/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
관련	관련/NNG
법을	법/NNG+을/JKO
고쳐	고치/VV+어/EC
근거	근거/NNG
조항을	조항/NNG+을/JKO
만들고	만들/VV+고/EC
각	각/MMD
부처가	부처/NNG+가/JKS
이를	이/NP+를/JKO
따르지	따르/VV+지/EC
않을	않/VX+을/ETM
경우	경우/NNG
강력히	강력히/MAG
제재하기로	제재/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.305.3.2
이는 10년 전 노무현 정부에서 법에 명문 규정을 만들지 않고 규제총량제를 도입했다가 일선 부처의 비협조와 무성의로 실패한 전철을 밟지 않기 위해서다.

이는	이/NP+는/JX
10년	10/SN+년/NNB
전	전/NNG
노무현	노무현/NNP
정부에서	정부/NNG+에서/JKB
법에	법/NNG+에/JKB
명문	명문/NNG
규정을	규정/NNG+을/JKO
만들지	만들/VV+지/EC
않고	않/VX+고/EC
규제총량제를	규제/NNG+총량/NNG+제/XSN+를/JKO
도입했다가	도입/NNG+하/XSV+았/EP+다가/EC
일선	일선/NNG
부처의	부처/NNG+의/JKG
비협조와	비/XPN+협조/NNG+와/JC
무성의로	무/XPN+성의/NNG+로/JKB
실패한	실패/NNG+하/XSV+ㄴ/ETM
전철을	전철/NNG+을/JKO
밟지	밟/VV+지/EC
않기	않/VX+기/ETN
위해서다.	위하/VV+아서/EC+이/VCP+다/EF+./SF


# id : NWRW1800000041.305.4.1
국무조정실 관계자는 19일 “규제총량제가 실효성을 갖도록 하기 위해 행정규제기본법을 개정하는 방안을 검토 중”이라며 “대통령이 직접 언급한 사안인 만큼 10년 전처럼 흐지부지되지 않고 영구성을 갖기 위해서라도 법 개정이 필요하다는 판단”이라고 설명했다.

국무조정실	국무/NNG+조정실/NNG
관계자는	관계자/NNG+는/JX
19일	19/SN+일/NNB
“규제총량제가	“/SS+규제/NNG+총량/NNG+제/XSN+가/JKS
실효성을	실효/NNG+성/XSN+을/JKO
갖도록	갖/VV+도록/EC
하기	하/VX+기/ETN
위해	위하/VV+아/EC
행정규제기본법을	행정/NNG+규제/NNG+기본법/NNG+을/JKO
개정하는	개정/NNG+하/XSV+는/ETM
방안을	방안/NNG+을/JKO
검토	검토/NNG
중”이라며	중/NNB+”/SS+이/VCP+라며/EC
“대통령이	“/SS+대통령/NNG+이/JKS
직접	직접/MAG
언급한	언급/NNG+하/XSV+ㄴ/ETM
사안인	사안/NNG+이/VCP+ㄴ/ETM
만큼	만큼/NNB
10년	10/SN+년/NNB
전처럼	전/NNG+처럼/JKB
흐지부지되지	흐지부지/MAG+되/XSV+지/EC
않고	않/VX+고/EC
영구성을	영구/NNG+성/XSN+을/JKO
갖기	갖/VV+기/ETN
위해서라도	위하/VV+아서/EC+라도/JX
법	법/NNG
개정이	개정/NNG+이/JKS
필요하다는	필요/NNG+하/XSA+다는/ETM
판단”이라고	판단/NNG+”/SS+이라고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.305.5.1
개정안에는 각 부처가 일정 시점을 기준으로 규제총량을 정하고 이를 지키도록 강제하는 내용이 들어갈 것으로 알려졌다.

개정안에는	개정안/NNG+에/JKB+는/JX
각	각/MMD
부처가	부처/NNG+가/JKS
일정	일정/NNG
시점을	시점/NNG+을/JKO
기준으로	기준/NNG+으로/JKB
규제총량을	규제/NNG+총량/NNG+을/JKO
정하고	정하/VV+고/EC
이를	이/NP+를/JKO
지키도록	지키/VV+도록/EC
강제하는	강제/NNG+하/XSV+는/ETM
내용이	내용/NNG+이/JKS
들어갈	들어가/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.305.5.2
국무조정실 관계자는 “법적 근거가 생겼는데도 일선 부처가 이를 따르지 않으면 당연히 제재가 가해질 것”이라며 강도 높은 시행 방침을 밝혔다.

국무조정실	국무/NNG+조정실/NNG
관계자는	관계자/NNG+는/JX
“법적	“/SS+법/NNG+적/XSN
근거가	근거/NNG+가/JKS
생겼는데도	생기/VV+었/EP+는데/EC+도/JX
일선	일선/NNG
부처가	부처/NNG+가/JKS
이를	이/NP+를/JKO
따르지	따르/VV+지/EC
않으면	않/VX+으면/EC
당연히	당연히/MAG
제재가	제재/NNG+가/JKS
가해질	가하/VV+아/EC+지/VX+ㄹ/ETM
것”이라며	것/NNB+”/SS+이/VCP+라며/EC
강도	강도/NNG
높은	높/VA+은/ETM
시행	시행/NNG
방침을	방침/NNG+을/JKO
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.305.6.1
노무현 정부는 2003년 말 국무조정실 지침으로 규제총량제를 도입했다.

노무현	노무현/NNP
정부는	정부/NNG+는/JX
2003년	2003/SN+년/NNB
말	말/NNB
국무조정실	국무/NNG+조정실/NNG
지침으로	지침/NNG+으로/JKB
규제총량제를	규제/NNG+총량/NNG+제/XSN+를/JKO
도입했다.	도입/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.305.6.2
하지만 일선 부처에서 ‘법적인 근거도 없는데 왜 따라야 하느냐’며 비협조적인 태도를 보이는 바람에 부처별 규제총량도 정하지 못하고 2년 만에 백지화됐다.

하지만	하지만/MAJ
일선	일선/NNG
부처에서	부처/NNG+에서/JKB
‘법적인	‘/SS+법/NNG+적/XSN+이/VCP+ㄴ/ETM
근거도	근거/NNG+도/JX
없는데	없/VA+는데/EC
왜	왜/MAG
따라야	따르/VV+아야/EC
하느냐’며	하/VX+느냐/EF+’/SS+며/EC
비협조적인	비/XPN+협조/NNG+적/XSN+이/VCP+ㄴ/ETM
태도를	태도/NNG+를/JKO
보이는	보이/VV+는/ETM
바람에	바람/NNB+에/JKB
부처별	부처/NNG+별/XSN
규제총량도	규제/NNG+총량/NNG+도/JX
정하지	정하/VV+지/EC
못하고	못하/VX+고/EC
2년	2/SN+년/NNB
만에	만/NNB+에/JKB
백지화됐다.	백지/NNG+화/XSN+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000041.305.7.1
전문가들은 규제총량제가 성공하려면 당시의 실패를 들여다보고 교훈을 얻어야 한다고 지적한다.

전문가들은	전문가/NNG+들/XSN+은/JX
규제총량제가	규제/NNG+총량/NNG+제/XSN+가/JKS
성공하려면	성공/NNG+하/XSV+려면/EC
당시의	당시/NNG+의/JKG
실패를	실패/NNG+를/JKO
들여다보고	들여다보/VV+고/EC
교훈을	교훈/NNG+을/JKO
얻어야	얻/VV+어야/EC
한다고	하/VX+ㄴ다고/EC
지적한다.	지적/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000041.305.7.2
극소수의 사례를 제외하면 세계적으로 찾아보기 힘든 제도인 데다 무엇을 기준으로 규제총량을 정할지, 의원입법도 규제에 포함시킬지 등 난제가 많기 때문이다.

극소수의	극소수/NNG+의/JKG
사례를	사례/NNG+를/JKO
제외하면	제외/NNG+하/XSV+면/EC
세계적으로	세계/NNG+적/XSN+으로/JKB
찾아보기	찾아보/VV+기/ETN
힘든	힘들/VA+ㄴ/ETM
제도인	제도/NNG+이/VCP+ㄴ/ETM
데다	데/NNB+다/JX
무엇을	무엇/NP+을/JKO
기준으로	기준/NNG+으로/JKB
규제총량을	규제/NNG+총량/NNG+을/JKO
정할지,	정하/VV+ㄹ지/EF+,/SP
의원입법도	의원/NNG+입법/NNG+도/JX
규제에	규제/NNG+에/JKB
포함시킬지	포함/NNG+시키/XSV+ㄹ지/EF
등	등/NNB
난제가	난제/NNG+가/JKS
많기	많/VA+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000041.305.8.1
최병선 전 규제개혁위원장은 “재난이나 사고가 발생하면 언론에서 규제 미비를 지적하고, 정치권이 이에 따라 움직이기 마련”이라며 “어떤 경우에도 지켜야 한다는 각오가 있어야 규제총량제를 제대로 시행할 수 있다”고 지적했다.

최병선	최병선/NNP
전	전/MMD
규제개혁위원장은	규제/NNG+개혁/NNG+위원장/NNG+은/JX
“재난이나	“/SS+재난/NNG+이나/JC
사고가	사고/NNG+가/JKS
발생하면	발생/NNG+하/XSV+면/EC
언론에서	언론/NNG+에서/JKB
규제	규제/NNG
미비를	미비/NNG+를/JKO
지적하고,	지적/NNG+하/XSV+고/EC+,/SP
정치권이	정치/NNG+권/XSN+이/JKS
이에	이/NP+에/JKB
따라	따르/VV+아/EC
움직이기	움직이/VV+기/ETN
마련”이라며	마련/NNB+”/SS+이/VCP+라며/EC
“어떤	“/SS+어떤/MMD
경우에도	경우/NNG+에/JKB+도/JX
지켜야	지키/VV+어야/EC
한다는	하/VX+ㄴ다는/ETM
각오가	각오/NNG+가/JKS
있어야	있/VA+어야/EC
규제총량제를	규제/NNG+총량/NNG+제/XSN+를/JKO
제대로	제대로/MAG
시행할	시행/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다”고	있/VA+다/EF+”/SS+고/JKQ
지적했다.	지적/NNG+하/XSV+았/EP+다/EF+./SF


