# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000025.201
metadata : {}


# id : NWRW1800000025.201.1.1
[오르락 내리락]2차전지 15조투자 호재… LG화학-삼성SDI 초강세

[오르락	[/SS+오르/VV+락/EC
내리락]2차전지	내리/VV+락/EC+]/SS+2/SN+차/NNB+전지/NNG
15조투자	15/SN+조/NR+투자/NNG
호재…	호재/NNG+…/SE
LG화학-삼성SDI	LG화학/NNP+-/SO+삼성SDI/NNP
초강세	초/XPN+강세/NNG


# id : NWRW1800000025.201.2.1
정부가 2차전지산업을 육성하기 위해 10년간 민관합동으로 총 15조 원을 투자하기로 한 계획을 11일 발표하면서 관련주 주가가 일제히 상승했다.

정부가	정부/NNG+가/JKS
2차전지산업을	2/SN+차/NNB+전지/NNG+산업/NNG+을/JKO
육성하기	육성/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
10년간	10/SN+년/NNB+간/XSN
민관합동으로	민관/NNG+합동/NNG+으로/JKB
총	총/MMA
15조	15/SN+조/NR
원을	원/NNB+을/JKO
투자하기로	투자/NNG+하/XSV+기/ETN+로/JKB
한	하/VV+ㄴ/ETM
계획을	계획/NNG+을/JKO
11일	11/SN+일/NNB
발표하면서	발표/NNG+하/XSV+면서/EC
관련주	관련주/NNG
주가가	주가/NNG+가/JKS
일제히	일제히/MAG
상승했다.	상승/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.201.2.2
LG화학 자회사인 콤팩트파워(CPI)의 전기자동차용 2차전지 공장 기공식에 버락 오바마 미국 대통령이 참석할 것이란 소식 역시 관련주에 호재로 작용했다.

LG화학	LG화학/NNP
자회사인	자회사/NNG+이/VCP+ㄴ/ETM
콤팩트파워(CPI)의	콤팩트파워/NNP+(/SS+CPI/SL+)/SS+의/JKG
전기자동차용	전기/NNG+자동차/NNG+용/XSN
2차전지	2/SN+차/NNB+전지/NNG
공장	공장/NNG
기공식에	기공식/NNG+에/JKB
버락	버락/NNP
오바마	오바마/NNP
미국	미국/NNP
대통령이	대통령/NNG+이/JKS
참석할	참석/NNG+하/XSV+ㄹ/ETM
것이란	것/NNB+이/VCP+란/ETM
소식	소식/NNG
역시	역시/MAG
관련주에	관련주/NNG+에/JKB
호재로	호재/NNG+로/JKB
작용했다.	작용/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.201.3.1
