# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.387
metadata : {}


# id : NWRW1800000030.387.1.1
[수도권I] 道·市·學이 협력해 제대로 지은 장애인학교

[수도권I]	[/SS+수도/NNG+권/XSN+I/SL+]/SS
道·市·學이	道/SH+·/SP+市/SH+·/SP+學/SH+이/JKS
협력해	협력/NNG+하/XSV+아/EC
제대로	제대로/MAG
지은	짓/VV+은/ETM
장애인학교	장애인/NNG+학교/NNG


# id : NWRW1800000030.387.2.1
•용인강남학교 26일 개교

•용인강남학교	•/SW+용인강남학교/NNP
26일	26/SN+일/NNB
개교	개교/NNG


# id : NWRW1800000030.387.3.1
경기도와 용인시, 강남대가 협력해 용인시에 설립한 장애인 특수학교 '용인강남학교'가 26일 정식 개교한다.

경기도와	경기도/NNP+와/JC
용인시,	용인시/NNP+,/SP
강남대가	강남대/NNP+가/JKS
협력해	협력/NNG+하/XSV+아/EC
용인시에	용인시/NNP+에/JKB
설립한	설립/NNG+하/XSV+ㄴ/ETM
장애인	장애인/NNG
특수학교	특수/NNG+학교/NNG
'용인강남학교'가	'/SS+용인강남학교/NNP+'/SS+가/JKS
26일	26/SN+일/NNB
정식	정식/NNG
개교한다.	개교/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000030.387.3.2
이에 따라 그동안 인근 성남과 수원 등 다른 지역으로 통학했던 용인지역 장애 학생들의 불편이 해소될 것으로 보인다.

이에	이/NP+에/JKB
따라	따르/VV+아/EC
그동안	그동안/NNG
인근	인근/NNG
성남과	성남/NNP+과/JC
수원	수원/NNP
등	등/NNB
다른	다른/MMD
지역으로	지역/NNG+으로/JKB
통학했던	통학/NNG+하/XSV+았/EP+던/ETM
용인지역	용인/NNP+지역/NNG
장애	장애/NNG
학생들의	학생/NNG+들/XSN+의/JKG
불편이	불편/NNG+이/JKS
해소될	해소/NNG+되/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000030.387.4.1
용인시는 25일 "용인시 기흥구 상하동 강남대학교 캠퍼스 내 1만1240㎡ 부지에 연면적 1만4775㎡, 지하 2층 지상 9층 규모로 용인강남학교가 건립됐다"고 밝혔다.

용인시는	용인시/NNP+는/JX
25일	25/SN+일/NNB
"용인시	"/SS+용인시/NNP
기흥구	기흥구/NNP
상하동	상하동/NNP
강남대학교	강남대학교/NNP
캠퍼스	캠퍼스/NNG
내	내/NNB
1만1240㎡	1/SN+만/NR+1240/SN+㎡/SW
부지에	부지/NNG+에/JKB
연면적	연면적/NNG
1만4775㎡,	1/SN+만/NR+4775/SN+㎡/SW+,/SP
지하	지하/NNG
2층	2/SN+층/NNG
지상	지상/NNG
9층	9/SN+층/NNG
규모로	규모/NNG+로/JKB
용인강남학교가	용인강남학교/NNP+가/JKS
건립됐다"고	건립/NNG+되/XSV+었/EP+다/EF+"/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.387.4.2
시에 따르면 건립비는 경기도가 75억원, 용인시가 110억원, 강남대가 10억원 분담했으며, 부지는 강남대가 제공했다.

시에	시/NNG+에/JKB
따르면	따르/VV+면/EC
건립비는	건립비/NNG+는/JX
경기도가	경기도/NNP+가/JKS
75억원,	75/SN+억/NR+원/NNB+,/SP
용인시가	용인시/NNP+가/JKS
110억원,	110/SN+억/NR+원/NNB+,/SP
강남대가	강남대/NNP+가/JKS
10억원	10/SN+억/NR+원/NNB
분담했으며,	분담/NNG+하/XSV+았/EP+으며/EC+,/SP
부지는	부지/NNG+는/JX
제공했다.	제공/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.387.4.3
학교 운영비와 인건비는 도교육청이 전액 지원하기로 했다.

학교	학교/NNG
운영비와	운영비/NNG+와/JC
인건비는	인건비/NNG+는/JX
도교육청이	도/NNG+교육청/NNG+이/JKS
전액	전액/NNG
지원하기로	지원/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.387.5.1
용인강남학교는 유치원 1개 반과 초등부 12개 반, 중학부 6개 반, 고등부 6개 반 등 모두 25학급 154명으로 인가를 받았으며 개교식에 앞서 이미 지난달 2일부터 24학급 140명의 학생이 입학해 수업을 하고 있다.

용인강남학교는	용인강남학교/NNP+는/JX
유치원	유치원/NNG
1개	1/SN+개/NNB
반과	반/NNG+과/JC
초등부	초등부/NNG
12개	12/SN+개/NNB
반,	반/NNG+,/SP
중학부	중학부/NNG
6개	6/SN+개/NNB
고등부	고등부/NNG
반	반/NNG
등	등/NNB
모두	모두/MAG
25학급	25/SN+학급/NNG
154명으로	154/SN+명/NNB+으로/JKB
인가를	인가/NNG+를/JKO
받았으며	받/VV+았/EP+으며/EC
개교식에	개교식/NNG+에/JKB
앞서	앞서/VV+어/EC
이미	이미/MAG
지난달	지난달/NNG
2일부터	2/SN+일/NNB+부터/JX
24학급	24/SN+학급/NNG
140명의	140/SN+명/NNB+의/JKG
학생이	학생/NNG+이/JKS
입학해	입학/NNG+하/XSV+아/EC
수업을	수업/NNG+을/JKO
하고	하/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000030.387.6.1
학교는 턱이 없는 출입문을 설치하고 복도에 자연채광이 되도록 설계하는 등 장애 학생들의 편의를 최대한 고려해 지어졌다.

학교는	학교/NNG+는/JX
턱이	턱/NNG+이/JKS
없는	없/VA+는/ETM
출입문을	출입문/NNG+을/JKO
설치하고	설치/NNG+하/XSV+고/EC
복도에	복도/NNG+에/JKB
자연채광이	자연/NNG+채광/NNG+이/JKC
되도록	되/VV+도록/EC
설계하는	설계/NNG+하/XSV+는/ETM
등	등/NNB
장애	장애/NNG
학생들의	학생/NNG+들/XSN+의/JKG
편의를	편의/NNG+를/JKO
최대한	최대한/MAG
고려해	고려/NNG+하/XSV+아/EC
지어졌다.	짓/VV+어/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000030.387.6.2
사각형의 폐쇄 공간을 싫어하는 정신지체아의 특성을 고려해 모든 교실을 벌집형·원형·하트형·육각형 등의 구조로 만들었다.

사각형의	사각/NNG+형/XSN+의/JKG
폐쇄	폐쇄/NNG
공간을	공간/NNG+을/JKO
싫어하는	싫어하/VV+는/ETM
정신지체아의	정신/NNG+지체아/NNG+의/JKG
특성을	특성/NNG+을/JKO
고려해	고려/NNG+하/XSV+아/EC
모든	모든/MMN
교실을	교실/NNG+을/JKO
벌집형·원형·하트형·육각형	벌집/NNG+형/XSN+·/SP+원형/NNG+·/SP+하트/NNG+형/XSN+·/SP+육각/NNG+형/XSN
등의	등/NNB+의/JKG
구조로	구조/NNG+로/JKB
만들었다.	만들/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.387.7.1
당초 경기도와 용인시, 강남대는 지난 2005년 7월 장애인 특수학교 설립을 위한 협약을 체결하면서 2007년 3월 개교를 목표로 했으나, 그동안 예산 확보와 부지 선정과정 등의 어려움을 겪으며 개교가 4년여쯤 늦어졌다.

당초	당초/NNG
경기도와	경기도/NNP+와/JC
용인시,	용인시/NNP+,/SP
강남대는	강남대/NNP+는/JX
지난	지나/VV+ㄴ/ETM
2005년	2005/SN+년/NNB
7월	7/SN+월/NNB
장애인	장애인/NNG
특수학교	특수/NNG+학교/NNG
설립을	설립/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
협약을	협약/NNG+을/JKO
체결하면서	체결/NNG+하/XSV+면서/EC
2007년	2007/SN+년/NNB
3월	3/SN+월/NNB
개교를	개교/NNG+를/JKO
목표로	목표/NNG+로/JKB
했으나,	하/VV+았/EP+으나/EC+,/SP
그동안	그동안/NNG
예산	예산/NNG
확보와	확보/NNG+와/JC
부지	부지/NNG
선정과정	선정/NNG+과정/NNG
등의	등/NNB+의/JKG
어려움을	어려움/NNG+을/JKO
겪으며	겪/VV+으며/EC
개교가	개교/NNG+가/JKS
4년여쯤	4/SN+년/NNB+여/XSN+쯤/XSN
늦어졌다.	늦어지/VV+었/EP+다/EF+./SF


