# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000021.42
metadata : {}


# id : NWRW1800000021.42.1.1
발언권 커진 펀드들, 주총선 ‘찬성’ 거수기

발언권	발언/NNG+권/XSN
커진	커지/VV+ㄴ/ETM
펀드들,	펀드/NNG+들/XSN+,/SP
주총선	주총/NNG+서/JKB+ㄴ/JX
‘찬성’	‘/SS+찬성/NNG+’/SS
거수기	거수기/NNG


# id : NWRW1800000021.42.2.1
국내 펀드들이 상장기업의 주주총회에서는 여전히 ‘거수기’ 노릇만 하는 것으로 나타났다.

국내	국내/NNG
펀드들이	펀드/NNG+들/XSN+이/JKS
상장기업의	상장/NNG+기업/NNG+의/JKG
주주총회에서는	주주/NNG+총회/NNG+에서/JKB+는/JX
여전히	여전히/MAG
‘거수기’	‘/SS+거수기/NNG+’/SS
노릇만	노릇/NNG+만/JX
하는	하/VV+는/ETM
것으로	것/NNB+으로/JKB
나타났다.	나타나/VV+았/EP+다/EF+./SF


# id : NWRW1800000021.42.3.1
8일 금융감독원과 증권업계에 따르면 국내 펀드의 주식자산 보유총액(시가총액 기준)은 2004년 15조5550억 원(3.5%)에서 2007년에는 147조5080억 원(14.0%)까지 증가했다.

8일	8/SN+일/NNB
금융감독원과	금융/NNG+감독원/NNG+과/JC
증권업계에	증권업/NNG+계/XSN+에/JKB
따르면	따르/VV+면/EC
국내	국내/NNG
펀드의	펀드/NNG+의/JKG
주식자산	주식/NNG+자산/NNG
보유총액(시가총액	보유/NNG+총액/NNG+(/SS+시가/NNG+총액/NNG
기준)은	기준/NNG+)/SS+은/JX
2004년	2004/SN+년/NNB
15조5550억	15/SN+조/NR+5550/SN+억/NR
원(3.5%)에서	원/NNB+(/SS+3/SN+./SP+5/SN+%/SW+)/SS+에서/JKB
2007년에는	2007/SN+년/NNB+에/JKB+는/JX
147조5080억	147/SN+조/NR+5080/SN+억/NR
원(14.0%)까지	원/NNB+(/SS+14/SN+./SP+0/SN+%/SW+)/SS+까지/JX
증가했다.	증가/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.42.3.2
지난해 6월에는 136조4430억 원(14.6%)에 이르러 해당 기업에 대한 발언권은 그만큼 커졌다.

지난해	지난해/NNG
6월에는	6/SN+월/NNB+에/JKB+는/JX
136조4430억	136/SN+조/NR+4430/SN+억/NR
원(14.6%)에	원/NNB+(/SS+14/SN+./SP+6/SN+%/SW+)/SS+에/JKB
이르러	이르/VV+어/EC
해당	해당/NNG
기업에	기업/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
발언권은	발언/NNG+권/XSN+은/JX
그만큼	그만큼/MAG
커졌다.	커지/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.42.4.1
그러나 이 기간에 펀드를 운용하는 자산운용사들은 주주총회에서 평균 96.5%의 찬성과 1.0%의 반대 의견을 나타냈다.

그러나	그러나/MAJ
이	이/MMD
기간에	기간/NNG+에/JKB
펀드를	펀드/NNG+를/JKO
운용하는	운용/NNG+하/XSV+는/ETM
자산운용사들은	자산/NNG+운용사/NNG+들/XSN+은/JX
주주총회에서	주주/NNG+총회/NNG+에서/JKB
평균	평균/NNG
96.5%의	96/SN+./SP+5/SN+%/SW+의/JKG
찬성과	찬성/NNG+과/JC
1.0%의	1/SN+./SP+0/SN+%/SW+의/JKG
반대	반대/NNG
의견을	의견/NNG+을/JKO
나타냈다.	나타내/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.42.4.2
의결권 미행사율이 평균 1.2%에 불과한 점을 감안하면 펀드가 의결권을 대부분 행사했지만 일방적으로 찬성표만 던진 것으로 분석된다.

의결권	의결/NNG+권/XSN
미행사율이	미/XPN+행사/NNG+율/XSN+이/JKS
평균	평균/NNG
1.2%에	1/SN+./SP+2/SN+%/SW+에/JKB
불과한	불과/MAG+하/XSA+ㄴ/ETM
점을	점/NNG+을/JKO
감안하면	감안/NNG+하/XSV+면/EC
펀드가	펀드/NNG+가/JKS
의결권을	의결/NNG+권/XSN+을/JKO
대부분	대/XPN+부분/NNG
행사했지만	행사/NNG+하/XSV+았/EP+지만/EC
일방적으로	일방/NNG+적/XSN+으로/JKB
찬성표만	찬성표/NNG+만/JX
던진	던지/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
분석된다.	분석/NNG+되/XSV+ㄴ다/EF+./SF


