# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000044.214
metadata : {}


# id : NWRW1800000044.214.1.1
서울시, 사육포기 동물 인수·보호 추진

서울시,	서울시/NNP+,/SP
사육포기	사육/NNG+포기/NNG
동물	동물/NNG
인수·보호	인수/NNG+·/SP+보호/NNG
추진	추진/NNG


# id : NWRW1800000044.214.2.1
[한겨레] 2020년까지 유기동물 절반 줄이고

[한겨레]	[/SS+한겨레/NNP+]/SS
2020년까지	2020/SN+년/NNB+까지/JX
유기동물	유기/NNG+동물/NNG
절반	절반/NNG
줄이고	줄이/VV+고/EC


# id : NWRW1800000044.214.3.1
입양·주인 반환 95%까지 높이기로

입양·주인	입양/NNG+·/SP+주인/NNG
반환	반환/NNG
95%까지	95/SN+%/SW+까지/JX
높이기로	높이/VV+기/ETN+로/JKB


# id : NWRW1800000044.214.4.1
서울시가 지방자치단체 가운데 처음으로 반려동물 등 동물을 위한 법적·제도적 복지정책을 마련했다.

서울시가	서울시/NNP+가/JKS
지방자치단체	지방/NNG+자치/NNG+단체/NNG
가운데	가운데/NNG
처음으로	처음/NNG+으로/JKB
반려동물	반려동물/NNG
등	등/NNB
동물을	동물/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
법적·제도적	법/NNG+적/XSN+·/SP+제도/NNG+적/XSN
복지정책을	복지/NNG+정책/NNG+을/JKO
마련했다.	마련/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.214.5.1
서울시는 유기동물·길고양이·사육동물·반려동물 등을 대상으로 하는 19개 핵심 사업을 담은 ‘동물복지계획 2020’을 수립해 11일 발표했다.

서울시는	서울시/NNP+는/JX
유기동물·길고양이·사육동물·반려동물	유기/NNG+동물/NNG+·/SP+길고양이/NNG+·/SP+사육/NNG+동물/NNG+·/SP+반려동물/NNG
등을	등/NNB+을/JKO
대상으로	대상/NNG+으로/JKB
하는	하/VV+는/ETM
19개	19/SN+개/NNB
핵심	핵심/NNG
사업을	사업/NNG+을/JKO
담은	담/VV+은/ETM
‘동물복지계획	‘/SS+동물/NNG+복지/NNG+계획/NNG
2020’을	2020/SN+’/SS+을/JKO
수립해	수립/NNG+하/XSV+아/EC
11일	11/SN+일/NNB
발표했다.	발표/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.214.5.2
시는 이를 바탕으로 2020년까지 유기동물을 절반으로 줄이고, 입양률과 주인 반환율은 95%까지 높이겠다고 밝혔다.

시는	시/NNG+는/JX
이를	이/NP+를/JKO
바탕으로	바탕/NNG+으로/JKB
2020년까지	2020/SN+년/NNB+까지/JX
유기동물을	유기/NNG+동물/NNG+을/JKO
절반으로	절반/NNG+으로/JKB
줄이고,	줄이/VV+고/EC+,/SP
입양률과	입양/NNG+률/XSN+과/JC
주인	주인/NNG
반환율은	반환/NNG+율/XSN+은/JX
95%까지	95/SN+%/SW+까지/JX
높이겠다고	높이/VV+겠/EP+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.214.6.1
계획을 보면, 우선 유기동물 대책으로 반려고양이를 동물등록제 대상으로 확대하는 방안이 추진된다.

계획을	계획/NNG+을/JKO
보면,	보/VV+면/EC+,/SP
우선	우선/MAG
유기동물	유기/NNG+동물/NNG
대책으로	대책/NNG+으로/JKB
반려고양이를	반려/NNG+고양이/NNG+를/JKO
동물등록제	동물/NNG+등록/NNG+제/XSN
대상으로	대상/NNG+으로/JKB
확대하는	확대/NNG+하/XSV+는/ETM
방안이	방안/NNG+이/JKS
추진된다.	추진/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000044.214.6.2
1만1000여 마리에 달하는 유기동물 중 46%만이 주인에게 돌아가거나 새 주인을 만나고, 나머지는 안락사 되는 실정이다.

1만1000여	1/SN+만/NR+1000/SN+여/XSN
마리에	마리/NNB+에/JKB
달하는	달하/VV+는/ETM
유기동물	유기/NNG+동물/NNG
중	중/NNB
46%만이	46/SN+%/SW+만/JX+이/JKS
주인에게	주인/NNG+에게/JKB
돌아가거나	돌아가/VV+거나/EC
새	새/MMA
주인을	주인/NNG+을/JKO
만나고,	만나/VV+고/EC+,/SP
나머지는	나머지/NNG+는/JX
안락사	안락사/NNG
되는	되/VV+는/ETM
실정이다.	실정/NNG+이/VCP+다/EF+./SF


