# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.402
metadata : {}


# id : NWRW1800000029.402.1.1
[김정일 사망]김정일은 선군정치, 김정은은 과학정치?

[김정일	[/SS+김정일/NNP
사망]김정일은	사망/NNG+]/SS+김정일/NNP+은/JX
선군정치,	선군/NNG+정치/NNG+,/SP
김정은은	김정은/NNP+은/JX
과학정치?	과학/NNG+정치/NNG+?/SF


# id : NWRW1800000029.402.2.1
선군 벗어난 통치이념 필요… ‘CNC’ 치적으로 집중 홍보첨단화-세계화도 내세울 듯

선군	선군/NNG
벗어난	벗어나/VV+ㄴ/ETM
통치이념	통치/NNG+이념/NNG
필요…	필요/NNG+…/SE
‘CNC’	‘/SS+CNC/SL+’/SS
치적으로	치적/NNG+으로/JKB
집중	집중/NNG
홍보첨단화-세계화도	홍보/NNG+첨단/NNG+화/XSN+-/SO+세계/NNG+화/XSN+도/JX
내세울	내세우/VV+ㄹ/ETM
듯	듯/NNB


# id : NWRW1800000029.402.3.1
‘김정일 시대’의 통치 이념은 이른바 선군(先軍)정치였다.

‘김정일	‘/SS+김정일/NNP
시대’의	시대/NNG+’/SS+의/JKG
통치	통치/NNG
이념은	이념/NNG+은/JX
이른바	이른바/MAG
선군(先軍)정치였다.	선군/NNG+(/SS+先軍/SH+)/SS+정치/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000029.402.3.2
1994년 김일성 주석의 사망으로 인한 충격과 경제난을 군을 앞세워 극복하겠다며 김정일 국방위원장이 들고 나온 슬로건이다.

1994년	1994/SN+년/NNB
김일성	김일성/NNP
주석의	주석/NNG+의/JKG
사망으로	사망/NNG+으로/JKB
인한	인/NNG+하/XSV+ㄴ/ETM
충격과	충격/NNG+과/JC
경제난을	경제난/NNG+을/JKO
군을	군/NNG+을/JKO
앞세워	앞세우/VV+어/EC
극복하겠다며	극복/NNG+하/XSV+겠/EP+다며/EC
김정일	김정일/NNP
국방위원장이	국방/NNG+위원장/NNG+이/JKS
들고	들/VV+고/EC
나온	나오/VV+ㄴ/ETM
슬로건이다.	슬로건/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000029.402.4.1
전문가들은 김 위원장의 사망으로 북한을 책임지게 된 아들 김정은도 권력 기반을 강화하기 위해 새로운 통치 이념을 내세울 것으로 전망한다.

전문가들은	전문가/NNG+들/XSN+은/JX
김	김/NNP
위원장의	위원장/NNG+의/JKG
사망으로	사망/NNG+으로/JKB
북한을	북한/NNP+을/JKO
책임지게	책임지/VV+게/EC
된	되/VV+ㄴ/ETM
아들	아들/NNG
김정은도	김정은/NNP+도/JX
권력	권력/NNG
기반을	기반/NNG+을/JKO
강화하기	강화/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
새로운	새롭/VA+ㄴ/ETM
통치	통치/NNG
이념을	이념/NNG+을/JKO
내세울	내세우/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
전망한다.	전망/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000029.402.5.1
백승주 한국국방연구원 안보전략연구센터장은 20일 “북한이 김정은의 치적으로 내세운 CNC(컴퓨터제어기술)를 중심으로 첨단화, 과학화, 세계화를 슬로건으로 내세우며 리더십 변화를 시도할 것”이라고 전망했다.

백승주	백승주/NNP
한국국방연구원	한국국방연구원/NNP
안보전략연구센터장은	안보/NNG+전략/NNG+연구/NNG+센터장/NNG+은/JX
20일	20/SN+일/NNB
“북한이	“/SS+북한/NNP+이/JKS
김정은의	김정은/NNP+의/JKG
치적으로	치적/NNG+으로/JKB
내세운	내세우/VV+ㄴ/ETM
CNC(컴퓨터제어기술)를	CNC/SL+(/SS+컴퓨터/NNG+제어/NNG+기술/NNG+)/SS+를/JKO
중심으로	중심/NNG+으로/JKB
첨단화,	첨단/NNG+화/XSN+,/SP
과학화,	과학/NNG+화/XSN+,/SP
세계화를	세계/NNG+화/XSN+를/JKO
슬로건으로	슬로건/NNG+으로/JKB
내세우며	내세우/VV+며/EC
리더십	리더십/NNG
변화를	변화/NNG+를/JKO
시도할	시도/NNG+하/XSV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
전망했다.	전망/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.402.6.1
북한 노동당 기관지 노동신문이 올해 1월 7일 김정은의 생일을 하루 앞두고 CNC를 선전하는 장문의 글을 싣는 등 북한에서 CNC는 김정은의 상징물로 알려져 있다.

북한	북한/NNP
노동당	노동당/NNP
기관지	기관지/NNG
노동신문이	노동신문/NNP+이/JKS
올해	올해/NNG
