# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.357
metadata : {}


# id : NWRW1800000026.357.1.1
샌프란시스코 WS제패 1승 남겨

샌프란시스코	샌프란시스코/NNP
WS제패	WS/SL+제패/NNG
1승	1/SN+승/NNB
남겨	남기/VV+어/EF


# id : NWRW1800000026.357.2.1
SF 자이언츠가 텍사스 레인저스를 4대0으로 완파하고 3승1패를 기록, 미국 프로야구 월드시리즈 우승에 1승만을 남겨 두게 됐다.

SF	SF/SL
자이언츠가	자이언츠/NNP+가/JKS
텍사스	텍사스/NNP
레인저스를	레인저스/NNP+를/JKO
4대0으로	4/SN+대/NNB+0/SN+으로/JKB
완파하고	완파/NNG+하/XSV+고/EC
3승1패를	3/SN+승/NNB+1/SN+패/NNB+를/JKO
기록,	기록/NNG+,/SP
미국	미국/NNP
프로야구	프로/NNG+야구/NNG
월드시리즈	월드시리즈/NNG
우승에	우승/NNG+에/JKB
1승만을	1/SN+승/NNB+만/JX+을/JKO
남겨	남기/VV+어/EC
두게	두/VV+게/EC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.357.2.2
1958년 연고지를 샌프란시스코로 옮긴 자이언츠는 그간 세 차례 월드시리즈에서 쓴잔을 마셨다.

1958년	1958/SN+년/NNB
연고지를	연고지/NNG+를/JKO
샌프란시스코로	샌프란시스코/NNP+로/JKB
옮긴	옮기/VV+ㄴ/ETM
자이언츠는	자이언츠/NNP+는/JX
그간	그/NP+간/XSN
세	세/MMN
차례	차례/NNG
월드시리즈에서	월드시리즈/NNG+에서/JKB
쓴잔을	쓴잔/NNG+을/JKO
마셨다.	마시/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.357.3.1
자이언츠는 1일 4차전에서 21세 신예 매디슨 범가너가 8이닝 동안 상대 타선을 3안타로 막고 오브리 허프가 3회 선제 2점 홈런, 신인 포수인 버스터 포지가 8회 쐐기 솔로포를 쏘아 올리며 쉽게 승부를 끝냈다.

자이언츠는	자이언츠/NNP+는/JX
1일	1/SN+일/NNB
4차전에서	4/SN+차전/NNB+에서/JKB
21세	21/SN+세/NNB
신예	신예/NNG
매디슨	매디슨/NNP
범가너가	범가너/NNP+가/JKS
8이닝	8/SN+이닝/NNG
동안	동안/NNG
상대	상대/NNG
타선을	타선/NNG+을/JKO
3안타로	3/SN+안타/NNG+로/JKB
막고	막/VV+고/EC
오브리	오브리/NNP
허프가	허프/NNP+가/JKS
3회	3/SN+회/NNB
선제	선제/NNG
2점	2/SN+점/NNB
홈런,	홈런/NNG+,/SP
신인	신인/NNG
포수인	포수/NNG+이/VCP+ㄴ/ETM
버스터	버스터/NNP
포지가	포지/NNP+가/JKS
8회	8/SN+회/NNB
쐐기	쐐기/NNG
솔로포를	솔로포/NNG+를/JKO
쏘아	쏘/VV+아/EC
올리며	올리/VV+며/EC
쉽게	쉽/VA+게/EC
승부를	승부/NNG+를/JKO
끝냈다.	끝내/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.357.4.1
2일 오전 8시 30분 텍사스 알링턴파크에서 열릴 5차전의 키는 자이언츠 선발로 예고된 팀 린스컴(26)가 쥐고 있다.

2일	2/SN+일/NNB
오전	오전/NNG
8시	8/SN+시/NNB
30분	30/SN+분/NNB
텍사스	텍사스/NNP
알링턴파크에서	알링턴파크/NNP+에서/JKB
열릴	열리/VV+ㄹ/ETM
5차전의	5/SN+차전/NNB+의/JKG
키는	키/NNG+는/JX
자이언츠	자이언츠/NNP
선발로	선발/NNG+로/JKB
예고된	예고/NNG+되/XSV+ㄴ/ETM
팀	팀/NNP
린스컴(26)가	린스컴/NNP+(/SS+26/SN+)/SS+가/JKS
쥐고	쥐/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000026.357.4.2
아직도 어린 그는 두 차례 내셔널리그 사이영(Cy Young)상을 받았으며 최근 3년간 18승, 15승, 16승을 거둔 에이스다.

아직도	아직/MAG+도/JX
어린	어리/VA+ㄴ/ETM
그는	그/NP+는/JX
두	두/MMN
차례	차례/NNG
내셔널리그	내셔널리그/NNG
사이영(Cy	사이영/NNP+(/SS+Cy/SL
Young)상을	Young/SL+)/SS+상/NNG+을/JKO
받았으며	받/VV+았/EP+으며/EC
최근	최근/MAG
3년간	3/SN+년/NNB+간/XSN
18승,	18/SN+승/NNB+,/SP
15승,	15/SN+승/NNB+,/SP
16승을	16/SN+승/NNB+을/JKO
거둔	거두/VV+ㄴ/ETM
에이스다.	에이스/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.357.5.1
반면 텍사스의 마지막 보루로 나설 클리프 리는 2002년 클리블랜드 인디언스에서 데뷔한 뒤 포스트시즌 진출 가능성이 큰 팀들의 집중 영입 대상이 돼 '우승 청부사'라는 별명을 얻은 승부사다.

반면	반면/NNG
텍사스의	텍사스/NNP+의/JKG
마지막	마지막/NNG
보루로	보루/NNG+로/JKB
나설	나서/VV+ㄹ/ETM
클리프	클리프/NNP
리는	리/NNP+는/JX
2002년	2002/SN+년/NNB
클리블랜드	클리블랜드/NNP
인디언스에서	인디언스/NNP+에서/JKB
데뷔한	데뷔/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
포스트시즌	포스트시즌/NNG
진출	진출/NNG
가능성이	가능/NNG+성/XSN+이/JKS
큰	크/VA+ㄴ/ETM
팀들의	팀/NNG+들/XSN+의/JKG
집중	집중/NNG
영입	영입/NNG
대상이	대상/NNG+이/JKC
돼	되/VV+어/EC
'우승	'/SS+우승/NNG
청부사'라는	청부사/NNG+'/SS+이/VCP+라는/ETM
별명을	별명/NNG+을/JKO
얻은	얻/VV+은/ETM
승부사다.	승부사/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.357.6.1
둘은 1차전에서도 맞대결을 벌였다.

둘은	둘/NR+은/JX
1차전에서도	1/SN+차전/NNB+에서/JKB+도/JX
맞대결을	맞대결/NNG+을/JKO
벌였다.	벌이/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.357.6.2
당시엔 리가 4와 3분의 2이닝 7실점(6자책점)을 허용하며 포스트시즌 7연승 행진을 마감했다.

당시엔	당시/NNG+에/JKB+ㄴ/JX
리가	리/NNP+가/JKS
4와	4/SN+와/JC
3분의	3/SN+분/XSN+의/JKG
2이닝	2/SN+이닝/NNG
7실점(6자책점)을	7/SN+실점/NNG+(/SS+6/SN+자책점/NNG+)/SS+을/JKO
허용하며	허용/NNG+하/XSV+며/EC
포스트시즌	포스트시즌/NNG
7연승	7/SN+연승/NNG
행진을	행진/NNG+을/JKO
마감했다.	마감/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.357.6.3
린스컴이 호투해 팀에 우승을 안긴다면 월드시리즈 MVP가 유력하다.

린스컴이	린스컴/NNP+이/JKS
호투해	호투/NNG+하/XSV+아/EC
팀에	팀/NNG+에/JKB
우승을	우승/NNG+을/JKO
안긴다면	안기/VV+ㄴ다면/EC
월드시리즈	월드시리즈/NNG
MVP가	MVP/SL+가/JKS
유력하다.	유력/NNG+하/XSA+다/EF+./SF


