# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000025.110
metadata : {}


# id : NWRW1800000025.110.1.1
[휴지통] 아파트 13층서 난데없는 벽돌… 여중생 맞아 중태

[휴지통]	[/SS+휴지통/NNG+]/SS
아파트	아파트/NNG
13층서	13/SN+층/NNG+서/JKB
난데없는	난데없/VA+는/ETM
벽돌…	벽돌/NNG+…/SE
여중생	여중/NNG+생/XSN
맞아	맞/VV+아/EC
중태	중태/NNG


# id : NWRW1800000025.110.2.1
철없는 중학생이 주변의 관심을 끌기 위해 아파트 13층에서 떨어뜨린 벽돌에 또래 여중생이 머리를 맞아 중태에 빠지는 황당한 사건이 발생했다.

철없는	철없/VA+는/ETM
중학생이	중학/NNG+생/XSN+이/JKS
주변의	주변/NNG+의/JKG
관심을	관심/NNG+을/JKO
끌기	끌/VV+기/ETN
위해	위하/VV+아/EC
아파트	아파트/NNG
13층에서	13/SN+층/NNG+에서/JKB
떨어뜨린	떨어뜨리/VV+ㄴ/ETM
벽돌에	벽돌/NNG+에/JKB
또래	또래/NNG
여중생이	여중/NNG+생/XSN+이/JKS
머리를	머리/NNG+를/JKO
맞아	맞/VV+아/EC
중태에	중태/NNG+에/JKB
빠지는	빠지/VV+는/ETM
황당한	황당하/VA+ㄴ/ETM
사건이	사건/NNG+이/JKS
발생했다.	발생/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.110.2.2
부산진경찰서는 18일 김모 군(13·중2)을 폭력행위 등 처벌에 관한 법률 위반 혐의로 붙잡아 조사 중이다.

부산진경찰서는	부산진경찰서/NNP+는/JX
18일	18/SN+일/NNB
김모	김/NNP+모/NP
군(13·중2)을	군/NNB+(/SS+13/SN+·/SP+중/NNG+2/SN+)/SS+을/JKO
폭력행위	폭력/NNG+행위/NNG
등	등/NNB
처벌에	처벌/NNG+에/JKB
관한	관하/VV+ㄴ/ETM
법률	법률/NNG
위반	위반/NNG
혐의로	혐의/NNG+로/JKB
붙잡아	붙잡/VV+아/EC
조사	조사/NNG
중이다.	중/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000025.110.2.3
경찰에 따르면 김 군은 17일 오후 1시 5분 자신의 집이 있는 부산 부산진구 개금동 모 아파트 13층 복도에서 창문을 열고 가로 19.5cm, 세로 9cm, 두께 6.5cm짜리 벽돌을 떨어뜨렸다.

경찰에	경찰/NNG+에/JKB
따르면	따르/VV+면/EC
김	김/NNP
군은	군/NNB+은/JX
17일	17/SN+일/NNB
오후	오후/NNG
1시	1/SN+시/NNB
5분	5/SN+분/NNB
자신의	자신/NNG+의/JKG
집이	집/NNG+이/JKS
있는	있/VA+는/ETM
부산	부산/NNP
부산진구	부산진구/NNP
개금동	개금동/NNP
모	모/MMD
아파트	아파트/NNG
13층	13/SN+층/NNG
복도에서	복도/NNG+에서/JKB
창문을	창문/NNG+을/JKO
열고	열/VV+고/EC
가로	가로/NNG
19.5cm,	19/SN+./SP+5/SN+cm/SW+,/SP
세로	세로/NNG
9cm,	9/SN+cm/SW+,/SP
두께	두께/NNG
6.5cm짜리	6/SN+./SP+5/SN+cm/SW+짜리/XSN
벽돌을	벽돌/NNG+을/JKO
떨어뜨렸다.	떨어뜨리/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.110.2.4
이 벽돌은 아파트 1층 화단에서 친구 2명과 얘기 중이던 같은 아파트에 사는 이모 양(13·중2) 머리에 떨어졌다.

이	이/MMD
벽돌은	벽돌/NNG+은/JX
아파트	아파트/NNG
1층	1/SN+층/NNG
화단에서	화단/NNG+에서/JKB
친구	친구/NNG
2명과	2/SN+명/NNB+과/JKB
얘기	얘기/NNG
중이던	중/NNB+이/VCP+던/ETM
같은	같/VA+은/ETM
아파트에	아파트/NNG+에/JKB
사는	살/VV+는/ETM
이모	이/NNP+모/NP
양(13·중2)	양/NNB+(/SS+13/SN+·/SP+중/NNG+2/SN+)/SS
머리에	머리/NNG+에/JKB
떨어졌다.	떨어지/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.110.2.5
이 양은 정신을 잃고 근처 병원으로 긴급 이송됐다.

이	이/NNP
양은	양/NNB+은/JX
정신을	정신/NNG+을/JKO
잃고	잃/VV+고/EC
근처	근처/NNG
병원으로	병원/NNG+으로/JKB
긴급	긴급/NNG
이송됐다.	이송/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000025.110.2.6
경찰은 “이 양은 긴급 뇌수술을 받아 생명에는 지장이 없는 것으로 안다”고 밝혔다.

경찰은	경찰/NNG+은/JX
“이	“/SS+이/NNP
양은	양/NNB+은/JX
긴급	긴급/NNG
뇌수술을	뇌/NNG+수술/NNG+을/JKO
받아	받/VV+아/EC
생명에는	생명/NNG+에/JKB+는/JX
지장이	지장/NNG+이/JKS
없는	없/VA+는/ETM
것으로	것/NNB+으로/JKB
안다”고	알/VV+ㄴ다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.110.3.1
경찰 조사 결과 맞벌이 부모를 둔 외동아들인 김 군은 다른 사람의 관심을 끌려고 벽돌을 떨어뜨렸다.

경찰	경찰/NNG
조사	조사/NNG
결과	결과/NNG
맞벌이	맞벌이/NNG
부모를	부모/NNG+를/JKO
둔	두/VV+ㄴ/ETM
외동아들인	외동아들/NNG+이/VCP+ㄴ/ETM
김	김/NNP
군은	군/NNB+은/JX
다른	다른/MMD
사람의	사람/NNG+의/JKG
관심을	관심/NNG+을/JKO
끌려고	끌/VV+려고/EC
벽돌을	벽돌/NNG+을/JKO
떨어뜨렸다.	떨어뜨리/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.110.3.2
세 차례나 엘리베이터를 허겁지겁 타고 내리는 모습이 폐쇄회로(CC)TV에 찍히는 바람에 덜미를 잡혔다.

세	세/MMN
차례나	차례/NNG+나/JX
엘리베이터를	엘리베이터/NNG+를/JKO
허겁지겁	허겁지겁/MAG
타고	타/VV+고/EC
내리는	내리/VV+는/ETM
모습이	모습/NNG+이/JKS
폐쇄회로(CC)TV에	폐쇄/NNG+회로/NNG+(/SS+CC/SL+)/SS+TV/SL+에/JKB
찍히는	찍히/VV+는/ETM
바람에	바람/NNB+에/JKB
덜미를	덜미/NNG+를/JKO
잡혔다.	잡히/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.110.3.3
김 군은 경찰에서 “벽돌을 떨어뜨려 경찰에 잡히더라도 부모님이 나에게 관심을 두는 계기가 되지 않겠나 생각했다”면서 “벽돌에 사람이 맞을 줄은 몰랐다”며 고개를 숙였다.

김	김/NNP
군은	군/NNB+은/JX
경찰에서	경찰/NNG+에서/JKB
“벽돌을	“/SS+벽돌/NNG+을/JKO
떨어뜨려	떨어뜨리/VV+어/EC
경찰에	경찰/NNG+에/JKB
잡히더라도	잡히/VV+더라도/EC
부모님이	부모/NNG+님/XSN+이/JKS
나에게	나/NP+에게/JKB
관심을	관심/NNG+을/JKO
두는	두/VV+는/ETM
계기가	계기/NNG+가/JKC
되지	되/VV+지/EC
않겠나	않/VX+겠/EP+나/EF
생각했다”면서	생각/NNG+하/XSV+았/EP+다/EF+”/SS+면서/EC
“벽돌에	“/SS+벽돌/NNG+에/JKB
사람이	사람/NNG+이/JKS
맞을	맞/VV+을/ETM
