# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.40
metadata : {}


# id : NWRW1800000046.40.1.1
[글로벌 콕콕] 美, 파키스탄과 핵 협정 체결 검토 외

[글로벌	[/SS+글로벌/NNG
콕콕]	콕콕/MAG+]/SS
美,	美/SH+,/SP
파키스탄과	파키스탄/NNP+과/JKB
핵	핵/NNG
협정	협정/NNG
체결	체결/NNG
검토	검토/NNG
외	외/NNB


# id : NWRW1800000046.40.2.1
美, 파키스탄과 핵 협정 체결 검토

美,	美/SH+,/SP
파키스탄과	파키스탄/NNP+과/JKB
핵	핵/NNG
협정	협정/NNG
체결	체결/NNG
검토	검토/NNG


# id : NWRW1800000046.40.3.1
미국 정부가 핵탄두 생산량을 빠르게 늘리고 있는 파키스탄과 핵 협정 체결을 검토하고 있는 것으로 알려졌다.

미국	미국/NNP
정부가	정부/NNG+가/JKS
핵탄두	핵탄두/NNG
생산량을	생산량/NNG+을/JKO
빠르게	빠르/VA+게/EC
늘리고	늘리/VV+고/EC
있는	있/VX+는/ETM
파키스탄과	파키스탄/NNP+과/JKB
핵	핵/NNG
협정	협정/NNG
체결을	체결/NNG+을/JKO
검토하고	검토/NNG+하/XSV+고/EC
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.40.3.2
뉴욕타임스(NYT)는 15일(현지 시각) 미 정부가 다음 주로 예정된 나와즈 샤리프 파키스탄 총리의 방미(訪美)를 앞두고 협정을 통해 파키스탄의 핵무기를 통제하는 방안을 논의하고 있다고 보도했다.

뉴욕타임스(NYT)는	뉴욕타임스/NNP+(/SS+NYT/SL+)/SS+는/JX
15일(현지	15/SN+일/NNB+(/SS+현지/NNG
시각)	시각/NNG+)/SS
미	미/NNP
정부가	정부/NNG+가/JKS
다음	다음/NNG
주로	주/NNG+로/JKB
예정된	예정/NNG+되/XSV+ㄴ/ETM
나와즈	나와즈/NNP
샤리프	샤리프/NNP
파키스탄	파키스탄/NNP
총리의	총리/NNG+의/JKG
방미(訪美)를	방미/NNG+(/SS+訪美/SH+)/SS+를/JKO
앞두고	앞두/VV+고/EC
협정을	협정/NNG+을/JKO
통해	통하/VV+아/EC
파키스탄의	파키스탄/NNP+의/JKG
핵무기를	핵무기/NNG+를/JKO
통제하는	통제/NNG+하/XSV+는/ETM
방안을	방안/NNG+을/JKO
논의하고	논의/NNG+하/XSV+고/EC
있다고	있/VX+다고/EC
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.40.3.3
미국은 파키스탄이 소형 전술 핵무기를 배치할 가능성에 대해 특히 우려하고 있는 것으로 알려졌다.

미국은	미국/NNP+은/JX
파키스탄이	파키스탄/NNP+이/JKS
소형	소형/NNG
전술	전술/NNG
핵무기를	핵무기/NNG+를/JKO
배치할	배치/NNG+하/XSV+ㄹ/ETM
가능성에	가능/NNG+성/XSN+에/JKB
대해	대하/VV+아/EC
특히	특히/MAG
