# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.323
metadata : {}


# id : NWRW1800000024.323.1.1
한나라 연찬회, 말만 꺼내본 ‘감세 유예’

한나라	한나라/NNP
연찬회,	연찬회/NNG+,/SP
말만	말/NNG+만/JX
꺼내본	꺼내/VV+어/EC+보/VX+ㄴ/ETM
‘감세	‘/SS+감세/NNG
유예’	유예/NNG+’/SS


# id : NWRW1800000024.323.2.1
4일 열린 한나라당의 ‘정기국회 대비 국회의원 연찬회’에서는 4대강 정비사업과 법인세·소득세 감세 문제가 핵심 쟁점으로 떠올랐다.

4일	4/SN+일/NNB
열린	열리/VV+ㄴ/ETM
한나라당의	한나라당/NNP+의/JKG
‘정기국회	‘/SS+정기/NNG+국회/NNG
대비	대비/NNG
국회의원	국회/NNG+의원/NNG
연찬회’에서는	연찬회/NNG+’/SS+에서/JKB+는/JX
4대강	4/SN+대/NNG+강/NNG
정비사업과	정비/NNG+사업/NNG+과/JC
법인세·소득세	법인세/NNG+·/SP+소득세/NNG
감세	감세/NNG
문제가	문제/NNG+가/JKS
핵심	핵심/NNG
쟁점으로	쟁점/NNG+으로/JKB
떠올랐다.	떠오르/VV+았/EP+다/EF+./SF


# id : NWRW1800000024.323.2.2
경제위기로 재정건전성이 악화하는 마당에 22조원에 이르는 대규모 국책사업을 추진하는 것이 적절한지에 대한 문제제기다.

경제위기로	경제/NNG+위기/NNG+로/JKB
재정건전성이	재정/NNG+건전/NNG+성/XSN+이/JKS
악화하는	악화/NNG+하/XSV+는/ETM
마당에	마당/NNB+에/JKB
22조원에	22/SN+조/NR+원/NNB+에/JKB
이르는	이르/VV+는/ETM
대규모	대/XPN+규모/NNG
국책사업을	국책/NNG+사업/NNG+을/JKO
추진하는	추진/NNG+하/XSV+는/ETM
것이	것/NNB+이/JKS
적절한지에	적절하/VA+ㄴ지/EF+에/JKB
대한	대하/VV+ㄴ/ETM
문제제기다.	문제/NNG+제기/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000024.323.2.3
여기에 법인세·소득세 감세로 재정적자가 더욱 확대될 수 있다며 감세 기조 유보를 강하게 촉구하는 목소리도 높았다.

여기에	여기/NP+에/JKB
법인세·소득세	법인세/NNG+·/SP+소득세/NNG
감세로	감세/NNG+로/JKB
재정적자가	재정/NNG+적자/NNG+가/JKS
더욱	더욱/MAG
확대될	확대/NNG+되/XSV+ㄹ/ETM
