# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.369
metadata : {}


# id : NWRW1800000029.369.1.1
한나라 親서민 이슈 ‘3탄’은 비정규직

한나라	한나라/NNP
親서민	親/SH+서민/NNG
이슈	이슈/NNG
‘3탄’은	‘/SS+3/SN+탄/NNB+’/SS+은/JX
비정규직	비/XPN+정규직/NNG


# id : NWRW1800000029.369.2.1
등록금완화-MRO규제 이어 오늘 사내하도급 규제 토론

등록금완화-MRO규제	등록금/NNG+완화/NNG+-/SO+MRO/SL+규제/NNG
이어	잇/VV+어/EC
오늘	오늘/MAG
사내하도급	사내/NNG+하도급/NNG
규제	규제/NNG
토론	토론/NNG


# id : NWRW1800000029.369.3.1
한나라당이 비정규직 대책의 일환으로 재계와 노동계의 ‘뜨거운 감자’인 사내(社內) 하도급 근로자(하청 근로자) 문제 개선에 나서기로 했다.

한나라당이	한나라당/NNP+이/JKS
비정규직	비/XPN+정규직/NNG
대책의	대책/NNG+의/JKG
일환으로	일환/NNG+으로/JKB
재계와	재계/NNG+와/JC
노동계의	노동/NNG+계/XSN+의/JKG
‘뜨거운	‘/SS+뜨겁/VA+ㄴ/ETM
감자’인	감자/NNG+’/SS+이/VCP+ㄴ/ETM
사내(社內)	사내/NNG+(/SS+社內/SH+)/SS
하도급	하도급/NNG
근로자(하청	근로자/NNG+(/SS+하청/NNG
근로자)	근로자/NNG+)/SS
문제	문제/NNG
개선에	개선/NNG+에/JKB
나서기로	나서/VV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000029.369.4.1
대학생 등록금 부담 경감 대책 추진, 대기업 계열사들의 소모성자재 구매대행(MRO) 사업의 무분별한 확장 방지책 마련에 이은 ‘친서민 정책’ 행보의 3탄인 셈이다.

대학생	대학/NNG+생/XSN
등록금	등록금/NNG
부담	부담/NNG
경감	경감/NNG
대책	대책/NNG
추진,	추진/NNG+,/SP
대기업	대/XPN+기업/NNG
계열사들의	계열사/NNG+들/XSN+의/JKG
소모성자재	소모성/NNG+자재/NNG
구매대행(MRO)	구매/NNG+대행/NNG+(/SS+MRO/SL+)/SS
사업의	사업/NNG+의/JKG
무분별한	무/XPN+분별/NNG+하/XSA+ㄴ/ETM
확장	확장/NNG
방지책	방지책/NNG
마련에	마련/NNG+에/JKB
이은	잇/VV+은/ETM
‘친서민	‘/SS+친/XPN+서민/NNG
정책’	정책/NNG+’/SS
행보의	행보/NNG+의/JKG
3탄인	3/SN+탄/NNB+이/VCP+ㄴ/ETM
셈이다.	셈/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000029.369.5.1
당 정책위부의장인 김성식 의원은 19일 기자와의 통화에서 “사내 하도급은 도급으로 위장한 불법 파견이라는 취지의 대법원 판결이 있었다”면서 “다양한 형태의 사내 하도급에 대해 대법원 판결에 준하는 제도 개선이 필요하다”고 밝혔다.

당	당/NNG
정책위부의장인	정책위/NNG+부의장/NNG+이/VCP+ㄴ/ETM
김성식	김성식/NNP
의원은	의원/NNG+은/JX
19일	19/SN+일/NNB
기자와의	기자/NNG+와/JKB+의/JKG
통화에서	통화/NNG+에서/JKB
“사내	“/SS+사내/NNG
하도급은	하도급/NNG+은/JX
도급으로	도급/NNG+으로/JKB
위장한	위장/NNG+하/XSV+ㄴ/ETM
불법	불법/NNG
파견이라는	파견/NNG+이/VCP+라는/ETM
취지의	취지/NNG+의/JKG
대법원	대/XPN+법원/NNG
판결이	판결/NNG+이/JKS
있었다”면서	있/VA+었/EP+다/EF+”/SS+면서/EC
“다양한	“/SS+다양/NNG+하/XSA+ㄴ/ETM
형태의	형태/NNG+의/JKG
사내	사내/NNG
하도급에	하도급/NNG+에/JKB
대해	대하/VV+아/EC
판결에	판결/NNG+에/JKB
준하는	준하/VV+는/ETM
제도	제도/NNG
개선이	개선/NNG+이/JKS
필요하다”고	필요/NNG+하/XSA+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.369.5.2
대법원은 지난해 7월 2년 이상 근무한 사내 하도급 근로자가 원청업체에서 실질적인 근로감독을 받았다면 정규직 근로자로 봐야 한다는 취지의 판결을 내린 바 있다.

대법원은	대/XPN+법원/NNG+은/JX
지난해	지난해/NNG
7월	7/SN+월/NNB
2년	2/SN+년/NNB
이상	이상/NNG
근무한	근무/NNG+하/XSV+ㄴ/ETM
사내	사내/NNG
하도급	하도급/NNG
근로자가	근로자/NNG+가/JKS
원청업체에서	원청/NNG+업체/NNG+에서/JKB
실질적인	실질/NNG+적/XSN+이/VCP+ㄴ/ETM
근로감독을	근로/NNG+감독/NNG+을/JKO
받았다면	받/VV+았/EP+다면/EC
정규직	정규직/NNG
근로자로	근로자/NNG+로/JKB
봐야	보/VV+아야/EC
한다는	하/VX+ㄴ다는/ETM
취지의	취지/NNG+의/JKG
판결을	판결/NNG+을/JKO
내린	내리/VV+ㄴ/ETM
바	바/NNB
