# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.12
metadata : {}


# id : NWRW1800000054.12.1.1
"아내·자식 때렸어도 뼈만 안 부러졌으면…"

"아내·자식	"/SS+아내/NNG+·/SP+자식/NNG
때렸어도	때리/VV+었/EP+어도/EC
뼈만	뼈/NNG+만/JX
안	안/MAG
부러졌으면…"	부러지/VV+었/EP+으면/EC+…/SE+"/SS


# id : NWRW1800000054.12.2.1
푸틴, 가정폭력 처벌완화법 서명

푸틴,	푸틴/NNP+,/SP
가정폭력	가정/NNG+폭력/NNG
처벌완화법	처벌/NNG+완화법/NNG
서명	서명/NNG


# id : NWRW1800000054.12.3.1
블라디미르 푸틴〈사진〉 러시아 대통령이 가정 폭력 처벌을 크게 완화하는 법안에 서명했다고 영국 일간 가디언이 7일(현지 시각) 보도했다.

블라디미르	블라디미르/NNP
푸틴〈사진〉	푸틴/NNP+〈/SS+사진/NNG+〉/SS
러시아	러시아/NNP
대통령이	대통령/NNG+이/JKS
가정	가정/NNG
폭력	폭력/NNG
처벌을	처벌/NNG+을/JKO
크게	크/VA+게/EC
완화하는	완화/NNG+하/XSV+는/ETM
법안에	법안/NNG+에/JKB
서명했다고	서명/NNG+하/XSV+았/EP+다고/EC
영국	영국/NNP
일간	일간/NNG
가디언이	가디언/NNP+이/JKS
7일(현지	7/SN+일/NNB+(/SS+현지/NNG
시각)	시각/NNG+)/SS
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.12.3.2
일명 '때리기법'인 이 법은 배우자나 자식을 멍이 들거나 피가 날 정도까지 때려도 폭력이 1년에 1회를 넘지 않고 뼈가 부러지지 않았다면 15일 구류나 벌금 처분에 그치는 내용으로 돼 있다.

일명	일명/NNG
'때리기법'인	'/SS+때리/VV+기/ETN+법/NNG+'/SS+이/VCP+ㄴ/ETM
이	이/MMD
법은	법/NNG+은/JX
배우자나	배우자/NNG+나/JC
자식을	자식/NNG+을/JKO
멍이	멍/NNG+이/JKS
들거나	들/VV+거나/EC
피가	피/NNG+가/JKS
날	나/VV+ㄹ/ETM
정도까지	정도/NNG+까지/JX
때려도	때리/VV+어도/EC
폭력이	폭력/NNG+이/JKS
1년에	1/SN+년/NNB+에/JKB
1회를	1/SN+회/NNB+를/JKO
넘지	넘/VV+지/EC
않고	않/VX+고/EC
뼈가	뼈/NNG+가/JKS
부러지지	부러지/VV+지/EC
않았다면	않/VX+았/EP+다면/EC
15일	15/SN+일/NNB
구류나	구류/NNG+나/JC
벌금	벌금/NNG
처분에	처분/NNG+에/JKB
그치는	그치/VV+는/ETM
내용으로	내용/NNG+으로/JKB
돼	되/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000054.12.3.3
종전 법에서는 최대 징역 2년에 처하도록 돼 있었다.

종전	종전/NNG
법에서는	법/NNG+에서/JKB+는/JX
최대	최대/NNG
징역	징역/NNG
2년에	2/SN+년/NNB+에/JKB
처하도록	처하/VV+도록/EC
돼	되/VV+어/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000054.12.4.1
이 법안은 극우 성향 여성 정치인인 옐레나 미줄리나 의원이 발의해 지난달 의회를 통과했다.

이	이/MMD
법안은	법안/NNG+은/JX
극우	극우/NNG
성향	성향/NNG
여성	여성/NNG
정치인인	정치인/NNG+이/VCP+ㄴ/ETM
옐레나	옐레나/NNP
미줄리나	미줄리나/NNP
의원이	의원/NNG+이/JKS
발의해	발의/NNG+하/XSV+아/EC
지난달	지난달/NNG
의회를	의회/NNG+를/JKO
통과했다.	통과/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.12.4.2
미줄리나 의원은 "러시아에서 가족 관계는 부모의 힘과 권위로 뒷받침된다"며 "이 법은 이러한 전통문화를 지키기 위한 것"이라고 말했다.

미줄리나	미줄리나/NNP
의원은	의원/NNG+은/JX
"러시아에서	"/SS+러시아/NNP+에서/JKB
가족	가족/NNG
관계는	관계/NNG+는/JX
부모의	부모/NNG+의/JKG
힘과	힘/NNG+과/JC
권위로	권위/NNG+로/JKB
뒷받침된다"며	뒷받침/NNG+되/XSV+ㄴ다/EF+"/SS+며/EC
"이	"/SS+이/MMD
법은	법/NNG+은/JX
이러한	이러하/VA+ㄴ/ETM
전통문화를	전통문화/NNG+를/JKO
지키기	지키/VV+기/ETN
위한	위하/VV+ㄴ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.12.4.3
법안에 찬성한 올가 바탈리나 의원은 "모르는 사람을 때렸을 때보다 가족을 때렸을 때 더 가혹한 처벌을 받는 어처구니없는 일을 막을 수 있을 것"이라고 했다.

법안에	법안/NNG+에/JKB
찬성한	찬성/NNG+하/XSV+ㄴ/ETM
올가	올가/NNP
바탈리나	바탈리나/NNP
의원은	의원/NNG+은/JX
"모르는	"/SS+모르/VV+는/ETM
사람을	사람/NNG+을/JKO
때렸을	때리/VV+었/EP+을/ETM
때보다	때/NNG+보다/JKB
가족을	가족/NNG+을/JKO
때	때/NNG
더	더/MAG
가혹한	가혹/NNG+하/XSA+ㄴ/ETM
처벌을	처벌/NNG+을/JKO
받는	받/VV+는/ETM
어처구니없는	어처구니없/VA+는/ETM
일을	일/NNG+을/JKO
막을	막/VV+을/ETM
수	수/NNB
있을	있/VA+을/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.12.5.1
여성 단체들은 즉각 반발했다.

여성	여성/NNG
단체들은	단체/NNG+들/XSN+은/JX
즉각	즉각/MAG
반발했다.	반발/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.12.5.2
이들은 "지금도 가정 폭력으로 40분마다 여성 1명이 사망한다"며 "이 법안으로 국민은 '내 가족은 때려도 된다'는 잘못된 인식을 갖게 될 것"이라고 주장했다.

이들은	이/NP+들/XSN+은/JX
"지금도	"/SS+지금/NNG+도/JX
가정	가정/NNG
폭력으로	폭력/NNG+으로/JKB
40분마다	40/SN+분/NNB+마다/JX
여성	여성/NNG
1명이	1/SN+명/NNB+이/JKS
사망한다"며	사망/NNG+하/XSV+ㄴ다/EF+"/SS+며/EC
"이	"/SS+이/MMD
법안으로	법안/NNG+으로/JKB
국민은	국민/NNG+은/JX
'내	'/SS+나/NP+의/JKG
가족은	가족/NNG+은/JX
때려도	때리/VV+어도/EC
된다'는	되/VV+ㄴ다/EF+'/SS+는/ETM
잘못된	잘못/MAG+되/XSV+ㄴ/ETM
인식을	인식/NNG+을/JKO
갖게	갖/VV+게/EC
될	되/VV+ㄹ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.12.5.3
러시아에서는 전체 범죄의 40%가 가족 간에 벌어지며, 매일 남편에게 맞는 아내가 3만6000명에 이른다.

러시아에서는	러시아/NNP+에서/JKB+는/JX
전체	전체/NNG
범죄의	범죄/NNG+의/JKG
40%가	40/SN+%/SW+가/JKS
가족	가족/NNG
간에	간/NNB+에/JKB
벌어지며,	벌어지/VV+며/EC+,/SP
매일	매일/MAG
남편에게	남편/NNG+에게/JKB
맞는	맞/VV+는/ETM
아내가	아내/NNG+가/JKS
3만6000명에	3/SN+만/NR+6000/SN+명/NNB+에/JKB
이른다.	이르/VV+ㄴ다/EF+./SF


# id : NWRW1800000054.12.5.4
매년 가정 폭력으로 숨지는 여성도 1만4000명이나 된다.

매년	매년/MAG
가정	가정/NNG
폭력으로	폭력/NNG+으로/JKB
숨지는	숨지/VV+는/ETM
여성도	여성/NNG+도/JX
1만4000명이나	1/SN+만/NR+4000/SN+명/NNB+이나/JX
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000054.12.6.1
이 때문에 곳곳에선 이번 법안에 반대하는 운동이 벌어지고 있다.

이	이/MMD
때문에	때문/NNB+에/JKB
곳곳에선	곳곳/NNG+에서/JKB+ㄴ/JX
이번	이번/NNG
법안에	법안/NNG+에/JKB
반대하는	반대/NNG+하/XSV+는/ETM
운동이	운동/NNG+이/JKS
벌어지고	벌어지/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000054.12.6.2
이 법안에 반대하는 탄원서에는 약 30만명이 서명했으며, 온라인에서는 가정 폭력 피해 경험에 '#Iamnotscaredtospeak(이야기하는 것이 두렵지 않다)'라는 해시태그를 달아 공유하는 운동이 번지고 있다.

이	이/MMD
법안에	법안/NNG+에/JKB
반대하는	반대/NNG+하/XSV+는/ETM
탄원서에는	탄원서/NNG+에/JKB+는/JX
약	약/MMA
30만명이	30/SN+만/NR+명/NNB+이/JKS
서명했으며,	서명/NNG+하/XSV+았/EP+으며/EC+,/SP
온라인에서는	온라인/NNG+에서/JKB+는/JX
가정	가정/NNG
폭력	폭력/NNG
피해	피해/NNG
경험에	경험/NNG+에/JKB
'#Iamnotscaredtospeak(이야기하는	'/SS+#/SW+Iamnotscaredtospeak/SL+(/SS+이야기/NNG+하/XSV+는/ETM
것이	것/NNB+이/JKS
두렵지	두렵/VA+지/EC
않다)'라는	않/VX+다/EF+)/SS+'/SS+이/VCP+라는/ETM
해시태그를	해시태그/NNG+를/JKO
달아	달/VV+아/EC
공유하는	공유/NNG+하/XSV+는/ETM
운동이	운동/NNG+이/JKS
번지고	번지/VV+고/EC
있다.	있/VX+다/EF+./SF


