# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.327
metadata : {}


# id : NWRW1800000028.327.1.1
“지방세 비중 해마다 계속 줄것”

“지방세	“/SS+지방세/NNG
비중	비중/NNG
해마다	해마다/MAG
계속	계속/MAG
줄것”	주/VV+ㄹ/ETM+것/NNB+”/SS


# id : NWRW1800000028.327.2.1
지방 재정 여건이 갈수록 나빠지고 있는 가운데 전체 세금 수입 중에서 지방자치단체가 지역주민으로부터 걷는 지방세 비중이 해마다 더 줄어들 것으로 예상된다.

지방	지방/NNG
재정	재정/NNG
여건이	여건/NNG+이/JKS
갈수록	갈수록/MAG
나빠지고	나빠지/VV+고/EC
있는	있/VX+는/ETM
가운데	가운데/NNG
전체	전체/NNG
세금	세금/NNG
수입	수입/NNG
중에서	중/NNB+에서/JKB
지방자치단체가	지방/NNG+자치/NNG+단체/NNG+가/JKS
지역주민으로부터	지역/NNG+주민/NNG+으로부터/JKB
걷는	걷/VV+는/ETM
지방세	지방세/NNG
비중이	비중/NNG+이/JKS
해마다	해마다/MAG
더	더/MAG
줄어들	줄어들/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
예상된다.	예상/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000028.327.3.1
23일 기획재정부의 중기 세수 전망 자료를 보면, 2014년 국세 수입은 241조7000억원이고 지방세 수입은 65조원으로 국세와 지방세의 비율이 각각 78.8%와 21.2%로 전망됐다.

23일	23/SN+일/NNB
기획재정부의	기획/NNG+재정부/NNG+의/JKG
중기	중기/NNG
세수	세수/NNG
전망	전망/NNG
자료를	자료/NNG+를/JKO
보면,	보/VV+면/EC+,/SP
2014년	2014/SN+년/NNB
국세	국세/NNG
수입은	수입/NNG+은/JX
241조7000억원이고	241/SN+조/NR+7000/SN+억/NR+원/NNB+이/VCP+고/EC
지방세	지방세/NNG
65조원으로	65/SN+조/NR+원/NNB+으로/JKB
국세와	국세/NNG+와/JC
지방세의	지방세/NNG+의/JKG
비율이	비율/NNG+이/JKS
각각	각각/MAG
78.8%와	78/SN+./SP+8/SN+%/SW+와/JC
21.2%로	21/SN+./SP+2/SN+%/SW+로/JKB
전망됐다.	전망/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000028.327.3.2
전체 조세에서 지방세가 차지하는 비중은 부동산 시장이 활황이었던 2006년만 해도 23.0%였지만 2007년 21.2%로 떨어진 뒤 2008년 21.4%, 2009년 21.5%로 거의 변동이 없다.

전체	전체/NNG
조세에서	조세/NNG+에서/JKB
지방세가	지방세/NNG+가/JKS
차지하는	차지/NNG+하/XSV+는/ETM
비중은	비중/NNG+은/JX
부동산	부동산/NNG
시장이	시장/NNG+이/JKS
활황이었던	활황/NNG+이/VCP+었/EP+던/ETM
2006년만	2006/SN+년/NNB+만/JX
해도	하/VV+아도/EC
23.0%였지만	23/SN+./SP+0/SN+%/SW+이/VCP+었/EP+지만/EC
2007년	2007/SN+년/NNB
21.2%로	21/SN+./SP+2/SN+%/SW+로/JKB
떨어진	떨어지/VV+ㄴ/ETM
뒤	뒤/NNG
2008년	2008/SN+년/NNB
21.4%,	21/SN+./SP+4/SN+%/SW+,/SP
2009년	2009/SN+년/NNB
21.5%로	21/SN+./SP+5/SN+%/SW+로/JKB
거의	거의/MAG
변동이	변동/NNG+이/JKS
없다.	없/VA+다/EF+./SF


# id : NWRW1800000028.327.4.1
특히 올해부터 부가가치세의 5%(2조6000억원)를 지방소비세로 전환했지만 지방세 비중은 지난해와 같은 21.5%로 변동이 없을 것으로 관측됐다.

특히	특히/MAG
올해부터	올해/NNG+부터/JX
부가가치세의	부가/NNG+가치세/NNG+의/JKG
5%(2조6000억원)를	5/SN+%/SW+(/SS+2/SN+조/NR+6000/SN+억/NR+원/NNB+)/SS+를/JKO
지방소비세로	지방/NNG+소비세/NNG+로/JKB
전환했지만	전환/NNG+하/XSV+았/EP+지만/EC
지방세	지방세/NNG
비중은	비중/NNG+은/JX
지난해와	지난해/NNG+와/JKB
같은	같/VA+은/ETM
21.5%로	21/SN+./SP+5/SN+%/SW+로/JKB
변동이	변동/NNG+이/JKS
없을	없/VA+을/ETM
것으로	것/NNB+으로/JKB
관측됐다.	관측/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000028.327.4.2
부동산 경기침체에 따른 취득·등록세 감소가 주요한 원인이라고 재정부는 설명했다.

부동산	부동산/NNG
경기침체에	경기/NNG+침체/NNG+에/JKB
따른	따르/VV+ㄴ/ETM
취득·등록세	취득/NNG+·/SP+등록세/NNG
감소가	감소/NNG+가/JKS
주요한	주요/NNG+하/XSA+ㄴ/ETM
원인이라고	원인/NNG+이/VCP+라고/EC
재정부는	재정부/NNG+는/JX
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.327.4.3
지방세의 비중은 2011년에는 21.7%로 다소 증가할 전망이지만 2012년에 다시 21.6%로 낮아지고 2013년과 2014년에도 21.5%와 21.2% 등으로 하락세를 이어갈 것으로 예상됐다.

지방세의	지방세/NNG+의/JKG
비중은	비중/NNG+은/JX
2011년에는	2011/SN+년/NNB+에/JKB+는/JX
21.7%로	21/SN+./SP+7/SN+%/SW+로/JKB
다소	다소/MAG
증가할	증가/NNG+하/XSV+ㄹ/ETM
전망이지만	전망/NNG+이/VCP+지만/EC
2012년에	2012/SN+년/NNB+에/JKB
다시	다시/MAG
21.6%로	21/SN+./SP+6/SN+%/SW+로/JKB
낮아지고	낮/VA+아/EC+지/VX+고/EC
2013년과	2013/SN+년/NNB+과/JC
2014년에도	2014/SN+년/NNB+에/JKB+도/JX
21.5%와	21/SN+./SP+5/SN+%/SW+와/JC
21.2%	21/SN+./SP+2/SN+%/SW
등으로	등/NNB+으로/JKB
하락세를	하락세/NNG+를/JKO
이어갈	잇/VV+어/EC+가/VX+ㄹ/ETM
것으로	것/NNB+으로/JKB
예상됐다.	예상/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000028.327.5.1
해마다 증가율이 오를 것으로 전망된 국세 수입과 달리 지방세 수입 증가율은 갈수록 둔화할 전망이다.

해마다	해마다/MAG
증가율이	증가/NNG+율/XSN+이/JKS
오를	오르/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
전망된	전망/NNG+되/XSV+ㄴ/ETM
국세	국세/NNG
수입과	수입/NNG+과/JKB
달리	달리/MAG
지방세	지방세/NNG
수입	수입/NNG
증가율은	증가/NNG+율/XSN+은/JX
갈수록	갈수록/MAG
둔화할	둔화/NNG+하/XSV+ㄹ/ETM
전망이다.	전망/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000028.327.5.2
