# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000048.160
metadata : {}


# id : NWRW1800000048.160.1.1
“조선 선비들 고전·시조 줄줄 외우던 비결이 바로 송서율창”

“조선	“/SS+조선/NNP
선비들	선비/NNG+들/XSN
고전·시조	고전/NNG+·/SP+시조/NNG
줄줄	줄줄/MAG
외우던	외우/VV+던/ETM
비결이	비결/NNG+이/JKS
바로	바로/MAG
송서율창”	송서율창/NNG+”/SS


# id : NWRW1800000048.160.2.1
명창 묵계월 선생 계승자 유창씨

명창	명창/NNG
묵계월	묵계월/NNP
선생	선생/NNG
계승자	계승자/NNG
유창씨	유창/NNP+씨/NNB


# id : NWRW1800000048.160.3.1
그 옛날 할머니는 손주를 품에 안고 낮게 읖조렸다.

그	그/MMD
옛날	옛날/NNG
할머니는	할머니/NNG+는/JX
손주를	손주/NNG+를/JKO
품에	품/NNG+에/JKB
안고	안/VV+고/EC
낮게	낮/VA+게/EC
읖조렸다.	읖조리/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.160.3.2
은근한 석유 등잔의 불빛 아래 방안을 가득 메우던 할머니의 중얼거림은 잠을 보채던 손주를 곧 깊은 잠으로 이끌었다.

은근한	은근/NNG+하/XSA+ㄴ/ETM
석유	석유/NNG
등잔의	등잔/NNG+의/JKG
불빛	불빛/NNG
아래	아래/NNG
방안을	방/NNG+안/NNG+을/JKO
가득	가득/MAG
메우던	메우/VV+던/ETM
할머니의	할머니/NNG+의/JKG
중얼거림은	중얼거리/VV+ㅁ/ETN+은/JX
잠을	잠/NNG+을/JKO
보채던	보채/VV+던/ETM
손주를	손주/NNG+를/JKO
곧	곧/MAG
깊은	깊/VA+은/ETM
잠으로	잠/NNG+으로/JKB
이끌었다.	이끌/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.160.3.3
할머니는 젊은 시절부터 ‘이야기’가 있는 소리를 자연스럽게 배웠다.

할머니는	할머니/NNG+는/JX
젊은	젊/VA+은/ETM
시절부터	시절/NNG+부터/JX
‘이야기’가	‘/SS+이야기/NNG+’/SS+가/JKS
있는	있/VA+는/ETM
소리를	소리/NNG+를/JKO
자연스럽게	자연/NNG+스럽/XSA+게/EC
배웠다.	배우/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.160.3.4
<홍길동전> <사씨남정기>의 구슬픈 이야기는 할머니의 기쁨이자 슬픔이었다.

<홍길동전>	</SS+홍길동전/NNP+>/SS
<사씨남정기>의	</SS+사씨남정기/NNP+>/SS+의/JKG
구슬픈	구슬프/VA+ㄴ/ETM
이야기는	이야기/NNG+는/JX
할머니의	할머니/NNG+의/JKG
기쁨이자	기쁨/NNG+이/VCP+자/EC
슬픔이었다.	슬픔/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000048.160.3.5
맑게, 때로는 구슬프게 읊어대던 그 소리는 경기잡가 가운데 ‘족보있는 소리’였다.

맑게,	맑/VA+게/EC+,/SP
때로는	때로/MAG+는/JX
구슬프게	구슬프/VA+게/EC
읊어대던	읊/VV+어/EC+대/VX+던/ETM
그	그/MMD
소리는	소리/NNG+는/JX
경기잡가	경기/NNP+잡가/NNG
가운데	가운데/NNG
‘족보있는	‘/SS+족보/NNG+있/VA+는/ETM
소리’였다.	소리/NNG+’/SS+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000048.160.3.6
바로 <삼설기>였다.

바로	바로/MAG
<삼설기>였다.	</SS+삼설기/NNP+>/SS+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000048.160.4.1
누구나 할 수 있을 것 같으면서도 함부로 흉내낼 수 없는 전통 소리 ‘삼설기의 대가’는 지난해 별세한 명창 묵계월이었다.

누구나	누구/NP+나/JX
할	하/VV+ㄹ/ETM
수	수/NNB
있을	있/VA+을/ETM
것	것/NNB
같으면서도	같/VA+으면서/EC+도/JX
함부로	함부로/MAG
흉내낼	흉내/NNG+내/VV+ㄹ/ETM
없는	없/VA+는/ETM
전통	전통/NNG
소리	소리/NNG
‘삼설기의	‘/SS+삼설기/NNP+의/JKG
대가’는	대가/NNG+’/SS+는/JX
지난해	지난해/NNG
별세한	별세/NNG+하/XSV+ㄴ/ETM
명창	명창/NNG
묵계월이었다.	묵계월/NNP+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000048.160.4.2
그런데 그를 계승한 이는 여자가 아닌 남자다.

그런데	그런데/MAJ
그를	그/NP+를/JKO
계승한	계승/NNG+하/XSV+ㄴ/ETM
이는	이/NNB+는/JX
여자가	여자/NNG+가/JKC
아닌	아니/VCN+ㄴ/ETM
남자다.	남자/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000048.160.4.3
‘서울시 무형문화재 제41호’ 송서율창 예능보유자인 유창(56)씨다.

‘서울시	‘/SS+서울시/NNP
무형문화재	무형/NNG+문화재/NNG
제41호’	제/XPN+41/SN+호/NNB+’/SS
송서율창	송서율창/NNG
예능보유자인	예능/NNG+보유자/NNG+이/VCP+ㄴ/ETM
유창(56)씨다.	유창/NNP+(/SS+56/SN+)/SS+씨/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000048.160.4.4
남성다운 성량과 기교, 그리고 독특한 창법을 개발한 소리꾼인 유씨는 묵계월로 부터 “타고난 소리꾼인데다, 늘 새로운 것을 배우고 익히려 애쓴다”며 칭찬을 받았다.

남성다운	남성/NNG+답/XSA+ㄴ/ETM
성량과	성량/NNG+과/JC
기교,	기교/NNG+,/SP
그리고	그리고/MAJ
독특한	독특/NNG+하/XSA+ㄴ/ETM
창법을	창법/NNG+을/JKO
개발한	개발/NNG+하/XSV+ㄴ/ETM
소리꾼인	소리/NNG+꾼/XSN+이/VCP+ㄴ/ETM
유씨는	유/NNP+씨/NNB+는/JX
묵계월로	묵계월/NNP+로/JKB
부터	부터/JX
