# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.250
metadata : {}


# id : NWRW1800000029.250.1.1
檢, 최재원 SK부회장 영장청구 방침

檢,	檢/SH+,/SP
최재원	최재원/NNP
SK부회장	SK/SL+부회장/NNG
영장청구	영장/NNG+청구/NNG
방침	방침/NNG


# id : NWRW1800000029.250.2.1
검찰이 SK 계열사 자금을 선물투자에 횡령한 혐의를 받고 있는 최재원 SK그룹 수석부회장(사진)에 대해 사전구속영장을 청구하기로 내부 방침을 정한 것으로 전해졌다.

검찰이	검찰/NNG+이/JKS
SK	SK/SL
계열사	계열사/NNG
자금을	자금/NNG+을/JKO
선물투자에	선물/NNG+투자/NNG+에/JKB
횡령한	횡령/NNG+하/XSV+ㄴ/ETM
혐의를	혐의/NNG+를/JKO
받고	받/VV+고/EC
있는	있/VX+는/ETM
최재원	최재원/NNP
SK그룹	SK그룹/NNP
수석부회장(사진)에	수석/NNG+부회장/NNG+(/SS+사진/NNG+)/SS+에/JKB
대해	대하/VV+아/EC
사전구속영장을	사전/NNG+구속/NNG+영장/NNG+을/JKO
청구하기로	청구/NNG+하/XSV+기/ETN+로/JKB
내부	내부/NNG
방침을	방침/NNG+을/JKO
정한	정하/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
전해졌다.	전하/VV+아/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000029.250.3.1
서울중앙지검 특별수사1부(부장 이중희)는 이날 특정경제범죄가중처벌법상 횡령 혐의로 최 부회장을 소환조사했다.

서울중앙지검	서울중앙지검/NNP
특별수사1부(부장	특별/NNG+수사/NNG+1/SN+부/NNG+(/SS+부장/NNG
이중희)는	이중희/NNP+)/SS+는/JX
이날	이날/NNG
특정경제범죄가중처벌법상	특정/NNG+경제/NNG+범죄/NNG+가중/NNG+처벌법/NNG+상/XSN
횡령	횡령/NNG
혐의로	혐의/NNG+로/JKB
최	최/NNP
부회장을	부회장/NNG+을/JKO
소환조사했다.	소환/NNG+조사/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.250.3.2
검찰이 8일 SK텔레콤 등 10여 곳을 압수수색한 지 23일 만이다.

검찰이	검찰/NNG+이/JKS
8일	8/SN+일/NNB
SK텔레콤	SK텔레콤/NNP
등	등/NNB
10여	10/SN+여/XSN
곳을	곳/NNG+을/JKO
압수수색한	압수/NNG+수색/NNG+하/XSV+ㄴ/ETM
지	지/NNB
23일	23/SN+일/NNB
만이다.	만/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000029.250.4.1
검찰은 최 부회장이 2008년경 SK텔레콤 등 5개 계열사가 창업투자사 베넥스인베스트먼트에 투자한 2800억 원 가운데 500억 원 규모의 펀드 투자금을 돈세탁을 거쳐 빼돌려 선물투자에 유용한 것으로 보고 있다.

검찰은	검찰/NNG+은/JX
최	최/NNP
부회장이	부회장/NNG+이/JKS
2008년경	2008/SN+년/NNB+경/XSN
SK텔레콤	SK텔레콤/NNP
등	등/NNB
5개	5/SN+개/NNB
계열사가	계열사/NNG+가/JKS
창업투자사	창업/NNG+투자사/NNG
베넥스인베스트먼트에	베넥스인베스트먼트/NNP+에/JKB
투자한	투자/NNG+하/XSV+ㄴ/ETM
2800억	2800/SN+억/NR
원	원/NNB
가운데	가운데/NNG
500억	500/SN+억/NR
규모의	규모/NNG+의/JKG
펀드	펀드/NNG
투자금을	투자금/NNG+을/JKO
돈세탁을	돈세탁/NNG+을/JKO
거쳐	거치/VV+어/EC
빼돌려	빼돌리/VV+어/EC
선물투자에	선물/NNG+투자/NNG+에/JKB
유용한	유용/NNG+하/XSA+ㄴ/ETM
것으로	것/NNB+으로/JKB
보고	보/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000029.250.4.2
최 부회장은 또 선물투자로 손실을 입자 이를 만회하는 데 이 돈을 유용한 과정을 주도한 혐의도 받고 있다.

최	최/NNP
부회장은	부회장/NNG+은/JX
또	또/MAG
선물투자로	선물/NNG+투자/NNG+로/JKB
손실을	손실/NNG+을/JKO
입자	입/VV+자/EC
이를	이/NP+를/JKO
만회하는	만회/NNG+하/XSV+는/ETM
데	데/NNB
이	이/MMD
돈을	돈/NNG+을/JKO
유용한	유용/NNG+하/XSA+ㄴ/ETM
과정을	과정/NNG+을/JKO
주도한	주도/NNG+하/XSV+ㄴ/ETM
혐의도	혐의/NNG+도/JX
받고	받/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000029.250.5.1
검찰은 이날 최 부회장을 상대로 SK계열사 자금 횡령에 개입했는지, 횡령 자금을 선물투자용으로 활용하는 데 최태원 SK그룹 회장의 지시는 없었는지 등을 조사했다.

검찰은	검찰/NNG+은/JX
이날	이날/NNG
최	최/NNP
부회장을	부회장/NNG+을/JKO
상대로	상대/NNG+로/JKB
SK계열사	SK/SL+계열사/NNG
자금	자금/NNG
횡령에	횡령/NNG+에/JKB
개입했는지,	개입/NNG+하/XSV+았/EP+는지/EC+,/SP
횡령	횡령/NNG
자금을	자금/NNG+을/JKO
선물투자용으로	선물/NNG+투자/NNG+용/XSN+으로/JKB
활용하는	활용/NNG+하/XSV+는/ETM
데	데/NNB
최태원	최태원/NNP
SK그룹	SK그룹/NNP
회장의	회장/NNG+의/JKG
지시는	지시/NNG+는/JX
없었는지	없/VA+었/EP+는지/EC
등을	등/NNB+을/JKO
조사했다.	조사/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.250.5.2
최 부회장은 선물투자에 사용된 회삿돈이 다시 해당 펀드 계좌에 되돌려진 사실 등을 근거로 혐의를 적극 부인한 것으로 전해졌다.

최	최/NNP
부회장은	부회장/NNG+은/JX
선물투자에	선물/NNG+투자/NNG+에/JKB
사용된	사용/NNG+되/XSV+ㄴ/ETM
회삿돈이	회삿돈/NNG+이/JKS
다시	다시/MAG
해당	해당/NNG
펀드	펀드/NNG
계좌에	계좌/NNG+에/JKB
되돌려진	되돌리/VV+어/EC+지/VX+ㄴ/ETM
사실	사실/NNG
등을	등/NNB+을/JKO
근거로	근거/NNG+로/JKB
혐의를	혐의/NNG+를/JKO
적극	적극/NNG
부인한	부인/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
전해졌다.	전하/VV+아/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000029.250.6.1
검찰은 최 부회장의 조사 결과를 검토한 뒤 2일이나 5일 사전구속영장을 청구할 것으로 알려졌다.

검찰은	검찰/NNG+은/JX
최	최/NNP
부회장의	부회장/NNG+의/JKG
조사	조사/NNG
결과를	결과/NNG+를/JKO
검토한	검토/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
2일이나	2/SN+일/NNB+이나/JX
