# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000053.125
metadata : {}


# id : NWRW1800000053.125.1.1
[책의 향기]인생은 때로 낯선 운명을 받아들이는 일

[책의	[/SS+책/NNG+의/JKG
향기]인생은	향기/NNG+]/SS+인생/NNG+은/JX
때로	때로/MAG
낯선	낯설/VA+ㄴ/ETM
운명을	운명/NNG+을/JKO
받아들이는	받아들이/VV+는/ETM
일	일/NNG


# id : NWRW1800000053.125.2.1
◇내 마음의 낯섦/오르한 파묵 지음·이난아 옮김/652쪽·1만6800원·민음사

◇내	◇/SW+나/NP+의/JKG
마음의	마음/NNG+의/JKG
낯섦/오르한	낯설/VA+ㅁ/ETN+//SP+오르한/NNP
파묵	파묵/NNP
지음·이난아	짓/VV+음/ETN+·/SP+이난아/NNP
옮김/652쪽·1만6800원·민음사	옮기/VV+ㅁ/ETN+//SP+652/SN+쪽/NNG+·/SP+1/SN+만/NR+6800/SN+원/NNB+·/SP+민음사/NNP


# id : NWRW1800000053.125.3.1
“나는 나 자신을 설명할 때 이스탄불을, 이스탄불을 설명할 때 나 자신을 설명한다.”

“나는	“/SS+나/NP+는/JX
나	나/NP
자신을	자신/NNG+을/JKO
설명할	설명/NNG+하/XSV+ㄹ/ETM
때	때/NNG
이스탄불을,	이스탄불/NNP+을/JKO+,/SP
이스탄불을	이스탄불/NNP+을/JKO
설명한다.”	설명/NNG+하/XSV+ㄴ다/EF+./SF+”/SS


# id : NWRW1800000053.125.4.1
노벨 문학상 수상 작가인 저자 오르한 파묵(사진)은 자신의 정체성을 자신이 나고 자란 터키 이스탄불에 대입해 말할 정도로 고향에 대한 애정이 각별하다.

노벨	노벨/NNP
문학상	문학상/NNG
수상	수상/NNG
작가인	작가/NNG+이/VCP+ㄴ/ETM
저자	저자/NNG
오르한	오르한/NNP
파묵(사진)은	파묵/NNP+(/SS+사진/NNG+)/SS+은/JX
자신의	자신/NNG+의/JKG
정체성을	정체/NNG+성/XSN+을/JKO
자신이	자신/NNG+이/JKS
나고	나/VV+고/EC
자란	자라/VV+ㄴ/ETM
터키	터키/NNP
이스탄불에	이스탄불/NNP+에/JKB
대입해	대입/NNG+하/XSV+아/EC
말할	말/NNG+하/XSV+ㄹ/ETM
정도로	정도/NNG+로/JKB
고향에	고향/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
애정이	애정/NNG+이/JKS
각별하다.	각별/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000053.125.4.2
그의 아홉 번째 신작 ‘내 마음의 낯섦(A Strangeness in My Mind)’의 배경 역시 이스탄불이다.

그의	그/NP+의/JKG
아홉	아홉/NR
번째	번/NNB+째/XSN
신작	신작/NNG
‘내	‘/SS+나/NP+의/JKG
마음의	마음/NNG+의/JKG
낯섦(A	낯설/VA+ㅁ/ETN+(/SS+A/SL
Strangeness	Strangeness/SL
in	in/SL
My	My/SL
Mind)’의	Mind/SL+)/SS+’/SS+의/JKG
배경	배경/NNG
역시	역시/MAG
이스탄불이다.	이스탄불/NNP+이/VCP+다/EF+./SF


# id : NWRW1800000053.125.4.3
