# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000025.19
metadata : {}


# id : NWRW1800000025.19.1.1
[커버스토리]나, 이래 봬도 쿠키 굽는 남자야∼

[커버스토리]나,	[/SS+커버스토리/NNG+]/SS+나/NP+,/SP
이래	이렇/VA+어/EC
봬도	뵈/VV+어도/EC
쿠키	쿠키/NNG
굽는	굽/VV+는/ETM
남자야∼	남자/NNG+이/VCP+야/EF+∼/SO


# id : NWRW1800000025.19.2.1
오븐은 오랜 세월 아내의 전유물이었다.

오븐은	오븐/NNG+은/JX
오랜	오랜/MMA
세월	세월/NNG
아내의	아내/NNG+의/JKG
전유물이었다.	전유물/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000025.19.2.2
이 땅의 많은 남편에게 오븐은 쓰임 자체가 관심이 없거나 설령 쓰임새를 알더라도 미국의 로맨틱 영화에 나오는 남성이나 쓸 것 같은 별로 친하고 싶지 않은 물건이었다.

이	이/MMD
땅의	땅/NNG+의/JKG
많은	많/VA+은/ETM
남편에게	남편/NNG+에게/JKB
오븐은	오븐/NNG+은/JX
쓰임	쓰임/NNG
자체가	자체/NNG+가/JKS
관심이	관심/NNG+이/JKS
없거나	없/VA+거나/EC
설령	설령/MAG
쓰임새를	쓰임새/NNG+를/JKO
알더라도	알/VV+더라도/EC
미국의	미국/NNP+의/JKG
로맨틱	로맨틱/NNG
영화에	영화/NNG+에/JKB
나오는	나오/VV+는/ETM
남성이나	남성/NNG+이나/JX
쓸	쓰/VV+ㄹ/ETM
것	것/NNB
같은	같/VA+은/ETM
별로	별로/MAG
친하고	친하/VA+고/EC
싶지	싶/VX+지/EC
않은	않/VX+은/ETM
물건이었다.	물건/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000025.19.2.3
하지만 이제 상황은 변했다.

하지만	하지만/MAJ
이제	이제/MAG
상황은	상황/NNG+은/JX
변했다.	변하/VV+았/EP+다/EF+./SF


# id : NWRW1800000025.19.2.4
홈베이킹(Home Baking)이 취미라고 당당하게 선언한 남성 집단의 등장으로 오븐은 아내와 남편이 공유하는 살림살이로 바뀌고 있다.

홈베이킹(Home	홈베이킹/NNG+(/SS+Home/SL
Baking)이	Baking/SL+)/SS+이/JKS
취미라고	취미/NNG+이/VCP+라고/EC
당당하게	당당/MAG+하/XSA+게/EC
선언한	선언/NNG+하/XSV+ㄴ/ETM
남성	남성/NNG
집단의	집단/NNG+의/JKG
등장으로	등장/NNG+으로/JKB
오븐은	오븐/NNG+은/JX
아내와	아내/NNG+와/JC
남편이	남편/NNG+이/JKS
공유하는	공유/NNG+하/XSV+는/ETM
살림살이로	살림살이/NNG+로/JKB
바뀌고	바뀌/VV+고/EC
있다.	있/VX+다/EF+./SF


