# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.201
metadata : {}


# id : NWRW1800000028.201.1.1
‘부자감세’ 논란 재점화 조짐

‘부자감세’	‘/SS+부자/NNG+감세/NNG+’/SS
논란	논란/NNG
재점화	재/XPN+점화/NNG
조짐	조짐/NNG


# id : NWRW1800000028.201.2.1
여당의 지방선거 완패로 이명박 정부의 경제정책 기조에 대한 비판이 거세지고 있는 가운데, 엠비(MB)노믹스 핵심 정책이었던 ‘부자감세’에 대한 논란이 다시 커질 것으로 보인다.

여당의	여당/NNG+의/JKG
지방선거	지방/NNG+선거/NNG
완패로	완패/NNG+로/JKB
이명박	이명박/NNP
정부의	정부/NNG+의/JKG
경제정책	경제/NNG+정책/NNG
기조에	기조/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
비판이	비판/NNG+이/JKS
거세지고	거세지/VV+고/EC
있는	있/VX+는/ETM
가운데,	가운데/NNG+,/SP
엠비(MB)노믹스	엠비/NNP+(/SS+MB/SL+)/SS+노믹스/NNG
핵심	핵심/NNG
정책이었던	정책/NNG+이/VCP+었/EP+던/ETM
‘부자감세’에	‘/SS+부자/NNG+감세/NNG+’/SS+에/JKB
논란이	논란/NNG+이/JKS
다시	다시/MAG
커질	커지/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000028.201.2.2
야당이 2012년 이후로 유예된 고소득층 소득세 인하안을 완전히 철회하는 안을 올해 국회에 제출하겠다는 방침인데다, 정부가 추진중인 종합부동산세(종부세)의 지방세 전환도 다주택자의 세 부담을 줄여 논란을 불러일으킬 가능성이 높기 때문이다.

야당이	야당/NNG+이/JKS
2012년	2012/SN+년/NNB
이후로	이후/NNG+로/JKB
유예된	유예/NNG+되/XSV+ㄴ/ETM
고소득층	고/XPN+소득/NNG+층/XSN
소득세	소득세/NNG
인하안을	인하안/NNG+을/JKO
완전히	완전히/MAG
철회하는	철회/NNG+하/XSV+는/ETM
안을	안/NNG+을/JKO
올해	올해/NNG
국회에	국회/NNG+에/JKB
제출하겠다는	제출/NNG+하/XSV+겠/EP+다는/ETM
방침인데다,	방침/NNG+이/VCP+ㄴ/ETM+데/NNB+다/JX+,/SP
정부가	정부/NNG+가/JKS
추진중인	추진/NNG+중/NNB+이/VCP+ㄴ/ETM
종합부동산세(종부세)의	종합/NNG+부동산세/NNG+(/SS+종부세/NNG+)/SS+의/JKG
지방세	지방세/NNG
전환도	전환/NNG+도/JX
다주택자의	다주택자/NNG+의/JKG
세	세/NNG
부담을	부담/NNG+을/JKO
줄여	줄이/VV+어/EC
논란을	논란/NNG+을/JKO
불러일으킬	불러일으키/VV+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
높기	높/VA+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000028.201.2.3
▶관련기사 4면

▶관련기사	▶/SW+관련/NNG+기사/NNG
4면	4/SN+면/NNG


# id : NWRW1800000028.201.3.1
16일 국회 기획재정위원회 민주당 간사인 이용섭 의원은 <한겨레>와의 통화에서 “2012년 시행으로 유예된 소득세·법인세 최고세율 인하를 철회하는 세법 개정안을 올해 정기국회에 제출할 방침”이라며 “내년에 개정해도 되지만, 정책은 예측가능성이 중요하기 때문에 되도록 빨리 수정하는 것이 낫다”고 밝혔다.

16일	16/SN+일/NNB
국회	국회/NNG
기획재정위원회	기획/NNG+재정/NNG+위원회/NNG
민주당	민주당/NNP
간사인	간사/NNG+이/VCP+ㄴ/ETM
이용섭	이용섭/NNP
의원은	의원/NNG+은/JX
