# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000048.409
metadata : {}


# id : NWRW1800000048.409.1.1
새누리, 공무원·국민연금 ‘연계처리’로 가닥

새누리,	새누리/NNP+,/SP
공무원·국민연금	공무원/NNG+·/SP+국민연금/NNG
‘연계처리’로	‘/SS+연계/NNG+처리/NNG+’/SS+로/JKB
가닥	가닥/NNG


# id : NWRW1800000048.409.2.1
김무성 “여야 합의 존중”

김무성	김무성/NNP
“여야	“/SS+여야/NNG
합의	합의/NNG
존중”	존중/NNG+”/SS


# id : NWRW1800000048.409.3.1
청와대 ‘분리 처리’ 요구 거부

청와대	청와대/NNP
‘분리	‘/SS+분리/NNG
처리’	처리/NNG+’/SS
요구	요구/NNG
거부	거부/NNG


# id : NWRW1800000048.409.4.1
‘50% 명문화’는 거듭 반대해

‘50%	‘/SS+50/SN+%/SW
명문화’는	명문/NNG+화/XSN+’/SS+는/JX
거듭	거듭/MAG
반대해	반대/NNG+하/XSV+아/EF


# id : NWRW1800000048.409.5.1
5월 임시국회 처리 미지수

5월	5/SN+월/NNB
임시국회	임시/NNG+국회/NNG
처리	처리/NNG
미지수	미지수/NNG


# id : NWRW1800000048.409.6.1
공무원연금법 개정안 처리가 무산된 이후 공식적인 일정을 자제해온 새누리당의 김무성 대표와 유승민 원내대표가 8일 당-청, 당내 갈등 수습을 시도하면서 야당과의 재협상 대비에 나섰다.

공무원연금법	공무원/NNG+연금법/NNG
개정안	개정안/NNG
처리가	처리/NNG+가/JKS
무산된	무산/NNG+되/XSV+ㄴ/ETM
이후	이후/NNG
공식적인	공식/NNG+적/XSN+이/VCP+ㄴ/ETM
일정을	일정/NNG+을/JKO
자제해온	자제/NNG+하/XSV+아/EC+오/VX+ㄴ/ETM
새누리당의	새누리당/NNP+의/JKG
김무성	김무성/NNP
대표와	대표/NNG+와/JC
유승민	유승민/NNP
원내대표가	원내/NNG+대표/NNG+가/JKS
8일	8/SN+일/NNB
당-청,	당-청/NNG+,/SP
당내	당내/NNG
갈등	갈등/NNG
수습을	수습/NNG+을/JKO
시도하면서	시도/NNG+하/XSV+면서/EC
야당과의	야당/NNG+과/JKB+의/JKG
재협상	재/XPN+협상/NNG
대비에	대비/NNG+에/JKB
나섰다.	나서/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.409.7.1
김무성 새누리당 대표는 이날 서울 은평구의 한 행사장에서 기자들과 만나 “저는 ‘5월2일 합의’(공무원연금·국민연금 개편안 연계 처리)가 존중되어야 한다고 생각한다”며 전날 청와대가 요구한 ‘청와대의 분리 처리’ 가능성을 일축했다.

김무성	김무성/NNP
새누리당	새누리당/NNP
대표는	대표/NNG+는/JX
이날	이날/NNG
서울	서울/NNP
은평구의	은평구/NNP+의/JKG
한	한/MMN
행사장에서	행사장/NNG+에서/JKB
기자들과	기자/NNG+들/XSN+과/JKB
만나	만나/VV+아/EC
“저는	“/SS+저/NP+는/JX
‘5월2일	‘/SS+5/SN+월/NNB+2/SN+일/NNB
합의’(공무원연금·국민연금	합의/NNG+’/SS+(/SS+공무원/NNG+연금/NNG+·/SP+국민연금/NNG
개편안	개편안/NNG
연계	연계/NNG
처리)가	처리/NNG+)/SS+가/JKS
존중되어야	존중/NNG+되/XSV+어야/EC
한다고	하/VX+ㄴ다고/EC
