# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.233
metadata : {}


# id : NWRW1800000028.233.1.1
‘고통의 시대’ 노래에 바치는 헌사

‘고통의	‘/SS+고통/NNG+의/JKG
시대’	시대/NNG+’/SS
노래에	노래/NNG+에/JKB
바치는	바치/VV+는/ETM
헌사	헌사/NNG


# id : NWRW1800000028.233.2.1
기타여 네가 말해다오 조용호 지음/문이당·1만1000원

기타여	기타/NNG+여/JKV
네가	네/NP+가/JKS
말해다오	말/NNG+하/XSV+아/EC+달/VX+오/EF
조용호	조용호/NNP
지음/문이당·1만1000원	짓/VV+음/ETN+//SP+문이당/NNP+·/SP+1/SN+만/NR+1000/SN+원/NNB


# id : NWRW1800000028.233.3.1
조용호(49)의 첫 장편 <기타여 네가 말해다오>는 노래의, 노래에 의한, 노래를 위한 소설이다.

조용호(49)의	조용호/NNP+(/SS+49/SN+)/SS+의/JKG
첫	첫/MMN
장편	장편/NNG
<기타여	</SS+기타/NNG+여/JKV
네가	네/NP+가/JKS
말해다오>는	말/NNG+하/XSV+아/EC+달/VX+오/EF+>/SS+는/JX
노래의,	노래/NNG+의/JKG+,/SP
노래에	노래/NNG+에/JKB
의한,	의하/VV+ㄴ/ETM+,/SP
노래를	노래/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
소설이다.	소설/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000028.233.4.1
책 제목부터가 라틴아메리카 누에바 칸시온(새로운 노래) 운동의 주역 가운데 한 사람인 아타우알파 유팡키의 노래 제목에서 왔다.

책	책/NNG
제목부터가	제목/NNG+부터/JX+가/JKS
라틴아메리카	라틴아메리카/NNP
누에바	누에바/NNP
칸시온(새로운	칸시온/NNP+(/SS+새롭/VA+ㄴ/ETM
노래)	노래/NNG+)/SS
운동의	운동/NNG+의/JKG
주역	주역/NNG
가운데	가운데/NNG
한	한/MMN
사람인	사람/NNG+이/VCP+ㄴ/ETM
아타우알파	아타우알파/NNP
유팡키의	유팡키/NNP+의/JKG
노래	노래/NNG
제목에서	제목/NNG+에서/JKB
왔다.	오/VV+았/EP+다/EF+./SF


# id : NWRW1800000028.233.4.2
이 노래 말고도 누에바 칸시온의 또다른 주역 비올레타 파라의 노래 <생에 감사드리며>(Gracias a la vida), 칠레 민중가수 빅토르 하라의 <선언>, 아르헨티나 가수 메르세데스 소사의 노래 <마리아가 간다>를 비롯해 우리의 1980년대 민중가요 <오월의 노래>와 <마른 잎 다시 살아나>, 전통가요 <타향살이> <애수의 소야곡>, 그리고 <오동동 타령>과 <진도 아리랑> 같은 민요까지 다양한 시대와 지역의 노래들이 소설 전편에 울려 퍼진다.

이	이/MMD
노래	노래/NNG
말고도	말/VV+고/EC+도/JX
누에바	누에바/NNP
칸시온의	칸시온/NNP+의/JKG
또다른	또/MAG+다른/MMD
주역	주역/NNG
비올레타	비올레타/NNP
파라의	파라/NNP+의/JKG
<생에	</SS+생/NNG+에/JKB
감사드리며>(Gracias	감사/NNG+드리/VV+며/EC+>/SS+(/SS+Gracias/SL
a	a/SL
la	la/SL
vida),	vida/SL+)/SS+,/SP
칠레	칠레/NNP
민중가수	민중가수/NNG
빅토르	빅토르/NNP
하라의	하라/NNP+의/JKG
<선언>,	</SS+선언/NNP+>/SS+,/SP
아르헨티나	아르헨티나/NNP
가수	가수/NNG
메르세데스	메르세데스/NNP
소사의	소사/NNP+의/JKG
<마리아가	</SS+마리아/NNP+가/JKS
간다>를	가/VV+ㄴ다/EF+>/SS+를/JKO
비롯해	비롯하/VV+아/EC
우리의	우리/NP+의/JKG
1980년대	1980/SN+년대/NNB
민중가요	민중가요/NNG
<오월의	</SS+오월/NNG+의/JKG
노래>와	노래/NNG+>/SS+와/JC
<마른	</SS+마르/VV+ㄴ/ETM
잎	잎/NNG
다시	다시/MAG
살아나>,	살아나/VV+아/EC+>/SS+,/SP
전통가요	전통/NNG+가요/NNG
<타향살이>	</SS+타향살이/NNG+>/SS
<애수의	</SS+애수/NNG+의/JKG
소야곡>,	소야곡/NNG+>/SS+,/SP
그리고	그리고/MAJ
<오동동	</SS+오동동/NNG
타령>과	타령/NNG+>/SS+과/JC
<진도	</SS+진도/NNP
아리랑>	아리랑/NNG+>/SS
같은	같/VA+은/ETM
민요까지	민요/NNG+까지/JX
다양한	다양/NNG+하/XSA+ㄴ/ETM
시대와	시대/NNG+와/JC
지역의	지역/NNG+의/JKG
노래들이	노래/NNG+들/XSN+이/JKS
소설	소설/NNG
전편에	전편/NNG+에/JKB
울려	울리/VV+어/EC
퍼진다.	퍼지/VV+ㄴ다/EF+./SF


# id : NWRW1800000028.233.5.1
80년대 대학 시절 민요패 동료였던 노래꾼 연우가 ‘나’에게 비망록을 남긴 채 사라진다.

80년대	80/SN+년대/NNB
대학	대학/NNG
시절	시절/NNG
민요패	민요/NNG+패/NNG
동료였던	동료/NNG+이/VCP+었/EP+던/ETM
노래꾼	노래꾼/NNG
연우가	연우/NNP+가/JKS
‘나’에게	‘/SS+나/NP+’/SS+에게/JKB
비망록을	비망록/NNG+을/JKO
남긴	남기/VV+ㄴ/ETM
채	채/NNB
사라진다.	사라지/VV+ㄴ다/EF+./SF


# id : NWRW1800000028.233.5.2
‘나’는 민요패 후배이자 연우의 아내인 승미와 함께 비망록을 근거로 연우의 흔적을 좇는다.

‘나’는	‘/SS+나/NP+’/SS+는/JX
민요패	민요/NNG+패/NNG
후배이자	후배/NNG+이/VCP+자/EC
연우의	연우/NNP+의/JKG
아내인	아내/NNG+이/VCP+ㄴ/ETM
승미와	승미/NNP+와/JKB
함께	함께/MAG
비망록을	비망록/NNG+을/JKO
근거로	근거/NNG+로/JKB
흔적을	흔적/NNG+을/JKO
좇는다.	좇/VV+는다/EF+./SF


# id : NWRW1800000028.233.5.3
연우의 고향인 남쪽 소읍에서부터 성남 모란시장, 강화, 그리고 남미 칠레의 산티아고와 발파라이소까지.

연우의	연우/NNP+의/JKG
고향인	고향/NNG+이/VCP+ㄴ/ETM
남쪽	남쪽/NNG
소읍에서부터	소읍/NNG+에서부터/JKB
성남	성남/NNP
모란시장,	모란시장/NNP+,/SP
강화,	강화/NNP+,/SP
그리고	그리고/MAJ
남미	남미/NNP
칠레의	칠레/NNP+의/JKG
산티아고와	산티아고/NNP+와/JC
발파라이소까지.	발파라이소/NNP+까지/JX+./SF


# id : NWRW1800000028.233.5.4
그 과정에서 역시 민요패에서 잠깐 함께 활동했던 수수께끼의 여인 선화가 연우의 실종과 관련되어 있다는 사실이 드러난다.

그	그/MMD
과정에서	과정/NNG+에서/JKB
역시	역시/MAG
민요패에서	민요/NNG+패/NNG+에서/JKB
잠깐	잠깐/MAG
함께	함께/MAG
활동했던	활동/NNG+하/XSV+았/EP+던/ETM
수수께끼의	수수께끼/NNG+의/JKG
여인	여인/NNG
선화가	선화/NNP+가/JKS
연우의	연우/NNP+의/JKG
실종과	실종/NNG+과/JKB
관련되어	관련/NNG+되/XSV+어/EC
있다는	있/VX+다는/ETM
사실이	사실/NNG+이/JKS
드러난다.	드러나/VV+ㄴ다/EF+./SF


# id : NWRW1800000028.233.5.5
두 사람이 연우의 실종 이유와 행방을 추적하는 현재, 그리고 연우와 선화 사이의 운명적 사랑과 엇갈림의 역사가 씨줄과 날줄이 되어 가슴 시린 노래 소설 한 편을 직조해 낸다.

두	두/MMN
사람이	사람/NNG+이/JKS
연우의	연우/NNP+의/JKG
실종	실종/NNG
이유와	이유/NNG+와/JC
행방을	행방/NNG+을/JKO
추적하는	추적/NNG+하/XSV+는/ETM
현재,	현재/NNG+,/SP
그리고	그리고/MAJ
연우와	연우/NNP+와/JC
선화	선화/NNP
사이의	사이/NNG+의/JKG
운명적	운명/NNG+적/XSN
사랑과	사랑/NNG+과/JC
엇갈림의	엇갈림/NNG+의/JKG
역사가	역사/NNG+가/JKS
씨줄과	씨줄/NNG+과/JC
날줄이	날줄/NNG+이/JKC
되어	되/VV+어/EC
가슴	가슴/NNG
시린	시리/VA+ㄴ/ETM
노래	노래/NNG
소설	소설/NNG
한	한/MMN
편을	편/NNB+을/JKO
직조해	직조/NNG+하/XSV+아/EC
낸다.	내/VX+ㄴ다/EF+./SF


# id : NWRW1800000028.233.6.1
소설은 연우의 비망록과, 그 비망록을 안내자 삼아 연우의 행적을 좇는 ‘나’와 승미의 동선이 교차되는 방식으로 짜였다.

소설은	소설/NNG+은/JX
연우의	연우/NNP+의/JKG
비망록과,	비망록/NNG+과/JC+,/SP
그	그/MMD
비망록을	비망록/NNG+을/JKO
안내자	안내자/NNG
삼아	삼/VV+아/EC
행적을	행적/NNG+을/JKO
좇는	좇/VV+는/ETM
‘나’와	‘/SS+나/NP+’/SS+와/JC
승미의	승미/NNP+의/JKG
동선이	동선/NNG+이/JKS
교차되는	교차/NNG+되/XSV+는/ETM
방식으로	방식/NNG+으로/JKB
짜였다.	짜이/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.233.6.2
프롤로그 격인 첫 장에서 ‘나’는 연우로 짐작되는 사내가 눈 쌓인 계곡 바위 위에서 김지하의 시로 만든 노래 <빈 산>을 부르다가 추락하는 꿈을 꾼다.

프롤로그	프롤로그/NNG
격인	격/NNB+이/VCP+ㄴ/ETM
첫	첫/MMN
장에서	장/NNG+에서/JKB
‘나’는	‘/SS+나/NP+’/SS+는/JX
연우로	연우/NNP+로/JKB
짐작되는	짐작/NNG+되/XSV+는/ETM
사내가	사내/NNG+가/JKS
눈	눈/NNG
쌓인	쌓이/VV+ㄴ/ETM
계곡	계곡/NNG
바위	바위/NNG
위에서	위/NNG+에서/JKB
김지하의	김지하/NNP+의/JKG
시로	시/NNG+로/JKB
만든	만들/VV+ㄴ/ETM
노래	노래/NNG
<빈	</SS+비/VV+ㄴ/ETM
산>을	산/NNG+>/SS+을/JKO
부르다가	부르/VV+다가/EC
추락하는	추락/NNG+하/XSV+는/ETM
꿈을	꿈/NNG+을/JKO
꾼다.	꾸/VV+ㄴ다/EF+./SF


# id : NWRW1800000028.233.6.3
그 꿈은 비올레타 파라의 노래 <생에 감사드리며>를 언급하며 그에게 맡겨 온 연우의 비망록을 떠오르게 하고, 이어서 ‘나’와 연우와 승미가 처음 만났던 대학 시절로 독자를 데려간다.

그	그/MMD
꿈은	꿈/NNG+은/JX
비올레타	비올레타/NNP
파라의	파라/NNP+의/JKG
노래	노래/NNG
<생에	</SS+생/NNG+에/JKB
감사드리며>를	감사/NNG+드리/VV+며/EC+>/SS+를/JKO
언급하며	언급/NNG+하/XSV+며/EC
그에게	그/NP+에게/JKB
맡겨	맡기/VV+어/EC
온	오/VX+ㄴ/ETM
연우의	연우/NNP+의/JKG
비망록을	비망록/NNG+을/JKO
떠오르게	떠오르/VV+게/EC
하고,	하/VX+고/EC+,/SP
이어서	잇/VV+어서/EC
‘나’와	‘/SS+나/NP+’/SS+와/JC
연우와	연우/NNP+와/JC
승미가	승미/NNP+가/JKS
처음	처음/NNG
만났던	만나/VV+았/EP+던/ETM
대학	대학/NNG
시절로	시절/NNG+로/JKB
독자를	독자/NNG+를/JKO
데려간다.	데려가/VV+ㄴ다/EF+./SF


# id : NWRW1800000028.233.7.1
“봄볕 내리는 날 뜨거운 바람 부는 날/ 붉은 꽃잎 져 흩어지고 꽃향기 머무는 날/ 묘비 없는 죽음에 커다란 이름 드리오/ 여기 죽지 않은 목숨에 이 노래 드리오/ 사랑이여 내 사랑이여”

“봄볕	“/SS+봄볕/NNG
내리는	내리/VV+는/ETM
날	날/NNG
뜨거운	뜨겁/VA+ㄴ/ETM
바람	바람/NNG
부는	불/VV+는/ETM
날/	날/NNG+//SP
붉은	붉/VA+은/ETM
꽃잎	꽃잎/NNG
져	지/VV+어/EC
흩어지고	흩어지/VV+고/EC
꽃향기	꽃향기/NNG
머무는	머물/VV+는/ETM
묘비	묘비/NNG
없는	없/VA+는/ETM
죽음에	죽음/NNG+에/JKB
커다란	커다랗/VA+ㄴ/ETM
이름	이름/NNG
드리오/	드리/VV+오/EF+//SP
여기	여기/NP
죽지	죽/VV+지/EC
않은	않/VX+은/ETM
목숨에	목숨/NNG+에/JKB
이	이/MMD
노래	노래/NNG
사랑이여	사랑/NNG+이여/JKV
내	나/NP+의/JKG
사랑이여”	사랑/NNG+이여/JKV+”/SS


# id : NWRW1800000028.233.8.1
학생회관 무대에서 느린 기타 반주에 맞추어 호소력 짙은 목소리로 <오월의 노래>를 부르던 승미의 모습이 ‘나’에게는 “온몸의 신경을 저릿하게 마비시키는 듯했다.”

학생회관	학생회관/NNG
무대에서	무대/NNG+에서/JKB
느린	느리/VA+ㄴ/ETM
기타	기타/NNG
반주에	반주/NNG+에/JKB
맞추어	맞추/VV+어/EC
호소력	호소력/NNG
짙은	짙/VA+은/ETM
목소리로	목소리/NNG+로/JKB
<오월의	</SS+오월/NNG+의/JKG
노래>를	노래/NNG+>/SS+를/JKO
부르던	부르/VV+던/ETM
승미의	승미/NNP+의/JKG
모습이	모습/NNG+이/JKS
‘나’에게는	‘/SS+나/NP+’/SS+에게/JKB+는/JX
“온몸의	“/SS+온몸/NNG+의/JKG
신경을	신경/NNG+을/JKO
저릿하게	저릿하/VA+게/EC
마비시키는	마비/NNG+시키/XSV+는/ETM
듯했다.”	듯/NNB+하/XSA+았/EP+다/EF+./SF+”/SS


# id : NWRW1800000028.233.8.2
문제는 공연 뒤풀이에 ‘나’와 함께 참석해 <빈 산>을 부른 연우에게 승미가 반했다는 사실이다.

문제는	문제/NNG+는/JX
공연	공연/NNG
뒤풀이에	뒤풀이/NNG+에/JKB
‘나’와	‘/SS+나/NP+’/SS+와/JC
함께	함께/MAG
참석해	참석/NNG+하/XSV+아/EC
<빈	</SS+비/VV+ㄴ/ETM
산>을	산/NNG+>/SS+을/JKO
부른	부르/VV+ㄴ/ETM
연우에게	연우/NNP+에게/JKB
승미가	승미/NNP+가/JKS
반했다는	반하/VV+았/EP+다는/ETM
사실이다.	사실/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000028.233.8.3
학내 노래패의 프리마 돈나와 프리모 우오모(주역 남자 가수)였던 승미와 연우는 곧 연인 관계로 발전하고, ‘나’는 승미에 대한 연정을 애써 눌러 감춘 채 그들 곁을 맴돈다.

학내	학내/NNG
노래패의	노래패/NNG+의/JKG
프리마	프리마/NNG
돈나와	돈나/NNG+와/JC
프리모	프리모/NNG
우오모(주역	우오모/NNG+(/SS+주역/NNG
남자	남자/NNG
