# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000037.200
metadata : {}


# id : NWRW1800000037.200.1.1
딸보다 어린 여중생과 성매매 파렴치 공무원 “사랑하는 사이”

딸보다	딸/NNG+보다/JKB
어린	어리/VA+ㄴ/ETM
여중생과	여중/NNG+생/XSN+과/JKB
성매매	성매매/NNG
파렴치	파렴치/NNG
공무원	공무원/NNG
“사랑하는	“/SS+사랑/NNG+하/XSV+는/ETM
사이”	사이/NNG+”/SS


# id : NWRW1800000037.200.2.1
신분-나이 속여 35세 총각행세… 채팅 여중생과 8차례 성관계원조교제 할때마다 1만~5만원 건네… 청소년상담센터서 경찰에 신고

신분-나이	신분/NNG+-/SO+나이/NNG
속여	속이/VV+어/EC
35세	35/SN+세/NNB
총각행세…	총각/NNG+행세/NNG+…/SE
채팅	채팅/NNG
여중생과	여중/NNG+생/XSN+과/JKB
8차례	8/SN+차례/NNG
성관계원조교제	성관계/NNG+원조/NNG+교제/NNG
할때마다	하/VV+ㄹ/ETM+때/NNG+마다/JX
1만~5만원	1/SN+만/NR+~/SO+5/SN+만/NR+원/NNB
건네…	건네/VV+어/EC+…/SE
청소년상담센터서	청소년/NNG+상담/NNG+센터/NNG+서/JKB
경찰에	경찰/NNG+에/JKB
신고	신고/NNG


# id : NWRW1800000037.200.3.1
10대 여중생과 성매매를 한 파렴치한 40대 후반 공무원이 적발됐다.

10대	10/SN+대/NNB
여중생과	여중/NNG+생/XSN+과/JKB
성매매를	성매매/NNG+를/JKO
한	하/VV+ㄴ/ETM
파렴치한	파렴치/NNG+하/XSA+ㄴ/ETM
40대	40/SN+대/NNB
후반	후반/NNG
공무원이	공무원/NNG+이/JKS
적발됐다.	적발/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000037.200.4.1
전남의 한 자치단체 6급 공무원인 A 씨(48)는 지난해 8월 스마트폰으로 중학생 B 양(15)과 채팅을 시작했다.

전남의	전남/NNP+의/JKG
한	한/MMN
자치단체	자치/NNG+단체/NNG
6급	6/SN+급/NNG
공무원인	공무원/NNG+이/VCP+ㄴ/ETM
A	A/SL
씨(48)는	씨/NNB+(/SS+48/SN+)/SS+는/JX
지난해	지난해/NNG
8월	8/SN+월/NNB
스마트폰으로	스마트폰/NNG+으로/JKB
중학생	중학/NNG+생/XSN
B	B/SL
양(15)과	양/NNB+(/SS+15/SN+)/SS+과/JKB
채팅을	채팅/NNG+을/JKO
시작했다.	시작/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.200.4.2
나이는 35세로 속였다.

나이는	나이/NNG+는/JX
35세로	35/SN+세/NNB+로/JKB
속였다.	속이/VV+었/EP+다/EF+./SF


# id : NWRW1800000037.200.4.3
A 씨는 일주일간 B 양과 카카오톡으로 메시지를 주고받고 통화도 했다.

A	A/SL
씨는	씨/NNB+는/JX
일주일간	일주일/NNG+간/XSN
B	B/SL
양과	양/NNB+과/JKB
카카오톡으로	카카오톡/NNP+으로/JKB
메시지를	메시지/NNG+를/JKO
주고받고	주고받/VV+고/EC
통화도	통화/NNG+도/JX
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000037.200.4.4
A 씨는 전화를 걸 때 휴대전화번호를 가상번호로 바꿔 주는 서비스를 활용해 실제 번호를 숨겼다.

A	A/SL
씨는	씨/NNB+는/JX
전화를	전화/NNG+를/JKO
걸	걸/VV+ㄹ/ETM
때	때/NNG
휴대전화번호를	휴대/NNG+전화번호/NNG+를/JKO
가상번호로	가상/NNG+번호/NNG+로/JKB
바꿔	바꾸/VV+어/EC
주는	주/VX+는/ETM
서비스를	서비스/NNG+를/JKO
활용해	활용/NNG+하/XSV+아/EC
실제	실제/NNG
번호를	번호/NNG+를/JKO
숨겼다.	숨기/VV+었/EP+다/EF+./SF


# id : NWRW1800000037.200.4.5
그러면서 월급 150만 원을 받는 건축설계사무소 사무원으로 자신을 소개했다.

그러면서	그러/VV+면서/EC
월급	월급/NNG
150만	150/SN+만/NR
원을	원/NNB+을/JKO
받는	받/VV+는/ETM
건축설계사무소	건축/NNG+설계/NNG+사무소/NNG
사무원으로	사무원/NNG+으로/JKB
자신을	자신/NNG+을/JKO
소개했다.	소개/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.200.4.6
실제로는 대학생 딸과 고교생 아들을 키우는 이혼남이었지만 총각이라고 했다.

실제로는	실제로/MAG+는/JX
대학생	대학/NNG+생/XSN
딸과	딸/NNG+과/JC
고교생	고교/NNG+생/XSN
