# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.347
metadata : {}


# id : NWRW1800000030.347.1.1
"보좌관 죄송… 거취 고민 중" 고개숙인 형님

"보좌관	"/SS+보좌관/NNG
죄송…	죄송/XR+…/SE
거취	거취/NNG
고민	고민/NNG
중"	중/NNB+"/SS
고개숙인	고개/NNG+숙이/VV+ㄴ/ETM
형님	형/NNG+님/XSN


# id : NWRW1800000030.347.2.1
•이상득 의원 사과문 발표, 지역구 행사 일일이 챙기다가 "염치가 없다"며 급상경"

•이상득	•/SW+이상득/NNP
의원	의원/NNG
사과문	사과문/NNG
발표,	발표/NNG+,/SP
지역구	지역구/NNG
행사	행사/NNG
일일이	일일이/MAG
챙기다가	챙기/VV+다가/EC
"염치가	"/SS+염치/NNG+가/JKS
없다"며	없/VA+다/EF+"/SS+며/EC
급상경"	급상경/NNG+"/SS


# id : NWRW1800000030.347.3.1
이상득 한나라당 의원은 9일 자신의 보좌관이 SLS그룹 이국철 회장으로부터 억대의 금품을 받은 혐의로 전날 체포된 데 대해 "이유 여하를 막론하고 보좌관을 잘못 관리한 도의적인 책임을 크게 느끼고 있다"며 "국민 여러분께 죄송하다"는 사과문을 발표했다.

이상득	이상득/NNP
한나라당	한나라당/NNP
의원은	의원/NNG+은/JX
9일	9/SN+일/NNB
자신의	자신/NNG+의/JKG
보좌관이	보좌관/NNG+이/JKS
SLS그룹	SLS그룹/NNP
이국철	이국철/NNP
회장으로부터	회장/NNG+으로부터/JKB
억대의	억/NR+대/XSN+의/JKG
금품을	금품/NNG+을/JKO
받은	받/VV+은/ETM
혐의로	혐의/NNG+로/JKB
전날	전날/NNG
체포된	체포/NNG+되/XSV+ㄴ/ETM
데	데/NNB
대해	대하/VV+아/EC
"이유	"/SS+이유/NNG
여하를	여하/NNG+를/JKO
막론하고	막론하/VV+고/EC
보좌관을	보좌관/NNG+을/JKO
잘못	잘못/MAG
관리한	관리/NNG+하/XSV+ㄴ/ETM
도의적인	도의/NNG+적/XSN+이/VCP+ㄴ/ETM
책임을	책임/NNG+을/JKO
크게	크/VA+게/EC
느끼고	느끼/VV+고/EC
있다"며	있/VX+다/EF+"/SS+며/EC
"국민	"/SS+국민/NNG
여러분께	여러분/NP+께/JKB
죄송하다"는	죄송하/VA+다/EF+"/SS+는/ETM
사과문을	사과문/NNG+을/JKO
발표했다.	발표/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.347.4.1
이명박 대통령의 친형인 이 의원은 "보좌관의 불미스러운 사건에 대해 뜬눈으로 밤을 지새웠다. 할 말을 잃었고 정말 송구스러운 마음을 금할 수 없다"며 "검찰이 철저한 수사를 통해 진실을 밝혀주시길 바란다"고 했다.

이명박	이명박/NNP
대통령의	대통령/NNG+의/JKG
친형인	친형/NNG+이/VCP+ㄴ/ETM
이	이/NNP
의원은	의원/NNG+은/JX
"보좌관의	"/SS+보좌관/NNG+의/JKG
불미스러운	불미/NNG+스럽/XSA+ㄴ/ETM
사건에	사건/NNG+에/JKB
대해	대하/VV+아/EC
뜬눈으로	뜬눈/NNG+으로/JKB
밤을	밤/NNG+을/JKO
지새웠다.	지새우/VV+었/EP+다/EF+./SF
할	하/VV+ㄹ/ETM
말을	말/NNG+을/JKO
잃었고	잃/VV+었/EP+고/EC
정말	정말/MAG
송구스러운	송구스럽/VA+ㄴ/ETM
