# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.250
metadata : {}


# id : NWRW1800000054.250.1.1
서른셋 린지 본, 스키 세계선수권 銅… 역대 최고령 메달

서른셋	서른셋/NR
린지	린지/NNP
본,	본/NNP+,/SP
스키	스키/NNG
세계선수권	세계/NNG+선수/NNG+권/XSN
銅…	銅/SH+…/SE
역대	역대/NNG
최고령	최/XPN+고령/NNG
메달	메달/NNG


# id : NWRW1800000054.250.2.1
"금메달 같은 동메달이네요!"

"금메달	"/SS+금메달/NNG
같은	같/VA+은/ETM
동메달이네요!"	동메달/NNG+이/VCP+네/EF+요/JX+!/SF+"/SS


# id : NWRW1800000054.250.3.1
'스키 여제' 린지 본(33·미국·사진)이 세계 대회에서 3위를 기록하고도 활짝 웃었다.

'스키	'/SS+스키/NNG
여제'	여제/NNG+'/SS
린지	린지/NNP
본(33·미국·사진)이	본/NNP+(/SS+33/SN+·/SP+미국/NNP+·/SP+사진/NNG+)/SS+이/JKS
세계	세계/NNG
대회에서	대회/NNG+에서/JKB
3위를	3/SN+위/NNB+를/JKO
기록하고도	기록/NNG+하/XSV+고/EC+도/JX
활짝	활짝/MAG
웃었다.	웃/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.250.3.2
그는 12일(현지 시각) 열린 FIS(국제스키연맹) 알파인스키 세계선수권대회(스위스 생모리츠) 활강 여자 경기에서 1분33초30으로 동메달을 따냈다.

그는	그/NP+는/JX
12일(현지	12/SN+일/NNB+(/SS+현지/NNG
시각)	시각/NNG+)/SS
열린	열리/VV+ㄴ/ETM
FIS(국제스키연맹)	FIS/SL+(/SS+국제스키연맹/NNP+)/SS
알파인스키	알파인/NNG+스키/NNG
세계선수권대회(스위스	세계/NNG+선수/NNG+권/XSN+대회/NNG+(/SS+스위스/NNP
생모리츠)	생모리츠/NNP+)/SS
활강	활강/NNG
여자	여자/NNG
경기에서	경기/NNG+에서/JKB
1분33초30으로	1/SN+분/NNB+33/SN+초/NNB+30/SN+으로/JKB
동메달을	동메달/NNG+을/JKO
따냈다.	따내/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.250.3.3
정확히 32세 117일의 나이로 메달을 딴 린지 본은 알파인스키 세계선수권 여자 최고령 메달리스트가 됐다.

정확히	정확히/MAG
32세	32/SN+세/NNB
117일의	117/SN+일/NNB+의/JKG
나이로	나이/NNG+로/JKB
메달을	메달/NNG+을/JKO
딴	따/VV+ㄴ/ETM
린지	린지/NNP
본은	본/NNP+은/JX
알파인스키	알파인/NNG+스키/NNG
세계선수권	세계/NNG+선수/NNG+권/XSN
여자	여자/NNG
최고령	최/XPN+고령/NNG
메달리스트가	메달리스트/NNG+가/JKC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.250.3.4
'신예' 일카 슈투헤츠(27·슬로베니아)가 1분32초85로 우승했다.

'신예'	'/SS+신예/NNG+'/SS
일카	일카/NNP
슈투헤츠(27·슬로베니아)가	슈투헤츠/NNP+(/SS+27/SN+·/SP+슬로베니아/NNP+)/SS+가/JKS
1분32초85로	1/SN+분/NNB+32/SN+초/NNB+85/SN+로/JKB
우승했다.	우승/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.250.4.1
본은 최고령 기록보다 부상 회복 이후 꾸준한 성적을 내고 있는 데에 더 큰 의미를 뒀다.

본은	본/NNP+은/JX
최고령	최/XPN+고령/NNG
기록보다	기록/NNG+보다/JKB
부상	부상/NNG
회복	회복/NNG
이후	이후/NNG
꾸준한	꾸준하/VA+ㄴ/ETM
성적을	성적/NNG+을/JKO
내고	내/VV+고/EC
있는	있/VX+는/ETM
데에	데/NNB+에/JKB
더	더/MAG
큰	크/VA+ㄴ/ETM
의미를	의미/NNG+를/JKO
뒀다.	두/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.250.4.2
지난해 2월 왼쪽 무릎 골절상을 당했던 본은 지난해 11월엔 오른팔이 부러져 시즌 직전까지도 회복에 더 신경을 썼다.

지난해	지난해/NNG
