# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.366
metadata : {}


# id : NWRW1800000026.366.1.1
불법학습장으로 장사하는 대학들;KBS2 '추적 60분'

불법학습장으로	불법/NNG+학습장/NNG+으로/JKB
장사하는	장사/NNG+하/XSV+는/ETM
대학들;KBS2	대학/NNG+들/XSN+;/SW+KBS/SL+2/SN
'추적	'/SS+추적/NNG
60분'	60/SN+분/NNB+'/SS


# id : NWRW1800000026.366.2.1
일부 지방대학교들이 불법학습장을 개설하고 학위 장사를 벌이고 있다는 의혹이 제기됐다.

일부	일부/NNG
지방대학교들이	지방/NNG+대/XPN+학교/NNG+들/XSN+이/JKS
불법학습장을	불법/NNG+학습장/NNG+을/JKO
개설하고	개설/NNG+하/XSV+고/EC
학위	학위/NNG
장사를	장사/NNG+를/JKO
벌이고	벌이/VV+고/EC
있다는	있/VX+다는/ETM
의혹이	의혹/NNG+이/JKS
제기됐다.	제기/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000026.366.3.1
KBS2 TV '추적 60분'은 10일 밤 11시 15분 '위기의 대학, 불법학습장을 아십니까?

KBS2	KBS/SL+2/SN
TV	TV/SL
'추적	'/SS+추적/NNG
60분'은	60/SN+분/NNB+'/SS+은/JX
10일	10/SN+일/NNB
밤	밤/NNG
11시	11/SN+시/NNB
15분	15/SN+분/NNB
'위기의	'/SS+위기/NNG+의/JKG
대학,	대학/NNG+,/SP
불법학습장을	불법/NNG+학습장/NNG+을/JKO
아십니까?	알/VV+시/EP+ㅂ니까/EF+?/SF


# id : NWRW1800000026.366.3.2
'를 통해 일부 지방 사립대학들이 아동복지센터, 폐교, 교회 등 다양한 장소에서 불법학습장을 운영하고 있다는 내용을 방송할 예정이다.

'를	'/SS+를/JKO
통해	통하/VV+아/EC
일부	일부/NNG
지방	지방/NNG
사립대학들이	사립/NNG+대학/NNG+들/XSN+이/JKS
