# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000052.260
metadata : {}


# id : NWRW1800000052.260.1.1
제2의 이대사태…‘제2캠퍼스’ 설립 내홍 겪는 대학가

제2의	제/XPN+2/SN+의/JKG
이대사태…‘제2캠퍼스’	이대/NNP+사태/NNG+…/SE+‘/SS+제/XPN+2/SN+캠퍼스/NNG+’/SS
설립	설립/NNG
내홍	내홍/NNG
겪는	겪/VV+는/ETM
대학가	대학가/NNG


# id : NWRW1800000052.260.2.1
[한겨레] 서울의 주요 대학들이 ‘제2캠퍼스’ 설립과 캠퍼스 이전을 추진하는 문제로 내홍을 겪고 있다.

[한겨레]	[/SS+한겨레/NNP+]/SS
서울의	서울/NNP+의/JKG
주요	주요/NNG
대학들이	대학/NNG+들/XSN+이/JKS
‘제2캠퍼스’	‘/SS+제/XPN+2/SN+캠퍼스/NNG+’/SS
설립과	설립/NNG+과/JC
캠퍼스	캠퍼스/NNG
이전을	이전/NNG+을/JKO
추진하는	추진/NNG+하/XSV+는/ETM
문제로	문제/NNG+로/JKB
내홍을	내홍/NNG+을/JKO
겪고	겪/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000052.260.3.1
시흥캠퍼스 설립을 두고 학내 구성원들 사이에서 의견이 갈리고 있는 서울대의 경우 사태가 장기화 국면에 접어들고 있다.

시흥캠퍼스	시흥/NNP+캠퍼스/NNG
설립을	설립/NNG+을/JKO
두고	두/VV+고/EC
학내	학내/NNG
구성원들	구성원/NNG+들/XSN
사이에서	사이/NNG+에서/JKB
의견이	의견/NNG+이/JKS
갈리고	갈리/VV+고/EC
있는	있/VX+는/ETM
서울대의	서울대/NNP+의/JKG
경우	경우/NNG
사태가	사태/NNG+가/JKS
장기화	장기/NNG+화/XSN
국면에	국면/NNG+에/JKB
접어들고	접어들/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000052.260.3.2
시흥캠퍼스 사업 철회를 요구하며 본관을 점거 중인 서울대 총학생회와 학생들은 20일 본관 앞에서 문화행사인 ‘본부스탁’ 개최를 불허하는 학교를 규탄하는 기자회견을 열어 또 다른 갈등을 예고했다.

시흥캠퍼스	시흥/NNP+캠퍼스/NNG
사업	사업/NNG
철회를	철회/NNG+를/JKO
요구하며	요구/NNG+하/XSV+며/EC
본관을	본관/NNG+을/JKO
점거	점거/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
서울대	서울대/NNP
총학생회와	총학생회/NNG+와/JC
학생들은	학생/NNG+들/XSN+은/JX
20일	20/SN+일/NNB
본관	본관/NNG
앞에서	앞/NNG+에서/JKB
문화행사인	문화/NNG+행사/NNG+이/VCP+ㄴ/ETM
‘본부스탁’	‘/SS+본부/NNG+스탁/NNG+’/SS
개최를	개최/NNG+를/JKO
불허하는	불허/NNG+하/XSV+는/ETM
학교를	학교/NNG+를/JKO
규탄하는	규탄/NNG+하/XSV+는/ETM
기자회견을	기자/NNG+회견/NNG+을/JKO
열어	열/VV+어/EC
또	또/MAG
다른	다른/MMD
갈등을	갈등/NNG+을/JKO
예고했다.	예고/NNG+하/XSV+았/EP+다/EF+./SF


