# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.365
metadata : {}


# id : NWRW1800000030.365.1.1
[수도권] 구로 1동~경인로 연결도로 개통

[수도권]	[/SS+수도/NNG+권/XSN+]/SS
구로	구로/NNP
1동~경인로	1/SN+동/NNG+~/SO+경인로/NNP
연결도로	연결/NNG+도로/NNG
개통	개통/NNG


# id : NWRW1800000030.365.2.1
•서부간선 우회 안해도 돼

•서부간선	•/SW+서부간선/NNP
우회	우회/NNG
안해도	안/MAG+하/VV+아도/EC
돼	되/VV+어/EC


# id : NWRW1800000030.365.3.1
경인철도에 가로막혀 차량으로 직행할 수 없었던 '구로1동~경인로' 구간 도로가 28일 자정부터 개통된다.

경인철도에	경인철도/NNP+에/JKB
가로막혀	가로막히/VV+어/EC
차량으로	차량/NNG+으로/JKB
직행할	직행/NNG+하/XSV+ㄹ/ETM
수	수/NNB
없었던	없/VA+었/EP+던/ETM
'구로1동~경인로'	'/SS+구로1동/NNP+~/SO+경인로/NNP+'/SS
구간	구간/NNG
도로가	도로/NNG+가/JKS
28일	28/SN+일/NNB
자정부터	자정/NNG+부터/JX
개통된다.	개통/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000030.365.3.2
그동안 구로1동 지역은 철도에 가로막혀 주민들이 큰 불편을 겪어왔다.

그동안	그동안/NNG
구로1동	구로1동/NNP
지역은	지역/NNG+은/JX
철도에	철도/NNG+에/JKB
가로막혀	가로막히/VV+어/EC
주민들이	주민/NNG+들/XSN+이/JKS
큰	크/VA+ㄴ/ETM
불편을	불편/NNG+을/JKO
겪어왔다.	겪/VV+어/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000030.365.4.1
지금까지는 구로1동에서 여의도나 강남 등 서울의 다른 지역으로 이동하려면 경인로를 이용해야 하는데, 경인로와 이어지는 연계도로가 없어 서부간선도로로 우회해야만 했다.

지금까지는	지금/NNG+까지/JX+는/JX
구로1동에서	구로1동/NNP+에서/JKB
여의도나	여의도/NNP+나/JC
강남	강남/NNP
등	등/NNB
서울의	서울/NNP+의/JKG
다른	다른/MMD
지역으로	지역/NNG+으로/JKB
이동하려면	이동/NNG+하/XSV+려면/EC
경인로를	경인로/NNP+를/JKO
이용해야	이용/NNG+하/XSV+아야/EC
하는데,	하/VX+는데/EC+,/SP
경인로와	경인로/NNP+와/JKB
이어지는	이어지/VV+는/ETM
연계도로가	연계/NNG+도로/NNG+가/JKS
없어	없/VA+어/EC
서부간선도로로	서부간선도로/NNP+로/JKB
우회해야만	우회/NNG+하/XSV+아야만/EC
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000030.365.5.1
이 구간에는 경인철도 밑으로 폭 2m의 보행도로만 있어 자동차는 통행할 수 없었다.

이	이/MMD
구간에는	구간/NNG+에/JKB+는/JX
경인철도	경인철도/NNP
밑으로	밑/NNG+으로/JKB
폭	폭/NNG
2m의	2/SN+m/SW+의/JKG
보행도로만	보행/NNG+도로/NNG+만/JX
있어	있/VA+어/EC
자동차는	자동차/NNG+는/JX
통행할	통행/NNG+하/XSV+ㄹ/ETM
수	수/NNB
없었다.	없/VA+었/EP+다/EF+./SF


# id : NWRW1800000030.365.5.2
지난 2004년 인근에 대형마트와 물류창고가 생기면서 2차선 도로가 생겼지만 철도에 막혀 진입만 가능한 반쪽짜리 도로였다.

지난	지나/VV+ㄴ/ETM
2004년	2004/SN+년/NNB
인근에	인근/NNG+에/JKB
대형마트와	대형/NNG+마트/NNG+와/JC
물류창고가	물류/NNG+창고/NNG+가/JKS
생기면서	생기/VV+면서/EC
2차선	2/SN+차선/NNG
도로가	도로/NNG+가/JKS
생겼지만	생기/VV+었/EP+지만/EC
철도에	철도/NNG+에/JKB
막혀	막히/VV+어/EC
진입만	진입/NNG+만/JX
가능한	가능/NNG+하/XSA+ㄴ/ETM
반쪽짜리	반쪽/NNG+짜리/XSN
도로였다.	도로/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000030.365.5.3
구로1동 지역에서 경인로까지는 짧게는 50m에서 최대 2㎞의 멀지 않은 거리인데도, 상습 정체구역인 서부간선도로를 멀리 돌아 이용하면서 20~30분 정도의 시간이 걸렸다.

구로1동	구로1동/NNP
지역에서	지역/NNG+에서/JKB
