# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.377
metadata : {}


# id : NWRW1800000033.377.1.1
민주, 환호도 잠시… 역풍 걱정 모드로

민주,	민주/NNP+,/SP
환호도	환호/NNG+도/JX
잠시…	잠시/NNG+…/SE
역풍	역풍/NNG
걱정	걱정/NNG
모드로	모드/NNG+로/JKB


# id : NWRW1800000033.377.2.1
文 “安후보에게 정중한 예우 갖추겠다”

文	文/SH
“安후보에게	“/SS+安/SH+후보/NNG+에게/JKB
정중한	정중하/VA+ㄴ/ETM
예우	예우/NNG
갖추겠다”	갖추/VV+겠/EP+다/EF+”/SS


# id : NWRW1800000033.377.3.1
“안철수 후보님과 안 후보님을 지지하시는 분들께 진심으로 미안합니다.”

“안철수	“/SS+안철수/NNP
후보님과	후보/NNG+님/XSN+과/JC
안	안/NNP
후보님을	후보/NNG+님/XSN+을/JKO
지지하시는	지지/NNG+하/XSV+시/EP+는/ETM
분들께	분/NNB+들/XSN+께/JKB
진심으로	진심/NNG+으로/JKB
미안합니다.”	미안/NNG+하/XSA+ㅂ니다/EF+./SF+”/SS


# id : NWRW1800000033.377.4.1
무소속 안철수 대선후보의 전격 사퇴로 야권 단일후보가 된 민주통합당 문재인 후보는 23일 오후 8시 48분 트위터를 통해 이 같은 심경을 밝혔다.

무소속	무/XPN+소속/NNG
안철수	안철수/NNP
대선후보의	대선/NNG+후보/NNG+의/JKG
전격	전격/NNG
사퇴로	사퇴/NNG+로/JKB
야권	야권/NNG
단일후보가	단일/NNG+후보/NNG+가/JKC
된	되/VV+ㄴ/ETM
민주통합당	민주통합당/NNP
문재인	문재인/NNP
후보는	후보/NNG+는/JX
23일	23/SN+일/NNB
오후	오후/NNG
8시	8/SN+시/NNB
48분	48/SN+분/NNB
트위터를	트위터/NNP+를/JKO
통해	통하/VV+아/EC
이	이/MMD
같은	같/VA+은/ETM
심경을	심경/NNG+을/JKO
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.377.4.2
이 한 줄에는 그동안 단일화 방식과 여론조사 세부 방법을 놓고 안 후보를 강하게 압박하면서 고뇌했던 문 후보의 심정이 그대로 담긴 것으로 보인다.

이	이/MMD
한	한/MMN
줄에는	줄/NNG+에/JKB+는/JX
그동안	그동안/NNG
단일화	단일/NNG+화/XSN
방식과	방식/NNG+과/JC
여론조사	여론/NNG+조사/NNG
세부	세부/NNG
방법을	방법/NNG+을/JKO
놓고	놓/VV+고/EC
안	안/NNP
후보를	후보/NNG+를/JKO
강하게	강하/VA+게/EC
압박하면서	압박/NNG+하/XSV+면서/EC
고뇌했던	고뇌/NNG+하/XSV+았/EP+던/ETM
문	문/NNP
후보의	후보/NNG+의/JKG
심정이	심정/NNG+이/JKS
그대로	그대로/MAG
담긴	담기/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000033.377.4.3
문 후보는 집에서 TV를 통해 기자회견을 직접 본 뒤 이 글을 썼다.

문	문/NNP
후보는	후보/NNG+는/JX
집에서	집/NNG+에서/JKB
TV를	TV/SL+를/JKO
통해	통하/VV+아/EC
기자회견을	기자/NNG+회견/NNG+을/JKO
직접	직접/MAG
본	보/VV+ㄴ/ETM
뒤	뒤/NNG
이	이/MMD
글을	글/NNG+을/JKO
썼다.	쓰/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.377.5.1
이날 안 후보가 갑작스럽게 사퇴를 선언한 직후 문 후보 캠프는 놀라움과 흥분으로 가득했다.

이날	이날/NNG
안	안/NNP
후보가	후보/NNG+가/JKS
갑작스럽게	갑작스럽/VA+게/EC
사퇴를	사퇴/NNG+를/JKO
선언한	선언/NNG+하/XSV+ㄴ/ETM
직후	직후/NNG
문	문/NNP
후보	후보/NNG
캠프는	캠프/NNG+는/JX
놀라움과	놀라움/NNG+과/JC
흥분으로	흥분/NNG+으로/JKB
가득했다.	가득/MAG+하/XSA+았/EP+다/EF+./SF


# id : NWRW1800000033.377.5.2
특히 안 후보가 기자회견에서 “단일후보는 문재인”이라고 선언하는 순간 서울 영등포구 민주당사에서는 “와∼!” 하는 함성이 터져 나오기도 했다.

특히	특히/MAG
안	안/NNP
후보가	후보/NNG+가/JKS
기자회견에서	기자/NNG+회견/NNG+에서/JKB
“단일후보는	“/SS+단일/NNG+후보/NNG+는/JX
문재인”이라고	문재인/NNP+”/SS+이라고/JKQ
선언하는	선언/NNG+하/XSV+는/ETM
순간	순간/NNG
서울	서울/NNP
영등포구	영등포구/NNP
민주당사에서는	민주당사/NNP+에서/JKB+는/JX
“와∼!”	“/SS+와/IC+∼/SO+!/SF+”/SS
하는	하/VV+는/ETM
함성이	함성/NNG+이/JKS
터져	터지/VV+어/EC
나오기도	나오/VV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000033.377.6.1
하지만 이내 역풍을 걱정하는 분위기로 바뀌었다.

하지만	하지만/MAJ
이내	이내/MAG
역풍을	역풍/NNG+을/JKO
걱정하는	걱정/NNG+하/XSV+는/ETM
분위기로	분위기/NNG+로/JKB
바뀌었다.	바뀌/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.377.6.2
안 후보의 결단이 돋보이면서 문 후보는 상대적으로 ‘협상력 부족’ ‘양보하지 않는 구태정치 이미지’ 등을 덮어쓰게 됐다는 점에서다.

안	안/NNP
후보의	후보/NNG+의/JKG
결단이	결단/NNG+이/JKS
돋보이면서	돋보이/VV+면서/EC
문	문/NNP
후보는	후보/NNG+는/JX
상대적으로	상대/NNG+적/XSN+으로/JKB
‘협상력	‘/SS+협상력/NNG
