# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.217
metadata : {}


# id : NWRW1800000022.217.1.1
[PD수첩 수사 발표] "지엽적 부분만 문제삼아" 조능희 책임프로듀서

[PD수첩	[/SS+PD/SL+수첩/NNG
수사	수사/NNG
발표]	발표/NNG+]/SS
"지엽적	"/SS+지엽/NNG+적/XSN
부분만	부분/NNG+만/JX
문제삼아"	문제/NNG+삼/VV+아/EF+"/SS
조능희	조능희/NNP
책임프로듀서	책임/NNG+프로듀서/NNG


# id : NWRW1800000022.217.2.1
PD수첩의 책임프로듀서였던 조능희 MBC PD는 18일 기자회견을 열고 "검찰이 지엽적인 부분만을 문제 삼아 전체 방송을 허위로 몰았다"며 "충분한 준비 없이 미국산 쇠고기를 수입하려는 정부의 외교통상 정책에 대한 비판이 보도의 취지였다"고 말했다.

PD수첩의	PD/SL+수첩/NNG+의/JKG
책임프로듀서였던	책임/NNG+프로듀서/NNG+이/VCP+었/EP+던/ETM
조능희	조능희/NNP
MBC	MBC/SL
PD는	PD/SL+는/JX
18일	18/SN+일/NNB
기자회견을	기자/NNG+회견/NNG+을/JKO
열고	열/VV+고/EC
"검찰이	"/SS+검찰/NNG+이/JKS
지엽적인	지엽/NNG+적/XSN+이/VCP+ㄴ/ETM
부분만을	부분/NNG+만/JX+을/JKO
문제	문제/NNG
삼아	삼/VV+아/EC
전체	전체/NNG
방송을	방송/NNG+을/JKO
허위로	허위/NNG+로/JKB
몰았다"며	몰/VV+았/EP+다/EF+"/SS+며/EC
"충분한	"/SS+충분하/VA+ㄴ/ETM
준비	준비/NNG
없이	없이/MAG
미국산	미국/NNP+산/XSN
쇠고기를	쇠고기/NNG+를/JKO
수입하려는	수입/NNG+하/XSV+려는/ETM
정부의	정부/NNG+의/JKG
외교통상	외교/NNG+통상/NNG
정책에	정책/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
비판이	비판/NNG+이/JKS
보도의	보도/NNG+의/JKG
취지였다"고	취지/NNG+이/VCP+었/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.217.3.1
검찰이 지인과 주고받은 이메일을 공개한 김은희 작가는 미디어오늘과 인터뷰에서 "사석에서 수다를 한 것이나 마찬가지인 것까지 법적 수사대상으로 삼아 검토하고 범죄의 증거로 보느냐"고 검찰을 비판했다.

검찰이	검찰/NNG+이/JKS
지인과	지인/NNG+과/JKB
주고받은	주고받/VV+은/ETM
이메일을	이메일/NNG+을/JKO
공개한	공개/NNG+하/XSV+ㄴ/ETM
김은희	김은희/NNP
작가는	작가/NNG+는/JX
미디어오늘과	미디어오늘/NNP+과/JKB
인터뷰에서	인터뷰/NNG+에서/JKB
"사석에서	"/SS+사석/NNG+에서/JKB
수다를	수다/NNG+를/JKO
한	하/VV+ㄴ/ETM
것이나	것/NNB+이나/JX
마찬가지인	마찬가지/NNG+이/VCP+ㄴ/ETM
것까지	것/NNB+까지/JX
법적	법/NNG+적/XSN
수사대상으로	수사/NNG+대상/NNG+으로/JKB
삼아	삼/VV+아/EC
검토하고	검토/NNG+하/XSV+고/EC
범죄의	범죄/NNG+의/JKG
증거로	증거/NNG+로/JKB
보느냐"고	보/VV+느냐/EF+"/SS+고/JKQ
검찰을	검찰/NNG+을/JKO
비판했다.	비판/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.217.4.1
MBC 노조도 "검찰의 짜맞추기, 밀어붙이기 수사 결과가 나왔다"며 "제작진의 사전 모의가 있었는지, 어떻게 공조했는지 그 어떤 증거도 제시하지 못한 채, 검찰의 짜맞추기 수사를 위해서 개인의 인권과 사생활을 아무렇지도 않게 내팽개쳤다"고 말했다.

MBC	MBC/SL
노조도	노조/NNG+도/JX
"검찰의	"/SS+검찰/NNG+의/JKG
짜맞추기,	짜/VV+아/EC+맞추/VV+기/ETN+,/SP
밀어붙이기	밀어붙이기/NNG
수사	수사/NNG
결과가	결과/NNG+가/JKS
나왔다"며	나오/VV+았/EP+다/EF+"/SS+며/EC
"제작진의	"/SS+제작진/NNG+의/JKG
사전	사전/NNG
모의가	모의/NNG+가/JKS
있었는지,	있/VA+었/EP+는지/EC+,/SP
어떻게	어떻/VA+게/EC
공조했는지	공조/NNG+하/XSV+았/EP+는지/EC
그	그/MMD
어떤	어떤/MMD
증거도	증거/NNG+도/JX
제시하지	제시/NNG+하/XSV+지/EC
못한	못하/VX+ㄴ/ETM
채,	채/NNB+,/SP
검찰의	검찰/NNG+의/JKG
짜맞추기	짜/VV+아/EC+맞추/VV+기/ETN
수사를	수사/NNG+를/JKO
위해서	위하/VV+아서/EC
개인의	개인/NNG+의/JKG
인권과	인권/NNG+과/JC
사생활을	사생활/NNG+을/JKO
아무렇지도	아무렇/VA+지/EC+도/JX
않게	않/VX+게/EC
내팽개쳤다"고	내팽개치/VV+었/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


