# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.65
metadata : {}


# id : NWRW1800000026.65.1.1
[제주·서울] 제주 자연산 전복, 멸종위기?;고성·신양 등 자연산 채취 2% 미만… 개발로 인한 흙탕물이 원인

[제주·서울]	[/SS+제주/NNP+·/SP+서울/NNP+]/SS
제주	제주/NNP
자연산	자연/NNG+산/XSN
전복,	전복/NNG+,/SP
멸종위기?;고성·신양	멸종/NNG+위기/NNG+?/SF+;/SW+고성/NNP+·/SP+신양/NNP
등	등/NNB
채취	채취/NNG
2%	2/SN+%/SW
미만…	미만/NNG+…/SE
개발로	개발/NNG+로/JKB
인한	인/NNG+하/XSV+ㄴ/ETM
흙탕물이	흙탕물/NNG+이/JKS
원인	원인/NNG


# id : NWRW1800000026.65.2.1
제주 바다에서 자연산 전복이 거의 사라지고 있는 것으로 나타났다.

제주	제주/NNP
바다에서	바다/NNG+에서/JKB
자연산	자연/NNG+산/XSN
전복이	전복/NNG+이/JKS
거의	거의/MAG
사라지고	사라지/VV+고/EC
있는	있/VX+는/ETM
것으로	것/NNB+으로/JKB
나타났다.	나타나/VV+았/EP+다/EF+./SF


# id : NWRW1800000026.65.3.1
제주도 해양수산자원 연구원은 23일 서귀포시 성산읍 고성·신양리, 제주시 구좌읍 평대리, 애월읍 애월리 등 양식 전복 종묘를 방류한 3개 마을 공동어장의 수심 5m 안팎을 대상으로 지난달 해녀들이 1회에 2~3시간씩 1~2차례 시험조업한 결과를 밝혔다.

제주도	제주도/NNP
해양수산자원	해양/NNG+수산/NNG+자원/NNG
연구원은	연구원/NNG+은/JX
23일	23/SN+일/NNB
서귀포시	서귀포시/NNP
성산읍	성산읍/NNP
고성·신양리,	고성/NNP+·/SP+신양리/NNP+,/SP
제주시	제주시/NNP
구좌읍	구좌읍/NNP
평대리,	평대리/NNP+,/SP
애월읍	애월읍/NNP
애월리	애월리/NNP
등	등/NNB
양식	양식/NNG
전복	전복/NNG
종묘를	종묘/NNG+를/JKO
방류한	방류/NNG+하/XSV+ㄴ/ETM
3개	3/SN+개/NNB
마을	마을/NNG
공동어장의	공동/NNG+어장/NNG+의/JKG
수심	수심/NNG
5m	5/SN+m/SW
안팎을	안팎/NNG+을/JKO
대상으로	대상/NNG+으로/JKB
지난달	지난달/NNG
해녀들이	해녀/NNG+들/XSN+이/JKS
1회에	1/SN+회/NNB+에/JKB
2~3시간씩	2/SN+~/SO+3/SN+시간/NNB+씩/XSN
1~2차례	1/SN+~/SO+2/SN+차례/NNG
시험조업한	시험/NNG+조업/NNG+하/XSV+ㄴ/ETM
결과를	결과/NNG+를/JKO
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.65.3.2
그 결과 채취한 전복 가운데 자연산 전복이 차지하는 비율이 2% 미만에 그치는 것으로 조사됐다.

그	그/MMD
결과	결과/NNG
채취한	채취/NNG+하/XSV+ㄴ/ETM
전복	전복/NNG
가운데	가운데/NNG
자연산	자연/NNG+산/XSN
전복이	전복/NNG+이/JKS
차지하는	차지/NNG+하/XSV+는/ETM
