# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.371
metadata : {}


# id : NWRW1800000049.371.1.1
세번째 ‘분노의 주말’… 경기교육청, 중고생 참여 독려 논란

세번째	세/MMN+번/NNB+째/XSN
‘분노의	‘/SS+분노/NNG+의/JKG
주말’…	주말/NNG+’/SS+…/SE
경기교육청,	경기교육청/NNP+,/SP
중고생	중/NNG+고/NNG+생/XSN
참여	참여/NNG
독려	독려/NNG
논란	논란/NNG


# id : NWRW1800000049.371.2.1
[최순실 게이트]12일 서울도심 대규모 촛불집회 학교에 ‘의사표현 징계 지양’ 공문… 교육부는 “공문 취소하라고 못해” 전교조 출신 주도하는 청소년단체… 전국서 학생 실어나를 버스 운행 경찰, 도심행진 조건부 허용… 주최측 “경복궁역 삼거리까지 갈것”

[최순실	[/SS+최순실/NNP
게이트]12일	게이트/NNG+]/SS+12/SN+일/NNB
서울도심	서울/NNP+도심/NNG
대규모	대/XPN+규모/NNG
촛불집회	촛불/NNG+집회/NNG
학교에	학교/NNG+에/JKB
‘의사표현	‘/SS+의사/NNG+표현/NNG
징계	징계/NNG
지양’	지양/NNG+’/SS
공문…	공문/NNG+…/SE
교육부는	교육부/NNG+는/JX
“공문	“/SS+공문/NNG
취소하라고	취소/NNG+하/XSV+라고/EC
못해”	못/MAG+하/VV+아/EF+”/SS
전교조	전교조/NNP
출신	출신/NNG
주도하는	주도/NNG+하/XSV+는/ETM
청소년단체…	청소년/NNG+단체/NNG+…/SE
전국서	전국/NNG+서/JKB
학생	학생/NNG
실어나를	싣/VV+어/EC+나르/VV+ㄹ/ETM
버스	버스/NNG
운행	운행/NNG
경찰,	경찰/NNG+,/SP
도심행진	도심/NNG+행진/NNG
조건부	조건/NNG+부/XSN
허용…	허용/NNG+…/SE
주최측	주최/NNG+측/NNB
“경복궁역	“/SS+경복궁역/NNP
삼거리까지	삼거리/NNG+까지/JX
갈것”	가/VV+ㄹ/ETM+것/NNB+”/SS


# id : NWRW1800000049.371.3.1
정국의 분수령이 될 12일 민중총궐기 집회에는 1, 2차 집회와 달리 노동단체 등이 대규모로 참가할 예정이어서 과연 평화 시위 기조가 유지될지 관심이 쏠린다.

정국의	정국/NNG+의/JKG
분수령이	분수령/NNG+이/JKC
될	되/VV+ㄹ/ETM
12일	12/SN+일/NNB
민중총궐기	민중/NNG+총궐기/NNG
집회에는	집회/NNG+에/JKB+는/JX
1,	1/SN+,/SP
2차	2/SN+차/NNB
집회와	집회/NNG+와/JKB
달리	달리/MAG
노동단체	노동/NNG+단체/NNG
등이	등/NNB+이/JKS
대규모로	대/XPN+규모/NNG+로/JKB
참가할	참가/NNG+하/XSV+ㄹ/ETM
예정이어서	예정/NNG+이/VCP+어서/EC
과연	과연/MAG
평화	평화/NNG
시위	시위/NNG
기조가	기조/NNG+가/JKS
유지될지	유지/NNG+되/XSV+ㄹ지/EC
관심이	관심/NNG+이/JKS
쏠린다.	쏠리/VV+ㄴ다/EF+./SF


# id : NWRW1800000049.371.4.1
또 집회에는 전국에서 중고교생까지 대거 모일 것으로 예상돼 교육계도 긴장하고 있다.

또	또/MAG
집회에는	집회/NNG+에/JKB+는/JX
전국에서	전국/NNG+에서/JKB
중고교생까지	중고교/NNG+생/XSN+까지/JX
대거	대거/MAG
모일	모이/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
예상돼	예상/NNG+되/XSV+어/EC
교육계도	교육/NNG+계/XSN+도/JX
긴장하고	긴장/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000049.371.4.2
그런데 경기도교육청은 11일 각 학교에 사실상 학생의 집회 참여를 독려하는 공문을 보내 논란이 일고 있다.

그런데	그런데/MAJ
경기도교육청은	경기도교육청/NNP+은/JX
11일	11/SN+일/NNB
각	각/MMD
학교에	학교/NNG+에/JKB
사실상	사실/NNG+상/XSN
학생의	학생/NNG+의/JKG
집회	집회/NNG
참여를	참여/NNG+를/JKO
독려하는	독려/NNG+하/XSV+는/ETM
공문을	공문/NNG+을/JKO
보내	보내/VV+어/EC
논란이	논란/NNG+이/JKS
일고	일/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000049.371.4.3
