# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000044.386
metadata : {}


# id : NWRW1800000044.386.1.1
공무원연금, 65살로 지급시기 5년 늦춘다

공무원연금,	공무원/NNG+연금/NNG+,/SP
65살로	65/SN+살/NNB+로/JKB
지급시기	지급/NNG+시기/NNG
5년	5/SN+년/NNB
늦춘다	늦추/VV+ㄴ다/EF


# id : NWRW1800000044.386.2.1
[한겨레] 새누리, 개편안 발표…공무원노조 강력 반발

[한겨레]	[/SS+한겨레/NNP+]/SS
새누리,	새누리/NNP+,/SP
개편안	개편안/NNG
발표…공무원노조	발표/NNG+…/SE+공무원/NNG+노조/NNG
강력	강력/NNG
반발	반발/NNG


# id : NWRW1800000044.386.3.1
더 내고 덜 받게…고위직은 더 많이 깎는 방식

더	더/MAG
내고	내/VV+고/EC
덜	덜/MAG
받게…고위직은	받/VV+게/EC+…/SE+고위직/NNG+은/JX
많이	많이/MAG
깎는	깎/VV+는/ETM
방식	방식/NNG


# id : NWRW1800000044.386.4.1
새누리당이 ‘하후상박’ 원칙을 내세우며 고위직 공무원의 연금 수급액을 더 많이 깎고, 연금 지급 시기를 현행 60살에서 65살로 5년 늦추는 내용을 뼈대로 한 공무원연금 개편안을 내놨다.

새누리당이	새누리당/NNP+이/JKS
‘하후상박’	‘/SS+하후상박/NNG+’/SS
원칙을	원칙/NNG+을/JKO
내세우며	내세우/VV+며/EC
고위직	고위직/NNG
공무원의	공무원/NNG+의/JKG
연금	연금/NNG
수급액을	수급액/NNG+을/JKO
더	더/MAG
많이	많이/MAG
깎고,	깎/VV+고/EC+,/SP
지급	지급/NNG
시기를	시기/NNG+를/JKO
현행	현행/NNG
60살에서	60/SN+살/NNB+에서/JKB
65살로	65/SN+살/NNB+로/JKB
5년	5/SN+년/NNB
늦추는	늦추/VV+는/ETM
내용을	내용/NNG+을/JKO
뼈대로	뼈대/NNG+로/JKB
한	하/VV+ㄴ/ETM
공무원연금	공무원/NNG+연금/NNG
개편안을	개편안/NNG+을/JKO
내놨다.	내놓/VV+았/EP+다/EF+./SF


# id : NWRW1800000044.386.4.2
공무원노조 등은 “공무원의 일방적인 희생만을 강요하는 새누리당안을 절대 수용할 수 없다”며 “총파업을 포함한 모든 수단을 동원해 총력투쟁에 나설 것”이라고 강력 반발했다.

공무원노조	공무원/NNG+노조/NNG
등은	등/NNB+은/JX
“공무원의	“/SS+공무원/NNG+의/JKG
일방적인	일방/NNG+적/XSN+이/VCP+ㄴ/ETM
희생만을	희생/NNG+만/JX+을/JKO
강요하는	강요/NNG+하/XSV+는/ETM
새누리당안을	새누리당/NNP+안/NNG+을/JKO
절대	절대/MAG
수용할	수용/NNG+하/XSV+ㄹ/ETM
수	수/NNB
없다”며	없/VA+다/EF+”/SS+며/EC
“총파업을	“/SS+총파업/NNG+을/JKO
포함한	포함/NNG+하/XSV+ㄴ/ETM
모든	모든/MMN
수단을	수단/NNG+을/JKO
동원해	동원/NNG+하/XSV+아/EC
총력투쟁에	총력/NNG+투쟁/NNG+에/JKB
나설	나서/VV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
강력	강력/NNG
