# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.334
metadata : {}


# id : NWRW1800000038.334.1.1
朴당선인·文위원장 오늘 첫 만남… 주제는 北核

朴당선인·文위원장	朴/SH+당선인/NNG+·/SP+文/SH+위원장/NNG
오늘	오늘/MAG
첫	첫/MMN
만남…	만남/NNG+…/SE
주제는	주제/NNG+는/JX
北核	北核/SH


# id : NWRW1800000038.334.2.1
당선 50일 만에 여야 대표와 3자 회동… 국가지도자연석회의로 이어질지 주목

당선	당선/NNG
50일	50/SN+일/NNB
만에	만/NNB+에/JKB
여야	여야/NNG
대표와	대표/NNG+와/JC
3자	3/SN+자/NNB
회동…	회동/NNG+…/SE
국가지도자연석회의로	국가/NNG+지도자/NNG+연석회의/NNG+로/JKB
이어질지	이어지/VV+ㄹ지/EC
주목	주목/NNG


# id : NWRW1800000038.334.3.1
박근혜 대통령 당선인이 6일 북한의 핵실험 논의를 위한 긴급회의를 야당에 제의하고 야당이 즉각 수용했다.

박근혜	박근혜/NNP
대통령	대통령/NNG
당선인이	당선인/NNG+이/JKS
6일	6/SN+일/NNB
북한의	북한/NNP+의/JKG
핵실험	핵/NNG+실험/NNG
논의를	논의/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
긴급회의를	긴급회의/NNG+를/JKO
야당에	야당/NNG+에/JKB
제의하고	제의/NNG+하/XSV+고/EC
야당이	야당/NNG+이/JKS
즉각	즉각/MAG
수용했다.	수용/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.334.3.2
이에 따라 7일 오후 2시 국회에서 박 당선인과 황우여 새누리당 대표, 문희상 민주통합당 비상대책위원장이 회동을 갖기로 했다.

이에	이/NP+에/JKB
따라	따르/VV+아/EC
7일	7/SN+일/NNB
오후	오후/NNG
2시	2/SN+시/NNB
국회에서	국회/NNG+에서/JKB
박	박/NNP
당선인과	당선인/NNG+과/JC
황우여	황우여/NNP
새누리당	새누리당/NNP
대표,	대표/NNG+,/SP
문희상	문희상/NNP
민주통합당	민주통합당/NNP
비상대책위원장이	비상/NNG+대책/NNG+위원장/NNG+이/JKS
