# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.14
metadata : {}


# id : NWRW1800000026.14.1.1
[태평로] '파파리치(부자 아빠)' 자식들이 피우는 돈의 악취

[태평로]	[/SS+태평로/NNP+]/SS
'파파리치(부자	'/SS+파파/NNG+리치/NNG+(/SS+부자/NNG
아빠)'	아빠/NNG+)/SS+'/SS
자식들이	자식/NNG+들/XSN+이/JKS
피우는	피우/VV+는/ETM
돈의	돈/NNG+의/JKG
악취	악취/NNG


# id : NWRW1800000026.14.2.1
한 달 용돈으로 2000만원을 쓰고, 한 번에 2억원어치를 쇼핑하며, 30년짜리 양주만 마신다는 20대 부자 2세들의 리얼리티 프로그램 '파파리치'가 논란을 빚다가 결국 방송 보류됐다.

한	한/MMN
달	달/NNB
용돈으로	용돈/NNG+으로/JKB
2000만원을	2000/SN+만/NR+원/NNB+을/JKO
쓰고,	쓰/VV+고/EC+,/SP
번에	번/NNB+에/JKB
2억원어치를	2/SN+억/NR+원/NNB+어치/XSN+를/JKO
쇼핑하며,	쇼핑/NNG+하/XSV+며/EC+,/SP
30년짜리	30/SN+년/NNB+짜리/XSN
양주만	양주/NNG+만/JX
마신다는	마시/VV+ㄴ다는/ETM
20대	20/SN+대/NNB
부자	부자/NNG
2세들의	2/SN+세/NNB+들/XSN+의/JKG
리얼리티	리얼리티/NNG
프로그램	프로그램/NNG
'파파리치'가	'/SS+파파/NNG+리치/NNG+'/SS+가/JKS
논란을	논란/NNG+을/JKO
빚다가	빚/VV+다가/EC
결국	결국/MAG
방송	방송/NNG
보류됐다.	보류/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000026.14.2.2
거센 여론의 역풍(逆風)에 꺾인 셈인데, 논란을 보면서 그냥 방송하게 내버려 두어도 좋지 않았을까 생각해 보았다.

거센	거세/VA+ㄴ/ETM
여론의	여론/NNG+의/JKG
