# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000025.220
metadata : {}


# id : NWRW1800000025.220.1.1
“세계적 골퍼 100여 명 입맛 한식만찬으로 사로잡을 것”

“세계적	“/SS+세계/NNG+적/XSN
골퍼	골퍼/NNG
100여	100/SN+여/XSN
명	명/NNB
입맛	입맛/NNG
한식만찬으로	한식/NNG+만찬/NNG+으로/JKB
사로잡을	사로잡/VV+을/ETM
것”	것/NNB+”/SS


# id : NWRW1800000025.220.2.1
삼색으로 곱게 물들인 밀전병으로 말아낸 잡채, 석쇠로 구워 연꽃잎 속에 담은 불고기, 얇게 저며 설탕을 뿌려낸 인삼캔디….

삼색으로	삼색/NNG+으로/JKB
곱게	곱/VA+게/EC
물들인	물들이/VV+ㄴ/ETM
밀전병으로	밀전병/NNG+으로/JKB
말아낸	말/VV+아/EC+내/VX+ㄴ/ETM
잡채,	잡채/NNG+,/SP
석쇠로	석쇠/NNG+로/JKB
구워	굽/VV+어/EC
연꽃잎	연꽃잎/NNG
속에	속/NNG+에/JKB
담은	담/VV+은/ETM
불고기,	불고기/NNG+,/SP
얇게	얇/VA+게/EC
저며	저미/VV+어/EC
설탕을	설탕/NNG+을/JKO
뿌려낸	뿌리/VV+어/EC+내/VX+ㄴ/ETM
인삼캔디….	인삼캔디/NNG+…/SE+./SF


# id : NWRW1800000025.220.3.1
10일(현지 시간) 미국 위스콘신 주 콜러의 휘슬링스트레이츠 골프장에서 ‘바람의 아들’ 양용은 선수가 선보일 한식 만찬 메뉴다.

10일(현지	10/SN+일/NNB+(/SS+현지/NNG
시간)	시간/NNG+)/SS
미국	미국/NNP
위스콘신	위스콘신/NNP
주	주/NNG
콜러의	콜러/NNP+의/JKG
휘슬링스트레이츠	휘슬링스트레이츠/NNP
골프장에서	골프장/NNG+에서/JKB
‘바람의	‘/SS+바람/NNG+의/JKG
아들’	아들/NNG+’/SS
양용은	양용은/NNP
선수가	선수/NNG+가/JKS
선보일	선보이/VV+ㄹ/ETM
한식	한식/NNG
만찬	만찬/NNG
메뉴다.	메뉴/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000025.220.3.2
미국프로골프(PGA)투어 시즌 마지막 메이저대회인 ‘PGA 챔피언십’은 개막을 이틀 앞두고 세계적 골퍼 100여 명이 참석하는 ‘PGA 챔피언십 챔피언스 디너’를 연다.

미국프로골프(PGA)투어	미국/NNP+프로/NNG+골프/NNG+(/SS+PGA/SL+)/SS+투어/NNG
시즌	시즌/NNG
마지막	마지막/NNG
메이저대회인	메이저/NNG+대회/NNG+이/VCP+ㄴ/ETM
‘PGA	‘/SS+PGA/SL
챔피언십’은	챔피언십/NNG+’/SS+은/JX
개막을	개막/NNG+을/JKO
이틀	이틀/NNG
앞두고	앞두/VV+고/EC
세계적	세계/NNG+적/XSN
골퍼	골퍼/NNG
100여	100/SN+여/XSN
명이	명/NNB+이/JKS
참석하는	참석/NNG+하/XSV+는/ETM
챔피언십	챔피언십/NNG
챔피언스	챔피언스/NNG
디너’를	디너/NNG+’/SS+를/JKO
연다.	열/VV+ㄴ다/EF+./SF


# id : NWRW1800000025.220.3.3
대회 전통에 따라 전년도 우승자인 양 선수가 만찬 메뉴를 정하게 된 것.

대회	대회/NNG
전통에	전통/NNG+에/JKB
따라	따르/VV+아/EC
전년도	전년도/NNG
우승자인	우승자/NNG+이/VCP+ㄴ/ETM
양	양/NNP
선수가	선수/NNG+가/JKS
만찬	만찬/NNG
메뉴를	메뉴/NNG+를/JKO
정하게	정하/VV+게/EC
된	되/VV+ㄴ/ETM
것.	것/NNB+./SF


# id : NWRW1800000025.220.4.1
이명박 대통령의 부인 김윤옥 여사(한식세계화추진단 명예회장)가 양 선수를 도와 메뉴를 짜고 밀레니엄서울힐튼호텔의 박효남 총주방장(상무) 등 이 호텔 주방팀이 현지에서 요리할 예정이다.

이명박	이명박/NNP
대통령의	대통령/NNG+의/JKG
부인	부인/NNG
김윤옥	김윤옥/NNP
여사(한식세계화추진단	여사/NNG+(/SS+한식/NNG+세계/NNG+화/XSN+추진단/NNG
명예회장)가	명예/NNG+회장/NNG+)/SS+가/JKS
양	양/NNP
선수를	선수/NNG+를/JKO
도와	돕/VV+아/EC
메뉴를	메뉴/NNG+를/JKO
짜고	짜/VV+고/EC
밀레니엄서울힐튼호텔의	밀레니엄서울힐튼호텔/NNP+의/JKG
박효남	박효남/NNP
총주방장(상무)	총주방장/NNG+(/SS+상무/NNG+)/SS
등	등/NNB
이	이/MMD
호텔	호텔/NNG
주방팀이	주방/NNG+팀/NNG+이/JKS
현지에서	현지/NNG+에서/JKB
요리할	요리/NNG+하/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000025.220.4.2
박 총주방장은 “각국 스포츠 스타들에게 한식을 홍보할 절호의 기회라 외국인이 부담을 느끼지 않으면서 한식에 관심을 갖게 하는 데 신경을 쓰겠다”고 설명했다.

박	박/NNP
총주방장은	총주방장/NNG+은/JX
“각국	“/SS+각국/NNG
스포츠	스포츠/NNG
스타들에게	스타/NNG+들/XSN+에게/JKB
한식을	한식/NNG+을/JKO
홍보할	홍보/NNG+하/XSV+ㄹ/ETM
절호의	절호/NNG+의/JKG
기회라	기회/NNG+이/VCP+라/EC
