# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.141
metadata : {}


# id : NWRW1800000029.141.1.1
“우리가 세계 최강” 해커들 ‘사이버 내전’

“우리가	“/SS+우리/NP+가/JKS
세계	세계/NNG
최강”	최강/NNG+”/SS
해커들	해커/NNG+들/XSN
‘사이버	‘/SS+사이버/NNG
내전’	내전/NNG+’/SS


# id : NWRW1800000029.141.2.1
친팔레스타인 ‘팀포이즌’… 룰즈섹 향해 선전포고

친팔레스타인	친/XPN+팔레스타인/NNP
‘팀포이즌’…	‘/SS+팀포이즌/NNP+’/SS+…/SE
룰즈섹	룰즈섹/NNP
향해	향하/VV+아/EC
선전포고	선전/NNG+포고/NNG


# id : NWRW1800000029.141.3.1
공공이 이용하는 전산망이나 국가기관이 운영하는 웹사이트를 공격하는 얼굴 없는 해커들.

공공이	공공/NNG+이/JKS
이용하는	이용/NNG+하/XSV+는/ETM
전산망이나	전산망/NNG+이나/JC
국가기관이	국가/NNG+기관/NNG+이/JKS
운영하는	운영/NNG+하/XSV+는/ETM
웹사이트를	웹/NNG+사이트/NNG+를/JKO
공격하는	공격/NNG+하/XSV+는/ETM
얼굴	얼굴/NNG
없는	없/VA+는/ETM
해커들.	해커/NNG+들/XSN+./SF


# id : NWRW1800000029.141.3.2
익명의 장막 뒤에 숨어 암약하는 그들 사이에 경쟁심리가 발동하면서 서로를 발가벗기는 이전투구가 일고 있다.

익명의	익명/NNG+의/JKG
장막	장막/NNG
뒤에	뒤/NNG+에/JKB
숨어	숨/VV+어/EC
암약하는	암약/NNG+하/XSV+는/ETM
그들	그/NP+들/XSN
사이에	사이/NNG+에/JKB
경쟁심리가	경쟁/NNG+심리/NNG+가/JKS
발동하면서	발동/NNG+하/XSV+면서/EC
서로를	서로/NNG+를/JKO
발가벗기는	발가벗기/VV+는/ETM
이전투구가	이전투구/NNG+가/JKS
일고	일/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000029.141.3.3
해커가 해커를 사이버 공격하는 상황이 일어난 것.

해커가	해커/NNG+가/JKS
해커를	해커/NNG+를/JKO
사이버	사이버/NNG
공격하는	공격/NNG+하/XSV+는/ETM
상황이	상황/NNG+이/JKS
일어난	일어나/VV+ㄴ/ETM
것.	것/NNB+./SF


# id : NWRW1800000029.141.4.1
직업 해커로 구성된 ‘팀포이즌’의 일원이라고 밝힌 헥스(가명·23)는 23일 성명을 통해 “룰즈섹은 한 무리의 아마추어 해커에 불과하며 절대로 해커세상의 대표집단이 될 수 없다는 것을 세상에 보여주겠다”면서 “룰즈섹은 이제 침몰 직전의 타이타닉호가 됐다”고 말했다.

직업	직업/NNG
해커로	해커/NNG+로/JKB
구성된	구성/NNG+되/XSV+ㄴ/ETM
‘팀포이즌’의	‘/SS+팀포이즌/NNP+’/SS+의/JKG
일원이라고	일원/NNG+이/VCP+라고/EC
밝힌	밝히/VV+ㄴ/ETM
헥스(가명·23)는	헥스/NNP+(/SS+가명/NNG+·/SP+23/SN+)/SS+는/JX
23일	23/SN+일/NNB
성명을	성명/NNG+을/JKO
통해	통하/VV+아/EC
“룰즈섹은	“/SS+룰즈섹/NNP+은/JX
한	한/MMN
무리의	무리/NNG+의/JKG
아마추어	아마추어/NNG
해커에	해커/NNG+에/JKB
불과하며	불과/MAG+하/XSA+며/EC
절대로	절대로/MAG
해커세상의	해커/NNG+세상/NNG+의/JKG
대표집단이	대표/NNG+집단/NNG+이/JKC
될	되/VV+ㄹ/ETM
수	수/NNB
없다는	없/VA+다는/ETM
것을	것/NNB+을/JKO
세상에	세상/NNG+에/JKB
보여주겠다”면서	보이/VV+어/EC+주/VX+겠/EP+다/EF+”/SS+면서/EC
이제	이제/MAG
침몰	침몰/NNG
직전의	직전/NNG+의/JKG
타이타닉호가	타이타닉호/NNP+가/JKC
됐다”고	되/VV+었/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


